[1240, 1755]
[second-level-question, [1013.0, 138.0, 629.0, 18.0], hrq16qjtPo, 5729716]
[second-level-question, [1013.0, 156.0, 629.0, 18.0], hrq16qjtPo, 5729716]
[second-level-question, [1013.0, 174.0, 629.0, 18.0], hrq16qjtPo, 5729716]
[second-level-question, [1013.0, 192.0, 629.0, 18.0], hrq16qjtPo, 5729716]
[second-level-question, [1013.0, 210.0, 629.0, 18.0], hrq16qjtPo, 5729716]
[sidebar, [660.0, 140.0, 118.0, 18.0], D01Rw9bNx2, 5729716]
[sidebar, [660.0, 158.0, 118.0, 18.0], D01Rw9bNx2, 5729716]
[second-level-question, [168.0, 182.0, 311.0, 18.0], fsDXLL8dxg, 5729716]
[second-level-question, [168.0, 200.0, 311.0, 18.0], fsDXLL8dxg, 5729716]
[second-level-question, [173.0, 221.0, 258.0, 18.0], E-HzlvI1yh, 5729716]
[second-level-question, [173.0, 239.0, 258.0, 18.0], E-HzlvI1yh, 5729716]
[second-level-question, [1015.0, 250.0, 623.0, 18.0], EaZSWYWGA1, 5729716]
[second-level-question, [1015.0, 268.0, 623.0, 18.0], EaZSWYWGA1, 5729716]
[second-level-question, [1015.0, 286.0, 623.0, 18.0], EaZSWYWGA1, 5729716]
[second-level-question, [1015.0, 304.0, 623.0, 18.0], EaZSWYWGA1, 5729716]
[second-level-question, [1015.0, 322.0, 623.0, 18.0], EaZSWYWGA1, 5729716]
[second-level-question, [164.0, 269.0, 280.0, 18.0], cHMnmIHdYR, 5729716]
[second-level-question, [166.0, 307.0, 337.0, 18.0], s8xiS5r6mb, 5729716]
[second-level-question, [166.0, 325.0, 337.0, 18.0], s8xiS5r6mb, 5729716]
[second-level-question, [162.0, 351.0, 340.0, 18.0], uCVNlzI6P5, 5729716]
[second-level-question, [1020.0, 357.0, 620.0, 18.0], G70v3dSePL, 5729716]
[second-level-question, [1020.0, 375.0, 620.0, 18.0], G70v3dSePL, 5729716]
[second-level-question, [1020.0, 393.0, 620.0, 18.0], G70v3dSePL, 5729716]
[second-level-question, [1020.0, 411.0, 620.0, 18.0], G70v3dSePL, 5729716]
[second-level-question, [1020.0, 429.0, 620.0, 18.0], G70v3dSePL, 5729716]
[second-level-question, [1020.0, 447.0, 620.0, 18.0], G70v3dSePL, 5729716]
[second-level-question, [1020.0, 465.0, 620.0, 18.0], G70v3dSePL, 5729716]
[sidebar, [660.0, 445.0, 114.0, 18.0], yKWqmNto5T, 5729716]
[sidebar, [660.0, 463.0, 114.0, 18.0], yKWqmNto5T, 5729716]
[second-level-question, [166.0, 495.0, 636.0, 18.0], EkKXsGmYp8, 5729716]
[second-level-question, [166.0, 513.0, 636.0, 18.0], EkKXsGmYp8, 5729716]
[second-level-question, [166.0, 531.0, 636.0, 18.0], EkKXsGmYp8, 5729716]
[second-level-question, [166.0, 549.0, 636.0, 18.0], EkKXsGmYp8, 5729716]
[second-level-question, [166.0, 567.0, 636.0, 18.0], EkKXsGmYp8, 5729716]
[sidebar, [1496.0, 533.0, 127.0, 18.0], rxfJ0Q6jBm, 5729716]
[second-level-question, [1020.0, 590.0, 603.0, 18.0], jRDm9V-S65, 5729716]
[second-level-question, [1020.0, 608.0, 603.0, 18.0], jRDm9V-S65, 5729716]
[second-level-question, [1020.0, 626.0, 603.0, 18.0], jRDm9V-S65, 5729716]
[second-level-question, [1020.0, 644.0, 603.0, 18.0], jRDm9V-S65, 5729716]
[second-level-question, [1020.0, 662.0, 603.0, 18.0], jRDm9V-S65, 5729716]
[second-level-question, [1020.0, 680.0, 603.0, 18.0], jRDm9V-S65, 5729716]
[second-level-question, [171.0, 594.0, 629.0, 18.0], 3wzrVi-V2s, 5729716]
[second-level-question, [171.0, 612.0, 629.0, 18.0], 3wzrVi-V2s, 5729716]
[second-level-question, [171.0, 630.0, 629.0, 18.0], 3wzrVi-V2s, 5729716]
[second-level-question, [171.0, 648.0, 629.0, 18.0], 3wzrVi-V2s, 5729716]
[second-level-question, [171.0, 666.0, 629.0, 18.0], 3wzrVi-V2s, 5729716]
[second-level-question, [171.0, 684.0, 629.0, 18.0], 3wzrVi-V2s, 5729716]
[second-level-question, [171.0, 702.0, 629.0, 18.0], 3wzrVi-V2s, 5729716]
[second-level-question, [1013.0, 724.0, 620.0, 18.0], ILCTsSzBVD, 5729716]
[second-level-question, [1013.0, 742.0, 620.0, 18.0], ILCTsSzBVD, 5729716]
[second-level-question, [1013.0, 760.0, 620.0, 18.0], ILCTsSzBVD, 5729716]
[second-level-question, [1013.0, 778.0, 620.0, 18.0], ILCTsSzBVD, 5729716]
[second-level-question, [1013.0, 796.0, 620.0, 18.0], ILCTsSzBVD, 5729716]
[second-level-question, [168.0, 733.0, 618.0, 18.0], ceXSjcGdD4, 5729716]
[second-level-question, [168.0, 751.0, 618.0, 18.0], ceXSjcGdD4, 5729716]
[second-level-question, [168.0, 769.0, 618.0, 18.0], ceXSjcGdD4, 5729716]
[second-level-question, [168.0, 787.0, 618.0, 18.0], ceXSjcGdD4, 5729716]
[second-level-question, [168.0, 805.0, 618.0, 18.0], ceXSjcGdD4, 5729716]
[second-level-question, [1013.0, 833.0, 620.0, 18.0], qSv7yVbFAD, 5729716]
[second-level-question, [1013.0, 851.0, 620.0, 18.0], qSv7yVbFAD, 5729716]
[second-level-question, [1013.0, 869.0, 620.0, 18.0], qSv7yVbFAD, 5729716]
[second-level-question, [1013.0, 887.0, 620.0, 18.0], qSv7yVbFAD, 5729716]
[second-level-question, [1013.0, 905.0, 620.0, 18.0], qSv7yVbFAD, 5729716]
[second-level-question, [162.0, 836.0, 627.0, 18.0], 0v1KKti0rF, 5729716]
[second-level-question, [162.0, 854.0, 627.0, 18.0], 0v1KKti0rF, 5729716]
[second-level-question, [162.0, 872.0, 627.0, 18.0], 0v1KKti0rF, 5729716]
[second-level-question, [162.0, 890.0, 627.0, 18.0], 0v1KKti0rF, 5729716]
[second-level-question, [162.0, 908.0, 627.0, 18.0], 0v1KKti0rF, 5729716]
[second-level-question, [162.0, 926.0, 627.0, 18.0], 0v1KKti0rF, 5729716]
[second-level-question, [162.0, 944.0, 627.0, 18.0], 0v1KKti0rF, 5729716]
[second-level-question, [151.0, 970.0, 640.0, 18.0], lPiRgTaRiu, 5729716]
[second-level-question, [151.0, 988.0, 640.0, 18.0], lPiRgTaRiu, 5729716]
[second-level-question, [151.0, 1006.0, 640.0, 18.0], lPiRgTaRiu, 5729716]
[second-level-question, [151.0, 1024.0, 640.0, 18.0], lPiRgTaRiu, 5729716]
[second-level-question, [151.0, 1042.0, 640.0, 18.0], lPiRgTaRiu, 5729716]
[second-level-question, [151.0, 1060.0, 640.0, 18.0], lPiRgTaRiu, 5729716]
[second-level-question, [151.0, 1078.0, 640.0, 18.0], lPiRgTaRiu, 5729716]
