[2339, 1656]
[paragraph, [821.0, 68.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 104.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 140.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 176.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 212.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 248.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 284.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 320.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 356.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 392.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 428.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 464.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 500.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 536.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 572.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 608.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 644.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 680.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 716.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 752.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 788.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 824.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 860.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 896.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 932.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 968.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 1004.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 1040.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 1076.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 1112.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 1148.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 1184.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 1220.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 1256.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 1292.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 1328.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 1364.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 1400.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 1436.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 1472.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 1508.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 1544.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 1580.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 1616.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 1652.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 1688.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 1724.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 1760.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 1796.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 1832.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 1868.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 1904.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 1940.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 1976.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [821.0, 2012.0, 719.0, 36.0], shoonya_2sZ6M3VK7703GV, 5750220]
[paragraph, [102.0, 92.0, 691.0, 36.0], shoonya_3s2KOMTKCXRVV7, 5750220]
[paragraph, [102.0, 128.0, 691.0, 36.0], shoonya_3s2KOMTKCXRVV7, 5750220]
[paragraph, [102.0, 164.0, 691.0, 36.0], shoonya_3s2KOMTKCXRVV7, 5750220]
[paragraph, [102.0, 200.0, 691.0, 36.0], shoonya_3s2KOMTKCXRVV7, 5750220]
[paragraph, [102.0, 236.0, 691.0, 36.0], shoonya_3s2KOMTKCXRVV7, 5750220]
[paragraph, [102.0, 272.0, 691.0, 36.0], shoonya_3s2KOMTKCXRVV7, 5750220]
[paragraph, [102.0, 308.0, 691.0, 36.0], shoonya_3s2KOMTKCXRVV7, 5750220]
[paragraph, [102.0, 344.0, 691.0, 36.0], shoonya_3s2KOMTKCXRVV7, 5750220]
