[1736, 1323]
[paragraph, [656.0, 140.0, 549.0, 36.0], 6FsxUvbb44, 5771578]
[paragraph, [656.0, 176.0, 549.0, 36.0], 6FsxUvbb44, 5771578]
[headline, [144.0, 145.0, 474.0, 37.5], shoonya_0sL5WRZ22BE277, 5771578]
[headline, [144.0, 182.5, 474.0, 37.5], shoonya_0sL5WRZ22BE277, 5771578]
[headline, [144.0, 220.0, 474.0, 37.5], shoonya_0sL5WRZ22BE277, 5771578]
[paragraph, [649.0, 259.0, 560.0, 36.0], -_5g4zJ-Kt, 5771578]
[paragraph, [649.0, 295.0, 560.0, 36.0], -_5g4zJ-Kt, 5771578]
[paragraph, [649.0, 331.0, 560.0, 36.0], -_5g4zJ-Kt, 5771578]
[paragraph, [649.0, 367.0, 560.0, 36.0], -_5g4zJ-Kt, 5771578]
[paragraph, [649.0, 403.0, 560.0, 36.0], -_5g4zJ-Kt, 5771578]
[paragraph, [649.0, 439.0, 560.0, 36.0], -_5g4zJ-Kt, 5771578]
[paragraph, [649.0, 475.0, 560.0, 36.0], -_5g4zJ-Kt, 5771578]
[paragraph, [132.0, 287.0, 514.0, 36.0], xEQlcU5b8Z, 5771578]
[paragraph, [132.0, 323.0, 514.0, 36.0], xEQlcU5b8Z, 5771578]
[paragraph, [132.0, 359.0, 514.0, 36.0], xEQlcU5b8Z, 5771578]
[paragraph, [132.0, 395.0, 514.0, 36.0], xEQlcU5b8Z, 5771578]
[paragraph, [132.0, 431.0, 514.0, 36.0], xEQlcU5b8Z, 5771578]
[paragraph, [132.0, 467.0, 514.0, 36.0], xEQlcU5b8Z, 5771578]
[paragraph, [132.0, 503.0, 514.0, 36.0], xEQlcU5b8Z, 5771578]
[paragraph, [132.0, 539.0, 514.0, 36.0], xEQlcU5b8Z, 5771578]
[paragraph, [132.0, 575.0, 514.0, 36.0], xEQlcU5b8Z, 5771578]
[paragraph, [132.0, 611.0, 514.0, 36.0], xEQlcU5b8Z, 5771578]
[paragraph, [132.0, 647.0, 514.0, 36.0], xEQlcU5b8Z, 5771578]
[paragraph, [132.0, 683.0, 514.0, 36.0], xEQlcU5b8Z, 5771578]
[paragraph, [132.0, 719.0, 514.0, 36.0], xEQlcU5b8Z, 5771578]
[paragraph, [132.0, 755.0, 514.0, 36.0], xEQlcU5b8Z, 5771578]
[paragraph, [132.0, 791.0, 514.0, 36.0], xEQlcU5b8Z, 5771578]
[paragraph, [132.0, 827.0, 514.0, 36.0], xEQlcU5b8Z, 5771578]
[paragraph, [656.0, 540.0, 555.0, 36.0], Ywu7YpG5nQ, 5771578]
[paragraph, [656.0, 576.0, 555.0, 36.0], Ywu7YpG5nQ, 5771578]
[paragraph, [656.0, 612.0, 555.0, 36.0], Ywu7YpG5nQ, 5771578]
[unordered-list, [656.0, 724.0, 549.0, 36.0], VwfJiUIq5K, 5771578]
[unordered-list, [656.0, 760.0, 549.0, 36.0], VwfJiUIq5K, 5771578]
[unordered-list, [656.0, 796.0, 549.0, 36.0], VwfJiUIq5K, 5771578]
