[792, 612]
[chapter-title, [222.0, 92.0, 165.0, 30.0], i_iqH_1Abt, 6492210]
[paragraph, [79.0, 160.0, 454.0, 18.0], shoonya_0s8GMTV62MXLZ9, 6492210]
[paragraph, [79.0, 178.0, 454.0, 18.0], shoonya_0s8GMTV62MXLZ9, 6492210]
[paragraph, [79.0, 196.0, 454.0, 18.0], shoonya_0s8GMTV62MXLZ9, 6492210]
[paragraph, [79.0, 214.0, 454.0, 18.0], shoonya_0s8GMTV62MXLZ9, 6492210]
[paragraph, [79.0, 232.0, 454.0, 18.0], shoonya_0s8GMTV62MXLZ9, 6492210]
[paragraph, [79.0, 250.0, 454.0, 18.0], shoonya_0s8GMTV62MXLZ9, 6492210]
[paragraph, [79.0, 268.0, 454.0, 18.0], shoonya_0s8GMTV62MXLZ9, 6492210]
[paragraph, [79.0, 286.0, 454.0, 18.0], shoonya_0s8GMTV62MXLZ9, 6492210]
[paragraph, [79.0, 304.0, 454.0, 18.0], shoonya_0s8GMTV62MXLZ9, 6492210]
[paragraph, [79.0, 322.0, 454.0, 18.0], shoonya_0s8GMTV62MXLZ9, 6492210]
[paragraph, [79.0, 340.0, 454.0, 18.0], shoonya_0s8GMTV62MXLZ9, 6492210]
[paragraph, [79.0, 358.0, 454.0, 18.0], shoonya_0s8GMTV62MXLZ9, 6492210]
[paragraph, [79.0, 376.0, 454.0, 18.0], shoonya_0s8GMTV62MXLZ9, 6492210]
[paragraph, [79.0, 394.0, 454.0, 18.0], shoonya_0s8GMTV62MXLZ9, 6492210]
[paragraph, [79.0, 412.0, 454.0, 18.0], shoonya_0s8GMTV62MXLZ9, 6492210]
[paragraph, [79.0, 430.0, 454.0, 18.0], shoonya_0s8GMTV62MXLZ9, 6492210]
[paragraph, [79.0, 448.0, 454.0, 18.0], shoonya_0s8GMTV62MXLZ9, 6492210]
[paragraph, [79.0, 466.0, 454.0, 18.0], shoonya_0s8GMTV62MXLZ9, 6492210]
[paragraph, [79.0, 484.0, 454.0, 18.0], shoonya_0s8GMTV62MXLZ9, 6492210]
[paragraph, [79.0, 502.0, 454.0, 18.0], shoonya_0s8GMTV62MXLZ9, 6492210]
[paragraph, [79.0, 520.0, 454.0, 18.0], shoonya_0s8GMTV62MXLZ9, 6492210]
[paragraph, [79.0, 538.0, 454.0, 18.0], shoonya_0s8GMTV62MXLZ9, 6492210]
[paragraph, [79.0, 556.0, 454.0, 18.0], shoonya_0s8GMTV62MXLZ9, 6492210]
[paragraph, [79.0, 574.0, 454.0, 18.0], shoonya_0s8GMTV62MXLZ9, 6492210]
[paragraph, [80.0, 595.0, 456.0, 18.0], GbztiejiO8, 6492210]
[paragraph, [80.0, 613.0, 456.0, 18.0], GbztiejiO8, 6492210]
[paragraph, [80.0, 631.0, 456.0, 18.0], GbztiejiO8, 6492210]
[paragraph, [80.0, 649.0, 456.0, 18.0], GbztiejiO8, 6492210]
[paragraph, [80.0, 667.0, 456.0, 18.0], GbztiejiO8, 6492210]
[paragraph, [80.0, 685.0, 456.0, 18.0], GbztiejiO8, 6492210]
[paragraph, [80.0, 703.0, 456.0, 18.0], GbztiejiO8, 6492210]
