[2143, 1435]
[folio, [476.0, 125.0, 474.0, 36.0], edCqnlBX4K, 5683579]
[paragraph, [128.0, 218.0, 1164.0, 36.0], 96_a_5gyBH, 5683579]
[paragraph, [128.0, 254.0, 1164.0, 36.0], 96_a_5gyBH, 5683579]
[paragraph, [128.0, 290.0, 1164.0, 36.0], 96_a_5gyBH, 5683579]
[paragraph, [128.0, 326.0, 1164.0, 36.0], 96_a_5gyBH, 5683579]
[paragraph, [128.0, 362.0, 1164.0, 36.0], 96_a_5gyBH, 5683579]
[paragraph, [240.0, 422.0, 938.0, 36.0], 54a2zQs7CV, 5683579]
[paragraph, [127.0, 479.0, 1169.0, 36.0], -1YcVDh3Ts, 5683579]
[paragraph, [127.0, 515.0, 1169.0, 36.0], -1YcVDh3Ts, 5683579]
[paragraph, [240.0, 580.0, 211.0, 36.0], 3VFABp7qeO, 5683579]
[paragraph, [241.0, 627.0, 533.0, 36.0], z_uuOyHhQ3, 5683579]
[paragraph, [240.0, 682.0, 170.0, 36.0], Nc79G304RE, 5683579]
[paragraph, [136.0, 726.0, 1171.0, 36.0], hYZrCPrcyl, 5683579]
[paragraph, [136.0, 762.0, 1171.0, 36.0], hYZrCPrcyl, 5683579]
[paragraph, [241.0, 831.0, 259.0, 36.0], HIlHIoo7fn, 5683579]
[paragraph, [134.0, 874.0, 1166.0, 36.0], kogrPCYAzi, 5683579]
[paragraph, [134.0, 910.0, 1166.0, 36.0], kogrPCYAzi, 5683579]
[paragraph, [247.0, 983.0, 379.0, 36.0], 4Fz2WQV_Z9, 5683579]
[paragraph, [137.0, 1033.0, 1171.0, 36.0], 6IspNedYOY, 5683579]
[paragraph, [137.0, 1069.0, 1171.0, 36.0], 6IspNedYOY, 5683579]
[paragraph, [136.0, 1137.0, 1171.0, 36.0], GnfknmC7r1, 5683579]
[paragraph, [136.0, 1173.0, 1171.0, 36.0], GnfknmC7r1, 5683579]
[paragraph, [136.0, 1209.0, 1171.0, 36.0], GnfknmC7r1, 5683579]
[paragraph, [136.0, 1245.0, 1171.0, 36.0], GnfknmC7r1, 5683579]
[paragraph, [136.0, 1281.0, 1171.0, 36.0], GnfknmC7r1, 5683579]
[paragraph, [136.0, 1317.0, 1171.0, 36.0], GnfknmC7r1, 5683579]
[paragraph, [252.0, 1386.0, 395.0, 36.0], yoUq-yBFx0, 5683579]
[paragraph, [254.0, 1435.0, 1055.0, 36.0], 3cQnyo7Hhc, 5683579]
[paragraph, [254.0, 1488.0, 567.0, 36.0], 1GQlgsoaNz, 5683579]
[paragraph, [254.0, 1539.0, 535.0, 36.0], qRSUO1EzK-, 5683579]
[paragraph, [256.0, 1589.0, 268.0, 36.0], Vuge0bmEoQ, 5683579]
[paragraph, [141.0, 1633.0, 1169.0, 36.0], 8HNPWkz59N, 5683579]
[paragraph, [141.0, 1669.0, 1169.0, 36.0], 8HNPWkz59N, 5683579]
[paragraph, [250.0, 1730.0, 1049.0, 36.0], QsppJtNAlY, 5683579]
[paragraph, [153.0, 1784.0, 1168.0, 36.0], mzq6T0C7HA, 5683579]
[paragraph, [153.0, 1820.0, 1168.0, 36.0], mzq6T0C7HA, 5683579]
[paragraph, [153.0, 1856.0, 1168.0, 36.0], mzq6T0C7HA, 5683579]
[paragraph, [153.0, 1892.0, 1168.0, 36.0], mzq6T0C7HA, 5683579]
[folio, [899.0, 2046.0, 446.0, 36.0], jgVX9gWrxF, 5683579]
[folio, [899.0, 2082.0, 446.0, 36.0], jgVX9gWrxF, 5683579]
