[872, 605]
[folio, [499.0, 36.0, 54.0, 18.0], oFkJ7p4Clc, 6456770]
[paragraph, [303.0, 69.0, 250.0, 18.0], km7WaEDhl7, 6456770]
[paragraph, [303.0, 87.0, 250.0, 18.0], km7WaEDhl7, 6456770]
[paragraph, [303.0, 105.0, 250.0, 18.0], km7WaEDhl7, 6456770]
[paragraph, [303.0, 123.0, 250.0, 18.0], km7WaEDhl7, 6456770]
[paragraph, [303.0, 141.0, 250.0, 18.0], km7WaEDhl7, 6456770]
[paragraph, [303.0, 159.0, 250.0, 18.0], km7WaEDhl7, 6456770]
[paragraph, [303.0, 177.0, 250.0, 18.0], km7WaEDhl7, 6456770]
[paragraph, [303.0, 195.0, 250.0, 18.0], km7WaEDhl7, 6456770]
[paragraph, [303.0, 213.0, 250.0, 18.0], km7WaEDhl7, 6456770]
[paragraph, [303.0, 231.0, 250.0, 18.0], km7WaEDhl7, 6456770]
[paragraph, [303.0, 249.0, 250.0, 18.0], km7WaEDhl7, 6456770]
[paragraph, [303.0, 267.0, 250.0, 18.0], km7WaEDhl7, 6456770]
[paragraph, [303.0, 285.0, 250.0, 18.0], km7WaEDhl7, 6456770]
[paragraph, [55.0, 74.0, 242.0, 18.0], shoonya_0sFP57JKGSYNSJ, 6456770]
[paragraph, [55.0, 92.0, 242.0, 18.0], shoonya_0sFP57JKGSYNSJ, 6456770]
[paragraph, [55.0, 114.0, 250.0, 18.0], B33VrQYjuc, 6456770]
[paragraph, [55.0, 132.0, 250.0, 18.0], B33VrQYjuc, 6456770]
[paragraph, [50.0, 153.0, 251.0, 18.0], anwF9MKjIj, 6456770]
[paragraph, [50.0, 171.0, 251.0, 18.0], anwF9MKjIj, 6456770]
[paragraph, [50.0, 189.0, 251.0, 18.0], anwF9MKjIj, 6456770]
[paragraph, [50.0, 207.0, 251.0, 18.0], anwF9MKjIj, 6456770]
[paragraph, [50.0, 225.0, 251.0, 18.0], anwF9MKjIj, 6456770]
[paragraph, [50.0, 243.0, 251.0, 18.0], anwF9MKjIj, 6456770]
[paragraph, [50.0, 261.0, 251.0, 18.0], anwF9MKjIj, 6456770]
[paragraph, [50.0, 279.0, 251.0, 18.0], anwF9MKjIj, 6456770]
[paragraph, [50.0, 297.0, 251.0, 18.0], anwF9MKjIj, 6456770]
[paragraph, [50.0, 315.0, 251.0, 18.0], anwF9MKjIj, 6456770]
[paragraph, [50.0, 333.0, 251.0, 18.0], anwF9MKjIj, 6456770]
[paragraph, [50.0, 351.0, 251.0, 18.0], anwF9MKjIj, 6456770]
[paragraph, [50.0, 369.0, 251.0, 18.0], anwF9MKjIj, 6456770]
[paragraph, [50.0, 387.0, 251.0, 18.0], anwF9MKjIj, 6456770]
[paragraph, [50.0, 405.0, 251.0, 18.0], anwF9MKjIj, 6456770]
[paragraph, [50.0, 423.0, 251.0, 18.0], anwF9MKjIj, 6456770]
[paragraph, [50.0, 441.0, 251.0, 18.0], anwF9MKjIj, 6456770]
[paragraph, [50.0, 459.0, 251.0, 18.0], anwF9MKjIj, 6456770]
[paragraph, [50.0, 477.0, 251.0, 18.0], anwF9MKjIj, 6456770]
[paragraph, [50.0, 495.0, 251.0, 18.0], anwF9MKjIj, 6456770]
[paragraph, [303.0, 302.0, 248.0, 18.0], 0ck-Ozzzql, 6456770]
[paragraph, [303.0, 320.0, 248.0, 18.0], 0ck-Ozzzql, 6456770]
[paragraph, [302.0, 338.0, 250.0, 18.0], uH-NbtP19G, 6456770]
[paragraph, [302.0, 356.0, 250.0, 18.0], uH-NbtP19G, 6456770]
[paragraph, [302.0, 374.0, 250.0, 18.0], uH-NbtP19G, 6456770]
[paragraph, [300.0, 391.0, 252.0, 18.0], T1bizSchyv, 6456770]
[paragraph, [300.0, 409.0, 252.0, 18.0], T1bizSchyv, 6456770]
[paragraph, [300.0, 427.0, 252.0, 18.0], T1bizSchyv, 6456770]
[paragraph, [300.0, 440.0, 250.0, 18.0], NSjeh1-ywW, 6456770]
[paragraph, [300.0, 458.0, 250.0, 18.0], NSjeh1-ywW, 6456770]
[paragraph, [301.0, 476.0, 250.0, 18.0], EwwLE71zjk, 6456770]
[paragraph, [301.0, 494.0, 250.0, 18.0], EwwLE71zjk, 6456770]
[paragraph, [52.0, 512.0, 250.0, 18.0], O67hQa-EaL, 6456770]
[paragraph, [52.0, 530.0, 250.0, 18.0], O67hQa-EaL, 6456770]
[paragraph, [52.0, 548.0, 250.0, 18.0], O67hQa-EaL, 6456770]
[paragraph, [52.0, 566.0, 250.0, 18.0], O67hQa-EaL, 6456770]
[paragraph, [52.0, 584.0, 250.0, 18.0], O67hQa-EaL, 6456770]
[paragraph, [52.0, 602.0, 250.0, 18.0], O67hQa-EaL, 6456770]
[paragraph, [52.0, 620.0, 250.0, 18.0], O67hQa-EaL, 6456770]
[paragraph, [52.0, 638.0, 250.0, 18.0], O67hQa-EaL, 6456770]
[paragraph, [52.0, 656.0, 250.0, 18.0], O67hQa-EaL, 6456770]
[paragraph, [52.0, 674.0, 250.0, 18.0], O67hQa-EaL, 6456770]
[paragraph, [52.0, 692.0, 250.0, 18.0], O67hQa-EaL, 6456770]
[paragraph, [52.0, 710.0, 250.0, 18.0], O67hQa-EaL, 6456770]
[paragraph, [52.0, 728.0, 250.0, 18.0], O67hQa-EaL, 6456770]
[paragraph, [52.0, 746.0, 250.0, 18.0], O67hQa-EaL, 6456770]
[paragraph, [302.0, 512.0, 250.0, 18.0], xGyARuta33, 6456770]
[paragraph, [304.0, 549.0, 246.0, 18.0], eK-EsHrGYU, 6456770]
[paragraph, [304.0, 567.0, 246.0, 18.0], eK-EsHrGYU, 6456770]
[paragraph, [304.0, 585.0, 246.0, 18.0], eK-EsHrGYU, 6456770]
[paragraph, [304.0, 603.0, 246.0, 18.0], eK-EsHrGYU, 6456770]
[paragraph, [304.0, 621.0, 246.0, 18.0], eK-EsHrGYU, 6456770]
[paragraph, [304.0, 639.0, 246.0, 18.0], eK-EsHrGYU, 6456770]
[paragraph, [313.0, 655.0, 145.0, 18.0], 3QF1aQ-VDK, 6456770]
[paragraph, [302.0, 672.0, 184.0, 18.0], KckwfTV7ca, 6456770]
[reference, [300.0, 695.0, 252.0, 18.0], 9dPob4DN0N, 6456770]
[reference, [300.0, 713.0, 252.0, 18.0], 9dPob4DN0N, 6456770]
[reference, [300.0, 731.0, 252.0, 18.0], 9dPob4DN0N, 6456770]
[reference, [300.0, 749.0, 252.0, 18.0], 9dPob4DN0N, 6456770]
[reference, [300.0, 767.0, 252.0, 18.0], 9dPob4DN0N, 6456770]
[reference, [300.0, 785.0, 252.0, 18.0], 9dPob4DN0N, 6456770]
[reference, [300.0, 803.0, 252.0, 18.0], 9dPob4DN0N, 6456770]
[reference, [49.0, 776.0, 251.0, 18.0], OvC62a0JUz, 6456770]
