[1063, 1418]
[headline, [956.0, 470.0, 406.0, 25.5], shoonya_4sSPOH8WDUXVWI, 5726402]
[headline, [956.0, 495.5, 406.0, 25.5], shoonya_4sSPOH8WDUXVWI, 5726402]
[paragraph, [953.0, 567.0, 411.0, 18.0], shoonya_0sZRGZMFGZDGY0, 5726402]
[paragraph, [953.0, 585.0, 411.0, 18.0], shoonya_0sZRGZMFGZDGY0, 5726402]
[paragraph, [953.0, 603.0, 411.0, 18.0], shoonya_0sZRGZMFGZDGY0, 5726402]
[paragraph, [953.0, 621.0, 411.0, 18.0], shoonya_0sZRGZMFGZDGY0, 5726402]
[paragraph, [953.0, 639.0, 411.0, 18.0], shoonya_0sZRGZMFGZDGY0, 5726402]
[paragraph, [953.0, 657.0, 411.0, 18.0], shoonya_0sZRGZMFGZDGY0, 5726402]
[paragraph, [953.0, 675.0, 411.0, 18.0], shoonya_0sZRGZMFGZDGY0, 5726402]
[paragraph, [953.0, 693.0, 411.0, 18.0], shoonya_0sZRGZMFGZDGY0, 5726402]
[paragraph, [953.0, 711.0, 411.0, 18.0], shoonya_0sZRGZMFGZDGY0, 5726402]
[paragraph, [953.0, 729.0, 411.0, 18.0], shoonya_0sZRGZMFGZDGY0, 5726402]
[paragraph, [953.0, 747.0, 411.0, 18.0], shoonya_0sZRGZMFGZDGY0, 5726402]
[paragraph, [953.0, 765.0, 411.0, 18.0], shoonya_0sZRGZMFGZDGY0, 5726402]
[paragraph, [953.0, 783.0, 411.0, 18.0], shoonya_0sZRGZMFGZDGY0, 5726402]
[paragraph, [953.0, 801.0, 411.0, 18.0], shoonya_0sZRGZMFGZDGY0, 5726402]
[paragraph, [953.0, 819.0, 411.0, 18.0], shoonya_0sZRGZMFGZDGY0, 5726402]
[paragraph, [953.0, 837.0, 411.0, 18.0], shoonya_0sZRGZMFGZDGY0, 5726402]
[paragraph, [953.0, 855.0, 411.0, 18.0], shoonya_0sZRGZMFGZDGY0, 5726402]
[paragraph, [953.0, 873.0, 411.0, 18.0], shoonya_0sZRGZMFGZDGY0, 5726402]
[paragraph, [953.0, 891.0, 411.0, 18.0], shoonya_0sZRGZMFGZDGY0, 5726402]
[paragraph, [953.0, 909.0, 411.0, 18.0], shoonya_0sZRGZMFGZDGY0, 5726402]
[paragraph, [953.0, 927.0, 411.0, 18.0], shoonya_0sZRGZMFGZDGY0, 5726402]
[paragraph, [112.0, 753.0, 744.0, 18.0], shoonya_5sQS6MQLGE6NDN, 5726402]
[paragraph, [112.0, 771.0, 744.0, 18.0], shoonya_5sQS6MQLGE6NDN, 5726402]
[paragraph, [112.0, 789.0, 744.0, 18.0], shoonya_5sQS6MQLGE6NDN, 5726402]
[paragraph, [112.0, 807.0, 744.0, 18.0], shoonya_5sQS6MQLGE6NDN, 5726402]
[paragraph, [112.0, 825.0, 744.0, 18.0], shoonya_5sQS6MQLGE6NDN, 5726402]
[paragraph, [112.0, 843.0, 744.0, 18.0], shoonya_5sQS6MQLGE6NDN, 5726402]
[paragraph, [112.0, 861.0, 744.0, 18.0], shoonya_5sQS6MQLGE6NDN, 5726402]
[paragraph, [112.0, 879.0, 744.0, 18.0], shoonya_5sQS6MQLGE6NDN, 5726402]
[paragraph, [112.0, 897.0, 744.0, 18.0], shoonya_5sQS6MQLGE6NDN, 5726402]
[paragraph, [112.0, 915.0, 744.0, 18.0], shoonya_5sQS6MQLGE6NDN, 5726402]
[paragraph, [112.0, 933.0, 744.0, 18.0], shoonya_5sQS6MQLGE6NDN, 5726402]
[paragraph, [112.0, 951.0, 744.0, 18.0], shoonya_5sQS6MQLGE6NDN, 5726402]
