[2200, 1700]
[paragraph, [370.0, 115.0, 1133.0, 36.0], shoonya_4sU0CPPE17RB8V, 5733900]
[paragraph, [370.0, 151.0, 1133.0, 36.0], shoonya_4sU0CPPE17RB8V, 5733900]
[paragraph, [356.0, 246.0, 1165.0, 36.0], sZMnkH8MYT, 5733900]
[paragraph, [356.0, 282.0, 1165.0, 36.0], sZMnkH8MYT, 5733900]
[paragraph, [356.0, 318.0, 1165.0, 36.0], sZMnkH8MYT, 5733900]
[paragraph, [356.0, 354.0, 1165.0, 36.0], sZMnkH8MYT, 5733900]
[paragraph, [356.0, 390.0, 1165.0, 36.0], sZMnkH8MYT, 5733900]
[paragraph, [356.0, 426.0, 1165.0, 36.0], sZMnkH8MYT, 5733900]
[paragraph, [659.0, 469.0, 653.0, 36.0], shoonya_3sEGQY7ZJRI6UA, 5733900]
[paragraph, [659.0, 505.0, 653.0, 36.0], shoonya_3sEGQY7ZJRI6UA, 5733900]
[paragraph, [659.0, 541.0, 653.0, 36.0], shoonya_3sEGQY7ZJRI6UA, 5733900]
[paragraph, [659.0, 577.0, 653.0, 36.0], shoonya_3sEGQY7ZJRI6UA, 5733900]
[paragraph, [659.0, 613.0, 653.0, 36.0], shoonya_3sEGQY7ZJRI6UA, 5733900]
[paragraph, [659.0, 649.0, 653.0, 36.0], shoonya_3sEGQY7ZJRI6UA, 5733900]
[paragraph, [368.0, 690.0, 1137.0, 36.0], shoonya_2s94MD6TR1H7L8, 5733900]
[paragraph, [368.0, 726.0, 1137.0, 36.0], shoonya_2s94MD6TR1H7L8, 5733900]
[paragraph, [368.0, 762.0, 1137.0, 36.0], shoonya_2s94MD6TR1H7L8, 5733900]
[paragraph, [368.0, 798.0, 1137.0, 36.0], shoonya_2s94MD6TR1H7L8, 5733900]
[paragraph, [368.0, 834.0, 1137.0, 36.0], shoonya_2s94MD6TR1H7L8, 5733900]
[paragraph, [368.0, 870.0, 1137.0, 36.0], shoonya_2s94MD6TR1H7L8, 5733900]
[paragraph, [368.0, 906.0, 1137.0, 36.0], shoonya_2s94MD6TR1H7L8, 5733900]
[paragraph, [373.0, 988.0, 1132.0, 36.0], shoonya_0s4OYJRZOPHXU2, 5733900]
[paragraph, [373.0, 1024.0, 1132.0, 36.0], shoonya_0s4OYJRZOPHXU2, 5733900]
[paragraph, [373.0, 1060.0, 1132.0, 36.0], shoonya_0s4OYJRZOPHXU2, 5733900]
[paragraph, [373.0, 1096.0, 1132.0, 36.0], shoonya_0s4OYJRZOPHXU2, 5733900]
[paragraph, [373.0, 1132.0, 1132.0, 36.0], shoonya_0s4OYJRZOPHXU2, 5733900]
[paragraph, [373.0, 1168.0, 1132.0, 36.0], shoonya_0s4OYJRZOPHXU2, 5733900]
[paragraph, [373.0, 1204.0, 1132.0, 36.0], shoonya_0s4OYJRZOPHXU2, 5733900]
[paragraph, [373.0, 1240.0, 1132.0, 36.0], shoonya_0s4OYJRZOPHXU2, 5733900]
[paragraph, [373.0, 1276.0, 1132.0, 36.0], shoonya_0s4OYJRZOPHXU2, 5733900]
[paragraph, [373.0, 1312.0, 1132.0, 36.0], shoonya_0s4OYJRZOPHXU2, 5733900]
[paragraph, [373.0, 1348.0, 1132.0, 36.0], shoonya_0s4OYJRZOPHXU2, 5733900]
[paragraph, [373.0, 1384.0, 1132.0, 36.0], shoonya_0s4OYJRZOPHXU2, 5733900]
[paragraph, [373.0, 1420.0, 1132.0, 36.0], shoonya_0s4OYJRZOPHXU2, 5733900]
[paragraph, [373.0, 1456.0, 1132.0, 36.0], shoonya_0s4OYJRZOPHXU2, 5733900]
[paragraph, [373.0, 1492.0, 1132.0, 36.0], shoonya_0s4OYJRZOPHXU2, 5733900]
[paragraph, [373.0, 1528.0, 1132.0, 36.0], shoonya_0s4OYJRZOPHXU2, 5733900]
[paragraph, [373.0, 1564.0, 1132.0, 36.0], shoonya_0s4OYJRZOPHXU2, 5733900]
[paragraph, [373.0, 1600.0, 1132.0, 36.0], shoonya_0s4OYJRZOPHXU2, 5733900]
[paragraph, [373.0, 1636.0, 1132.0, 36.0], shoonya_0s4OYJRZOPHXU2, 5733900]
[paragraph, [373.0, 1672.0, 1132.0, 36.0], shoonya_0s4OYJRZOPHXU2, 5733900]
[paragraph, [371.0, 1735.0, 1135.0, 36.0], shoonya_1sANYO7ET5S5V4, 5733900]
[paragraph, [371.0, 1771.0, 1135.0, 36.0], shoonya_1sANYO7ET5S5V4, 5733900]
[paragraph, [371.0, 1807.0, 1135.0, 36.0], shoonya_1sANYO7ET5S5V4, 5733900]
[paragraph, [371.0, 1843.0, 1135.0, 36.0], shoonya_1sANYO7ET5S5V4, 5733900]
[paragraph, [371.0, 1879.0, 1135.0, 36.0], shoonya_1sANYO7ET5S5V4, 5733900]
[paragraph, [371.0, 1915.0, 1135.0, 36.0], shoonya_1sANYO7ET5S5V4, 5733900]
[paragraph, [371.0, 1951.0, 1135.0, 36.0], shoonya_1sANYO7ET5S5V4, 5733900]
[paragraph, [371.0, 1987.0, 1135.0, 36.0], shoonya_1sANYO7ET5S5V4, 5733900]
[paragraph, [371.0, 2023.0, 1135.0, 36.0], shoonya_1sANYO7ET5S5V4, 5733900]
