[792, 612]
[folio, [312.0, 116.0, 149.0, 18.0], 0oEqIiqTvz, 6516726]
[paragraph, [139.0, 165.0, 325.0, 18.0], shoonya_0s74U0XX9TAB8U, 6516726]
[paragraph, [139.0, 183.0, 325.0, 18.0], shoonya_0s74U0XX9TAB8U, 6516726]
[paragraph, [139.0, 201.0, 325.0, 18.0], shoonya_0s74U0XX9TAB8U, 6516726]
[paragraph, [139.0, 219.0, 325.0, 18.0], shoonya_0s74U0XX9TAB8U, 6516726]
[paragraph, [139.0, 237.0, 325.0, 18.0], shoonya_0s74U0XX9TAB8U, 6516726]
[paragraph, [139.0, 255.0, 325.0, 18.0], shoonya_0s74U0XX9TAB8U, 6516726]
[paragraph, [139.0, 273.0, 325.0, 18.0], shoonya_0s74U0XX9TAB8U, 6516726]
[paragraph, [139.0, 291.0, 325.0, 18.0], shoonya_0s74U0XX9TAB8U, 6516726]
[paragraph, [139.0, 309.0, 325.0, 18.0], shoonya_0s74U0XX9TAB8U, 6516726]
[paragraph, [139.0, 327.0, 325.0, 18.0], shoonya_0s74U0XX9TAB8U, 6516726]
[paragraph, [139.0, 345.0, 325.0, 18.0], shoonya_0s74U0XX9TAB8U, 6516726]
[paragraph, [139.0, 363.0, 325.0, 18.0], shoonya_0s74U0XX9TAB8U, 6516726]
[paragraph, [139.0, 381.0, 325.0, 18.0], shoonya_0s74U0XX9TAB8U, 6516726]
[paragraph, [139.0, 399.0, 325.0, 18.0], shoonya_0s74U0XX9TAB8U, 6516726]
[paragraph, [139.0, 417.0, 325.0, 18.0], shoonya_0s74U0XX9TAB8U, 6516726]
[paragraph, [139.0, 435.0, 325.0, 18.0], shoonya_0s74U0XX9TAB8U, 6516726]
[paragraph, [140.0, 469.0, 325.0, 18.0], shoonya_3sNC12ETR2WIJK, 6516726]
[paragraph, [140.0, 487.0, 325.0, 18.0], shoonya_3sNC12ETR2WIJK, 6516726]
[paragraph, [140.0, 505.0, 325.0, 18.0], shoonya_3sNC12ETR2WIJK, 6516726]
[paragraph, [140.0, 528.0, 327.0, 18.0], l9o-_FAajh, 6516726]
[paragraph, [140.0, 546.0, 327.0, 18.0], l9o-_FAajh, 6516726]
[ordered-list, [141.0, 577.0, 327.0, 18.0], shoonya_1sLX46KI0UD0QX, 6516726]
[ordered-list, [141.0, 595.0, 327.0, 18.0], shoonya_1sLX46KI0UD0QX, 6516726]
[ordered-list, [141.0, 613.0, 327.0, 18.0], shoonya_1sLX46KI0UD0QX, 6516726]
