[793, 613]
[section-title, [132.0, 193.0, 354.0, 30.0], u71fKBhFnX, 5780215]
[sub-section-title, [54.0, 244.0, 183.0, 25.5], GUn1cewKG9, 5780215]
[sub-section-title, [54.0, 269.5, 183.0, 25.5], GUn1cewKG9, 5780215]
[sub-section-title, [54.0, 295.0, 183.0, 25.5], GUn1cewKG9, 5780215]
[sub-section-title, [54.0, 320.5, 183.0, 25.5], GUn1cewKG9, 5780215]
[sub-section-title, [54.0, 346.0, 183.0, 25.5], GUn1cewKG9, 5780215]
[sub-section-title, [54.0, 371.5, 183.0, 25.5], GUn1cewKG9, 5780215]
[sub-section-title, [54.0, 397.0, 183.0, 25.5], GUn1cewKG9, 5780215]
[sub-section-title, [54.0, 422.5, 183.0, 25.5], GUn1cewKG9, 5780215]
[sub-section-title, [54.0, 448.0, 183.0, 25.5], GUn1cewKG9, 5780215]
[sub-section-title, [54.0, 473.5, 183.0, 25.5], GUn1cewKG9, 5780215]
[ordered-list, [245.0, 251.0, 323.0, 18.0], 9Io88yQRmu, 5780215]
[ordered-list, [245.0, 269.0, 323.0, 18.0], 9Io88yQRmu, 5780215]
[ordered-list, [245.0, 287.0, 323.0, 18.0], 9Io88yQRmu, 5780215]
[ordered-list, [245.0, 305.0, 323.0, 18.0], 9Io88yQRmu, 5780215]
[ordered-list, [245.0, 323.0, 323.0, 18.0], 9Io88yQRmu, 5780215]
[ordered-list, [245.0, 341.0, 323.0, 18.0], 9Io88yQRmu, 5780215]
[ordered-list, [245.0, 359.0, 323.0, 18.0], 9Io88yQRmu, 5780215]
[ordered-list, [245.0, 377.0, 323.0, 18.0], 9Io88yQRmu, 5780215]
[ordered-list, [245.0, 395.0, 323.0, 18.0], 9Io88yQRmu, 5780215]
[ordered-list, [245.0, 413.0, 323.0, 18.0], 9Io88yQRmu, 5780215]
[ordered-list, [245.0, 431.0, 323.0, 18.0], 9Io88yQRmu, 5780215]
[ordered-list, [245.0, 449.0, 323.0, 18.0], 9Io88yQRmu, 5780215]
[ordered-list, [245.0, 467.0, 323.0, 18.0], 9Io88yQRmu, 5780215]
[flag, [466.0, 497.0, 104.0, 18.0], msHTNHc6FG, 5780215]
[flag, [466.0, 515.0, 104.0, 18.0], msHTNHc6FG, 5780215]
[flag, [466.0, 533.0, 104.0, 18.0], msHTNHc6FG, 5780215]
[footnote, [160.0, 536.0, 279.0, 18.0], shoonya_0sWZC8T0GRV2T0, 5780215]
[folio, [55.0, 545.0, 56.0, 18.0], W8ClHRlo1M, 5780215]
