[1388, 886]
[folio, [622.0, 64.0, 227.0, 18.0], shoonya_1sHV8DUPOWRXJO, 5742472]
[folio, [622.0, 82.0, 227.0, 18.0], shoonya_1sHV8DUPOWRXJO, 5742472]
[folio, [375.0, 66.0, 128.0, 18.0], E35_iN3KZM, 5742472]
[paragraph, [447.0, 126.0, 401.0, 18.0], ZscXzSJJGG, 5742472]
[paragraph, [447.0, 144.0, 401.0, 18.0], ZscXzSJJGG, 5742472]
[paragraph, [447.0, 162.0, 401.0, 18.0], ZscXzSJJGG, 5742472]
[paragraph, [447.0, 180.0, 401.0, 18.0], ZscXzSJJGG, 5742472]
[paragraph, [447.0, 198.0, 401.0, 18.0], ZscXzSJJGG, 5742472]
[paragraph, [447.0, 216.0, 401.0, 18.0], ZscXzSJJGG, 5742472]
[paragraph, [447.0, 234.0, 401.0, 18.0], ZscXzSJJGG, 5742472]
[paragraph, [447.0, 252.0, 401.0, 18.0], ZscXzSJJGG, 5742472]
[paragraph, [31.0, 130.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 148.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 166.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 184.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 202.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 220.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 238.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 256.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 274.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 292.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 310.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 328.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 346.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 364.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 382.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 400.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 418.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 436.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 454.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 472.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 490.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 508.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 526.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 544.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 562.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 580.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 598.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 616.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 634.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 652.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 670.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 688.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 706.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 724.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 742.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 760.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 778.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 796.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 814.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 832.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 850.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 868.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 886.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 904.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 922.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 940.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 958.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 976.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 994.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 1012.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 1030.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 1048.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[paragraph, [31.0, 1066.0, 393.0, 18.0], NdeM8O11gM, 5742472]
[quote, [489.0, 277.0, 357.0, 18.0], zDy-i_NpfO, 5742472]
[quote, [489.0, 295.0, 357.0, 18.0], zDy-i_NpfO, 5742472]
[quote, [489.0, 313.0, 357.0, 18.0], zDy-i_NpfO, 5742472]
[quote, [489.0, 331.0, 357.0, 18.0], zDy-i_NpfO, 5742472]
[quote, [489.0, 349.0, 357.0, 18.0], zDy-i_NpfO, 5742472]
[quote, [489.0, 367.0, 357.0, 18.0], zDy-i_NpfO, 5742472]
[quote, [489.0, 385.0, 357.0, 18.0], zDy-i_NpfO, 5742472]
[paragraph, [450.0, 416.0, 393.0, 18.0], EMJX5TtY4L, 5742472]
[paragraph, [450.0, 434.0, 393.0, 18.0], EMJX5TtY4L, 5742472]
[paragraph, [450.0, 452.0, 393.0, 18.0], EMJX5TtY4L, 5742472]
[paragraph, [450.0, 470.0, 393.0, 18.0], EMJX5TtY4L, 5742472]
[paragraph, [450.0, 488.0, 393.0, 18.0], EMJX5TtY4L, 5742472]
[paragraph, [450.0, 506.0, 393.0, 18.0], EMJX5TtY4L, 5742472]
[paragraph, [450.0, 524.0, 393.0, 18.0], EMJX5TtY4L, 5742472]
[paragraph, [450.0, 542.0, 393.0, 18.0], EMJX5TtY4L, 5742472]
[paragraph, [450.0, 560.0, 393.0, 18.0], EMJX5TtY4L, 5742472]
[paragraph, [450.0, 578.0, 393.0, 18.0], EMJX5TtY4L, 5742472]
[paragraph, [450.0, 596.0, 393.0, 18.0], EMJX5TtY4L, 5742472]
[paragraph, [450.0, 614.0, 393.0, 18.0], EMJX5TtY4L, 5742472]
[paragraph, [450.0, 632.0, 393.0, 18.0], EMJX5TtY4L, 5742472]
[paragraph, [450.0, 650.0, 393.0, 18.0], EMJX5TtY4L, 5742472]
