[720, 500]
[folio, [225.0, 39.0, 95.0, 18.0], 6HH4kkuVmE, 6464982]
[paragraph, [73.0, 72.0, 393.0, 18.0], DGjnaYSL7a, 6464982]
[paragraph, [73.0, 90.0, 393.0, 18.0], DGjnaYSL7a, 6464982]
[paragraph, [71.0, 114.0, 395.0, 18.0], JbEWH-zk-C, 6464982]
[paragraph, [71.0, 132.0, 395.0, 18.0], JbEWH-zk-C, 6464982]
[paragraph, [71.0, 150.0, 395.0, 18.0], JbEWH-zk-C, 6464982]
[paragraph, [71.0, 168.0, 395.0, 18.0], JbEWH-zk-C, 6464982]
[paragraph, [71.0, 186.0, 395.0, 18.0], JbEWH-zk-C, 6464982]
[paragraph, [71.0, 204.0, 395.0, 18.0], JbEWH-zk-C, 6464982]
[paragraph, [71.0, 222.0, 395.0, 18.0], JbEWH-zk-C, 6464982]
[paragraph, [71.0, 240.0, 395.0, 18.0], JbEWH-zk-C, 6464982]
[paragraph, [71.0, 258.0, 395.0, 18.0], JbEWH-zk-C, 6464982]
[paragraph, [65.0, 278.0, 400.0, 18.0], UjCT7bOjwQ, 6464982]
[paragraph, [65.0, 296.0, 400.0, 18.0], UjCT7bOjwQ, 6464982]
[paragraph, [65.0, 314.0, 400.0, 18.0], UjCT7bOjwQ, 6464982]
[paragraph, [65.0, 332.0, 400.0, 18.0], UjCT7bOjwQ, 6464982]
[paragraph, [65.0, 350.0, 400.0, 18.0], UjCT7bOjwQ, 6464982]
[paragraph, [65.0, 368.0, 400.0, 18.0], UjCT7bOjwQ, 6464982]
[paragraph, [65.0, 386.0, 400.0, 18.0], UjCT7bOjwQ, 6464982]
[paragraph, [65.0, 404.0, 400.0, 18.0], UjCT7bOjwQ, 6464982]
[paragraph, [65.0, 422.0, 400.0, 18.0], UjCT7bOjwQ, 6464982]
[paragraph, [65.0, 440.0, 400.0, 18.0], UjCT7bOjwQ, 6464982]
[paragraph, [65.0, 458.0, 400.0, 18.0], UjCT7bOjwQ, 6464982]
[paragraph, [65.0, 476.0, 400.0, 18.0], UjCT7bOjwQ, 6464982]
[paragraph, [65.0, 494.0, 400.0, 18.0], UjCT7bOjwQ, 6464982]
[paragraph, [65.0, 512.0, 400.0, 18.0], UjCT7bOjwQ, 6464982]
[paragraph, [65.0, 530.0, 400.0, 18.0], UjCT7bOjwQ, 6464982]
[paragraph, [99.0, 600.0, 255.0, 18.0], z0RDStQMF3, 6464982]
[paragraph, [99.0, 626.0, 331.0, 18.0], lp7R5jrEPH, 6464982]
