[2200, 1700]
[paragraph, [372.0, 106.0, 1134.0, 36.0], shoonya_2sBKAXUDGE79TL, 5733905]
[paragraph, [372.0, 142.0, 1134.0, 36.0], shoonya_2sBKAXUDGE79TL, 5733905]
[paragraph, [372.0, 178.0, 1134.0, 36.0], shoonya_2sBKAXUDGE79TL, 5733905]
[paragraph, [372.0, 214.0, 1134.0, 36.0], shoonya_2sBKAXUDGE79TL, 5733905]
[paragraph, [372.0, 250.0, 1134.0, 36.0], shoonya_2sBKAXUDGE79TL, 5733905]
[paragraph, [372.0, 286.0, 1134.0, 36.0], shoonya_2sBKAXUDGE79TL, 5733905]
[paragraph, [372.0, 322.0, 1134.0, 36.0], shoonya_2sBKAXUDGE79TL, 5733905]
[paragraph, [372.0, 358.0, 1134.0, 36.0], shoonya_2sBKAXUDGE79TL, 5733905]
[paragraph, [372.0, 394.0, 1134.0, 36.0], shoonya_2sBKAXUDGE79TL, 5733905]
[paragraph, [372.0, 430.0, 1134.0, 36.0], shoonya_2sBKAXUDGE79TL, 5733905]
[paragraph, [372.0, 466.0, 1134.0, 36.0], shoonya_2sBKAXUDGE79TL, 5733905]
[paragraph, [372.0, 502.0, 1134.0, 36.0], shoonya_2sBKAXUDGE79TL, 5733905]
[paragraph, [372.0, 538.0, 1134.0, 36.0], shoonya_2sBKAXUDGE79TL, 5733905]
[paragraph, [372.0, 574.0, 1134.0, 36.0], shoonya_2sBKAXUDGE79TL, 5733905]
[paragraph, [372.0, 610.0, 1134.0, 36.0], shoonya_2sBKAXUDGE79TL, 5733905]
[paragraph, [372.0, 646.0, 1134.0, 36.0], shoonya_2sBKAXUDGE79TL, 5733905]
[paragraph, [372.0, 682.0, 1134.0, 36.0], shoonya_2sBKAXUDGE79TL, 5733905]
[paragraph, [372.0, 718.0, 1134.0, 36.0], shoonya_2sBKAXUDGE79TL, 5733905]
[paragraph, [372.0, 754.0, 1134.0, 36.0], shoonya_2sBKAXUDGE79TL, 5733905]
[paragraph, [372.0, 790.0, 1134.0, 36.0], shoonya_2sBKAXUDGE79TL, 5733905]
[paragraph, [372.0, 826.0, 1134.0, 36.0], shoonya_2sBKAXUDGE79TL, 5733905]
[paragraph, [372.0, 862.0, 1134.0, 36.0], shoonya_2sBKAXUDGE79TL, 5733905]
[paragraph, [372.0, 898.0, 1134.0, 36.0], shoonya_2sBKAXUDGE79TL, 5733905]
[paragraph, [372.0, 934.0, 1134.0, 36.0], shoonya_2sBKAXUDGE79TL, 5733905]
[paragraph, [375.0, 1024.0, 1131.0, 36.0], shoonya_0sD4DTGPYE6YWB, 5733905]
[paragraph, [375.0, 1060.0, 1131.0, 36.0], shoonya_0sD4DTGPYE6YWB, 5733905]
[paragraph, [375.0, 1096.0, 1131.0, 36.0], shoonya_0sD4DTGPYE6YWB, 5733905]
[paragraph, [375.0, 1132.0, 1131.0, 36.0], shoonya_0sD4DTGPYE6YWB, 5733905]
[paragraph, [375.0, 1168.0, 1131.0, 36.0], shoonya_0sD4DTGPYE6YWB, 5733905]
[paragraph, [375.0, 1204.0, 1131.0, 36.0], shoonya_0sD4DTGPYE6YWB, 5733905]
[paragraph, [375.0, 1240.0, 1131.0, 36.0], shoonya_0sD4DTGPYE6YWB, 5733905]
[paragraph, [375.0, 1276.0, 1131.0, 36.0], shoonya_0sD4DTGPYE6YWB, 5733905]
[paragraph, [375.0, 1312.0, 1131.0, 36.0], shoonya_0sD4DTGPYE6YWB, 5733905]
[paragraph, [375.0, 1348.0, 1131.0, 36.0], shoonya_0sD4DTGPYE6YWB, 5733905]
[paragraph, [372.0, 1435.0, 1136.0, 36.0], shoonya_1s9C505TFBEH2U, 5733905]
[paragraph, [372.0, 1471.0, 1136.0, 36.0], shoonya_1s9C505TFBEH2U, 5733905]
[paragraph, [372.0, 1507.0, 1136.0, 36.0], shoonya_1s9C505TFBEH2U, 5733905]
[paragraph, [372.0, 1543.0, 1136.0, 36.0], shoonya_1s9C505TFBEH2U, 5733905]
[paragraph, [372.0, 1579.0, 1136.0, 36.0], shoonya_1s9C505TFBEH2U, 5733905]
[paragraph, [372.0, 1615.0, 1136.0, 36.0], shoonya_1s9C505TFBEH2U, 5733905]
[paragraph, [372.0, 1651.0, 1136.0, 36.0], shoonya_1s9C505TFBEH2U, 5733905]
[paragraph, [372.0, 1687.0, 1136.0, 36.0], shoonya_1s9C505TFBEH2U, 5733905]
[paragraph, [372.0, 1723.0, 1136.0, 36.0], shoonya_1s9C505TFBEH2U, 5733905]
[paragraph, [372.0, 1759.0, 1136.0, 36.0], shoonya_1s9C505TFBEH2U, 5733905]
[paragraph, [372.0, 1795.0, 1136.0, 36.0], shoonya_1s9C505TFBEH2U, 5733905]
[paragraph, [372.0, 1831.0, 1136.0, 36.0], shoonya_1s9C505TFBEH2U, 5733905]
[paragraph, [372.0, 1867.0, 1136.0, 36.0], shoonya_1s9C505TFBEH2U, 5733905]
[paragraph, [376.0, 1963.0, 1127.0, 36.0], shoonya_3sSD5DECMJK32M, 5733905]
[paragraph, [376.0, 1999.0, 1127.0, 36.0], shoonya_3sSD5DECMJK32M, 5733905]
