[1372, 849]
[section-title, [345.0, 70.0, 158.0, 30.0], NxxIBbnUHb, 5710085]
[paragraph, [74.0, 133.0, 700.0, 18.0], shoonya_0s9136FF3EHMLC, 5710085]
[paragraph, [74.0, 151.0, 700.0, 18.0], shoonya_0s9136FF3EHMLC, 5710085]
[paragraph, [74.0, 169.0, 700.0, 18.0], shoonya_0s9136FF3EHMLC, 5710085]
[paragraph, [74.0, 187.0, 700.0, 18.0], shoonya_0s9136FF3EHMLC, 5710085]
[paragraph, [71.0, 215.0, 706.0, 18.0], shoonya_3sZH4QB5AD8CKO, 5710085]
[paragraph, [71.0, 233.0, 706.0, 18.0], shoonya_3sZH4QB5AD8CKO, 5710085]
[paragraph, [71.0, 251.0, 706.0, 18.0], shoonya_3sZH4QB5AD8CKO, 5710085]
[paragraph, [71.0, 269.0, 706.0, 18.0], shoonya_3sZH4QB5AD8CKO, 5710085]
[paragraph, [71.0, 287.0, 706.0, 18.0], shoonya_3sZH4QB5AD8CKO, 5710085]
[paragraph, [71.0, 305.0, 706.0, 18.0], shoonya_3sZH4QB5AD8CKO, 5710085]
[paragraph, [71.0, 323.0, 706.0, 18.0], shoonya_3sZH4QB5AD8CKO, 5710085]
[paragraph, [71.0, 341.0, 706.0, 18.0], shoonya_3sZH4QB5AD8CKO, 5710085]
[paragraph, [71.0, 359.0, 706.0, 18.0], shoonya_3sZH4QB5AD8CKO, 5710085]
[paragraph, [71.0, 377.0, 706.0, 18.0], shoonya_3sZH4QB5AD8CKO, 5710085]
[paragraph, [71.0, 395.0, 706.0, 18.0], shoonya_3sZH4QB5AD8CKO, 5710085]
[paragraph, [71.0, 413.0, 706.0, 18.0], shoonya_3sZH4QB5AD8CKO, 5710085]
[paragraph, [71.0, 431.0, 706.0, 18.0], shoonya_3sZH4QB5AD8CKO, 5710085]
[paragraph, [71.0, 449.0, 706.0, 18.0], shoonya_3sZH4QB5AD8CKO, 5710085]
[paragraph, [71.0, 467.0, 706.0, 18.0], shoonya_3sZH4QB5AD8CKO, 5710085]
