[1518, 1075]
[paragraph, [549.0, 139.0, 441.0, 36.0], shoonya_6sLGUYMIOX7TSQ, 5722703]
[paragraph, [549.0, 175.0, 441.0, 36.0], shoonya_6sLGUYMIOX7TSQ, 5722703]
[paragraph, [105.0, 140.0, 444.0, 36.0], shoonya_3sIK80IWPRRI9R, 5722703]
[paragraph, [105.0, 176.0, 444.0, 36.0], shoonya_3sIK80IWPRRI9R, 5722703]
[paragraph, [105.0, 212.0, 444.0, 36.0], shoonya_3sIK80IWPRRI9R, 5722703]
[paragraph, [105.0, 248.0, 444.0, 36.0], shoonya_3sIK80IWPRRI9R, 5722703]
[paragraph, [105.0, 284.0, 444.0, 36.0], shoonya_3sIK80IWPRRI9R, 5722703]
[paragraph, [105.0, 320.0, 444.0, 36.0], shoonya_3sIK80IWPRRI9R, 5722703]
[paragraph, [594.0, 229.0, 390.0, 36.0], shoonya_9sQ1MUAMDXKY03, 5722703]
[paragraph, [549.0, 293.0, 442.0, 36.0], shoonya_4sMCWWLUDUF7PM, 5722703]
[paragraph, [549.0, 329.0, 442.0, 36.0], shoonya_4sMCWWLUDUF7PM, 5722703]
[paragraph, [549.0, 365.0, 442.0, 36.0], shoonya_4sMCWWLUDUF7PM, 5722703]
[paragraph, [549.0, 401.0, 442.0, 36.0], shoonya_4sMCWWLUDUF7PM, 5722703]
[paragraph, [549.0, 437.0, 442.0, 36.0], shoonya_4sMCWWLUDUF7PM, 5722703]
[paragraph, [549.0, 473.0, 442.0, 36.0], shoonya_4sMCWWLUDUF7PM, 5722703]
[paragraph, [549.0, 509.0, 442.0, 36.0], shoonya_4sMCWWLUDUF7PM, 5722703]
[paragraph, [549.0, 545.0, 442.0, 36.0], shoonya_4sMCWWLUDUF7PM, 5722703]
[paragraph, [549.0, 581.0, 442.0, 36.0], shoonya_4sMCWWLUDUF7PM, 5722703]
[paragraph, [549.0, 617.0, 442.0, 36.0], shoonya_4sMCWWLUDUF7PM, 5722703]
[paragraph, [549.0, 653.0, 442.0, 36.0], shoonya_4sMCWWLUDUF7PM, 5722703]
[paragraph, [549.0, 689.0, 442.0, 36.0], shoonya_4sMCWWLUDUF7PM, 5722703]
[paragraph, [549.0, 725.0, 442.0, 36.0], shoonya_4sMCWWLUDUF7PM, 5722703]
[paragraph, [549.0, 761.0, 442.0, 36.0], shoonya_4sMCWWLUDUF7PM, 5722703]
[paragraph, [549.0, 797.0, 442.0, 36.0], shoonya_4sMCWWLUDUF7PM, 5722703]
[paragraph, [549.0, 833.0, 442.0, 36.0], shoonya_4sMCWWLUDUF7PM, 5722703]
[paragraph, [549.0, 869.0, 442.0, 36.0], shoonya_4sMCWWLUDUF7PM, 5722703]
[paragraph, [549.0, 905.0, 442.0, 36.0], shoonya_4sMCWWLUDUF7PM, 5722703]
[paragraph, [549.0, 941.0, 442.0, 36.0], shoonya_4sMCWWLUDUF7PM, 5722703]
[paragraph, [549.0, 977.0, 442.0, 36.0], shoonya_4sMCWWLUDUF7PM, 5722703]
[paragraph, [549.0, 1013.0, 442.0, 36.0], shoonya_4sMCWWLUDUF7PM, 5722703]
[paragraph, [549.0, 1049.0, 442.0, 36.0], shoonya_4sMCWWLUDUF7PM, 5722703]
[paragraph, [549.0, 1085.0, 442.0, 36.0], shoonya_4sMCWWLUDUF7PM, 5722703]
[paragraph, [549.0, 1121.0, 442.0, 36.0], shoonya_4sMCWWLUDUF7PM, 5722703]
[paragraph, [549.0, 1157.0, 442.0, 36.0], shoonya_4sMCWWLUDUF7PM, 5722703]
[paragraph, [107.0, 382.0, 442.0, 36.0], shoonya_1sWXR37NNXXFSX, 5722703]
[paragraph, [107.0, 418.0, 442.0, 36.0], shoonya_1sWXR37NNXXFSX, 5722703]
[paragraph, [107.0, 454.0, 442.0, 36.0], shoonya_1sWXR37NNXXFSX, 5722703]
[paragraph, [107.0, 490.0, 442.0, 36.0], shoonya_1sWXR37NNXXFSX, 5722703]
[paragraph, [107.0, 526.0, 442.0, 36.0], shoonya_1sWXR37NNXXFSX, 5722703]
[paragraph, [107.0, 562.0, 442.0, 36.0], shoonya_1sWXR37NNXXFSX, 5722703]
[paragraph, [107.0, 598.0, 442.0, 36.0], shoonya_1sWXR37NNXXFSX, 5722703]
[paragraph, [107.0, 634.0, 442.0, 36.0], shoonya_1sWXR37NNXXFSX, 5722703]
[paragraph, [107.0, 670.0, 442.0, 36.0], shoonya_1sWXR37NNXXFSX, 5722703]
[paragraph, [107.0, 730.0, 441.0, 36.0], shoonya_0sCZEDMXMKPQ56, 5722703]
[paragraph, [107.0, 766.0, 441.0, 36.0], shoonya_0sCZEDMXMKPQ56, 5722703]
[paragraph, [107.0, 802.0, 441.0, 36.0], shoonya_0sCZEDMXMKPQ56, 5722703]
[paragraph, [107.0, 838.0, 441.0, 36.0], shoonya_0sCZEDMXMKPQ56, 5722703]
[paragraph, [107.0, 874.0, 441.0, 36.0], shoonya_0sCZEDMXMKPQ56, 5722703]
[paragraph, [107.0, 910.0, 441.0, 36.0], shoonya_0sCZEDMXMKPQ56, 5722703]
[paragraph, [107.0, 946.0, 441.0, 36.0], shoonya_0sCZEDMXMKPQ56, 5722703]
[paragraph, [107.0, 982.0, 441.0, 36.0], shoonya_0sCZEDMXMKPQ56, 5722703]
[paragraph, [107.0, 1020.0, 441.0, 36.0], shoonya_2s1XIR3GAAT3GV, 5722703]
[paragraph, [107.0, 1056.0, 441.0, 36.0], shoonya_2s1XIR3GAAT3GV, 5722703]
[paragraph, [107.0, 1092.0, 441.0, 36.0], shoonya_2s1XIR3GAAT3GV, 5722703]
[paragraph, [107.0, 1128.0, 441.0, 36.0], shoonya_2s1XIR3GAAT3GV, 5722703]
[paragraph, [107.0, 1164.0, 441.0, 36.0], shoonya_2s1XIR3GAAT3GV, 5722703]
[paragraph, [107.0, 1200.0, 441.0, 36.0], shoonya_2s1XIR3GAAT3GV, 5722703]
[paragraph, [107.0, 1236.0, 441.0, 36.0], shoonya_2s1XIR3GAAT3GV, 5722703]
[paragraph, [107.0, 1272.0, 441.0, 36.0], shoonya_2s1XIR3GAAT3GV, 5722703]
[paragraph, [549.0, 1208.0, 443.0, 36.0], shoonya_5sNNLUH9N4NID8, 5722703]
[paragraph, [549.0, 1244.0, 443.0, 36.0], shoonya_5sNNLUH9N4NID8, 5722703]
[paragraph, [549.0, 1280.0, 443.0, 36.0], shoonya_5sNNLUH9N4NID8, 5722703]
[folio, [245.0, 1350.0, 611.0, 36.0], fUopsZlNIg, 5722703]
[folio, [191.0, 1385.0, 306.0, 36.0], bcw8MgqJqM, 5722703]
