[2349, 1702]
[paragraph, [369.0, 198.0, 1193.0, 36.0], shoonya_1sFSTIT8G79UTB, 5734395]
[paragraph, [369.0, 234.0, 1193.0, 36.0], shoonya_1sFSTIT8G79UTB, 5734395]
[paragraph, [369.0, 270.0, 1193.0, 36.0], shoonya_1sFSTIT8G79UTB, 5734395]
[paragraph, [375.0, 346.0, 1191.0, 36.0], shoonya_4s8UG0S4Y8CCUG, 5734395]
[paragraph, [375.0, 382.0, 1191.0, 36.0], shoonya_4s8UG0S4Y8CCUG, 5734395]
[paragraph, [375.0, 418.0, 1191.0, 36.0], shoonya_4s8UG0S4Y8CCUG, 5734395]
[paragraph, [375.0, 454.0, 1191.0, 36.0], shoonya_4s8UG0S4Y8CCUG, 5734395]
[paragraph, [375.0, 490.0, 1191.0, 36.0], shoonya_4s8UG0S4Y8CCUG, 5734395]
[paragraph, [375.0, 526.0, 1191.0, 36.0], shoonya_4s8UG0S4Y8CCUG, 5734395]
[paragraph, [375.0, 562.0, 1191.0, 36.0], shoonya_4s8UG0S4Y8CCUG, 5734395]
[paragraph, [375.0, 598.0, 1191.0, 36.0], shoonya_4s8UG0S4Y8CCUG, 5734395]
[paragraph, [375.0, 681.0, 1178.0, 36.0], shoonya_0sA0EMMJI4HUUC, 5734395]
[paragraph, [375.0, 717.0, 1178.0, 36.0], shoonya_0sA0EMMJI4HUUC, 5734395]
[paragraph, [375.0, 753.0, 1178.0, 36.0], shoonya_0sA0EMMJI4HUUC, 5734395]
[paragraph, [375.0, 789.0, 1178.0, 36.0], shoonya_0sA0EMMJI4HUUC, 5734395]
[paragraph, [375.0, 825.0, 1178.0, 36.0], shoonya_0sA0EMMJI4HUUC, 5734395]
[paragraph, [375.0, 861.0, 1178.0, 36.0], shoonya_0sA0EMMJI4HUUC, 5734395]
[paragraph, [375.0, 897.0, 1178.0, 36.0], shoonya_0sA0EMMJI4HUUC, 5734395]
[paragraph, [375.0, 933.0, 1178.0, 36.0], shoonya_0sA0EMMJI4HUUC, 5734395]
[paragraph, [375.0, 969.0, 1178.0, 36.0], shoonya_0sA0EMMJI4HUUC, 5734395]
[paragraph, [375.0, 1005.0, 1178.0, 36.0], shoonya_0sA0EMMJI4HUUC, 5734395]
[paragraph, [375.0, 1041.0, 1178.0, 36.0], shoonya_0sA0EMMJI4HUUC, 5734395]
[paragraph, [375.0, 1077.0, 1178.0, 36.0], shoonya_0sA0EMMJI4HUUC, 5734395]
[paragraph, [375.0, 1113.0, 1178.0, 36.0], shoonya_0sA0EMMJI4HUUC, 5734395]
[paragraph, [375.0, 1149.0, 1178.0, 36.0], shoonya_0sA0EMMJI4HUUC, 5734395]
[paragraph, [375.0, 1185.0, 1178.0, 36.0], shoonya_0sA0EMMJI4HUUC, 5734395]
[paragraph, [375.0, 1221.0, 1178.0, 36.0], shoonya_0sA0EMMJI4HUUC, 5734395]
[paragraph, [375.0, 1257.0, 1178.0, 36.0], shoonya_0sA0EMMJI4HUUC, 5734395]
[paragraph, [375.0, 1293.0, 1178.0, 36.0], shoonya_0sA0EMMJI4HUUC, 5734395]
[paragraph, [375.0, 1329.0, 1178.0, 36.0], shoonya_0sA0EMMJI4HUUC, 5734395]
[paragraph, [375.0, 1365.0, 1178.0, 36.0], shoonya_0sA0EMMJI4HUUC, 5734395]
[paragraph, [375.0, 1401.0, 1178.0, 36.0], shoonya_0sA0EMMJI4HUUC, 5734395]
[paragraph, [375.0, 1437.0, 1178.0, 36.0], shoonya_0sA0EMMJI4HUUC, 5734395]
[paragraph, [375.0, 1473.0, 1178.0, 36.0], shoonya_0sA0EMMJI4HUUC, 5734395]
[paragraph, [375.0, 1509.0, 1178.0, 36.0], shoonya_0sA0EMMJI4HUUC, 5734395]
[paragraph, [375.0, 1545.0, 1178.0, 36.0], shoonya_0sA0EMMJI4HUUC, 5734395]
[paragraph, [375.0, 1581.0, 1178.0, 36.0], shoonya_0sA0EMMJI4HUUC, 5734395]
[paragraph, [375.0, 1617.0, 1178.0, 36.0], shoonya_0sA0EMMJI4HUUC, 5734395]
[paragraph, [375.0, 1653.0, 1178.0, 36.0], shoonya_0sA0EMMJI4HUUC, 5734395]
[paragraph, [375.0, 1689.0, 1178.0, 36.0], shoonya_0sA0EMMJI4HUUC, 5734395]
[paragraph, [375.0, 1725.0, 1178.0, 36.0], shoonya_0sA0EMMJI4HUUC, 5734395]
[paragraph, [375.0, 1761.0, 1178.0, 36.0], shoonya_0sA0EMMJI4HUUC, 5734395]
[paragraph, [375.0, 1797.0, 1178.0, 36.0], shoonya_0sA0EMMJI4HUUC, 5734395]
[paragraph, [375.0, 1833.0, 1178.0, 36.0], shoonya_0sA0EMMJI4HUUC, 5734395]
[paragraph, [375.0, 1911.0, 1186.0, 36.0], shoonya_3sN4FLA6QT1FHZ, 5734395]
