[596, 842]
[folio, [39.0, 20.0, 39.0, 18.0], MVGaQhLli_, 5782145]
[paragraph, [435.0, 97.0, 358.0, 18.0], shoonya_4s4BEYPFTW5B2O, 5782145]
[paragraph, [41.0, 99.0, 341.0, 18.0], shoonya_2s1ZFFDPLG8WX7, 5782145]
[paragraph, [41.0, 117.0, 341.0, 18.0], shoonya_2s1ZFFDPLG8WX7, 5782145]
[unordered-list, [438.0, 139.0, 355.0, 18.0], shoonya_0sTVBOPRZZ8GBZ, 5782145]
[unordered-list, [438.0, 157.0, 355.0, 18.0], shoonya_0sTVBOPRZZ8GBZ, 5782145]
[unordered-list, [438.0, 175.0, 355.0, 18.0], shoonya_0sTVBOPRZZ8GBZ, 5782145]
[unordered-list, [438.0, 193.0, 355.0, 18.0], shoonya_0sTVBOPRZZ8GBZ, 5782145]
[unordered-list, [438.0, 211.0, 355.0, 18.0], shoonya_0sTVBOPRZZ8GBZ, 5782145]
[unordered-list, [438.0, 229.0, 355.0, 18.0], shoonya_0sTVBOPRZZ8GBZ, 5782145]
[unordered-list, [438.0, 247.0, 355.0, 18.0], shoonya_0sTVBOPRZZ8GBZ, 5782145]
[unordered-list, [438.0, 265.0, 355.0, 18.0], shoonya_0sTVBOPRZZ8GBZ, 5782145]
[unordered-list, [438.0, 283.0, 355.0, 18.0], shoonya_0sTVBOPRZZ8GBZ, 5782145]
[unordered-list, [438.0, 301.0, 355.0, 18.0], shoonya_0sTVBOPRZZ8GBZ, 5782145]
[unordered-list, [83.0, 141.0, 325.0, 18.0], shoonya_1sDIQP51RHUZ7Z, 5782145]
[unordered-list, [83.0, 159.0, 325.0, 18.0], shoonya_1sDIQP51RHUZ7Z, 5782145]
[unordered-list, [83.0, 177.0, 325.0, 18.0], shoonya_1sDIQP51RHUZ7Z, 5782145]
[unordered-list, [83.0, 195.0, 325.0, 18.0], shoonya_1sDIQP51RHUZ7Z, 5782145]
[unordered-list, [83.0, 213.0, 325.0, 18.0], shoonya_1sDIQP51RHUZ7Z, 5782145]
[unordered-list, [83.0, 231.0, 325.0, 18.0], shoonya_1sDIQP51RHUZ7Z, 5782145]
[unordered-list, [83.0, 249.0, 325.0, 18.0], shoonya_1sDIQP51RHUZ7Z, 5782145]
