[1650, 1275]
[headline, [150.0, 45.0, 604.0, 37.5], shoonya_16s9M2VIWWKBVU, 5771810]
[headline, [150.0, 82.5, 604.0, 37.5], shoonya_16s9M2VIWWKBVU, 5771810]
[headline, [150.0, 120.0, 604.0, 37.5], shoonya_16s9M2VIWWKBVU, 5771810]
[headline, [150.0, 157.5, 604.0, 37.5], shoonya_16s9M2VIWWKBVU, 5771810]
[paragraph, [124.0, 344.0, 533.0, 36.0], shoonya_1sS8A5NVE4PCWM, 5771810]
[paragraph, [124.0, 380.0, 533.0, 36.0], shoonya_1sS8A5NVE4PCWM, 5771810]
[paragraph, [124.0, 416.0, 533.0, 36.0], shoonya_1sS8A5NVE4PCWM, 5771810]
[paragraph, [124.0, 452.0, 533.0, 36.0], shoonya_1sS8A5NVE4PCWM, 5771810]
[paragraph, [124.0, 488.0, 533.0, 36.0], shoonya_1sS8A5NVE4PCWM, 5771810]
[paragraph, [124.0, 524.0, 533.0, 36.0], shoonya_1sS8A5NVE4PCWM, 5771810]
[paragraph, [124.0, 560.0, 533.0, 36.0], shoonya_1sS8A5NVE4PCWM, 5771810]
[paragraph, [124.0, 596.0, 533.0, 36.0], shoonya_1sS8A5NVE4PCWM, 5771810]
[paragraph, [124.0, 632.0, 533.0, 36.0], shoonya_1sS8A5NVE4PCWM, 5771810]
[paragraph, [122.0, 686.0, 534.0, 36.0], shoonya_13sNVH5HXMRDBG, 5771810]
[paragraph, [122.0, 722.0, 534.0, 36.0], shoonya_13sNVH5HXMRDBG, 5771810]
[paragraph, [122.0, 758.0, 534.0, 36.0], shoonya_13sNVH5HXMRDBG, 5771810]
[paragraph, [122.0, 794.0, 534.0, 36.0], shoonya_13sNVH5HXMRDBG, 5771810]
[paragraph, [122.0, 830.0, 534.0, 36.0], shoonya_13sNVH5HXMRDBG, 5771810]
[paragraph, [122.0, 866.0, 534.0, 36.0], shoonya_13sNVH5HXMRDBG, 5771810]
[paragraph, [122.0, 939.0, 534.0, 36.0], shoonya_10sPOZMNEALWR2, 5771810]
[paragraph, [122.0, 975.0, 534.0, 36.0], shoonya_10sPOZMNEALWR2, 5771810]
[paragraph, [122.0, 1011.0, 534.0, 36.0], shoonya_10sPOZMNEALWR2, 5771810]
[paragraph, [660.0, 990.0, 537.0, 36.0], shoonya_11sQ3MTZRDFDKC, 5771810]
[paragraph, [660.0, 1026.0, 537.0, 36.0], shoonya_11sQ3MTZRDFDKC, 5771810]
[paragraph, [120.0, 1071.0, 388.0, 36.0], shoonya_2s05QEZDM53TEA, 5771810]
[paragraph, [120.0, 1107.0, 388.0, 36.0], shoonya_2s05QEZDM53TEA, 5771810]
[paragraph, [120.0, 1143.0, 388.0, 36.0], shoonya_2s05QEZDM53TEA, 5771810]
[paragraph, [790.0, 1083.0, 404.0, 36.0], shoonya_14sF1Z6BHBYY5U, 5771810]
[paragraph, [789.0, 1140.0, 405.0, 36.0], shoonya_5sJ2LPTJ18K8B2, 5771810]
[paragraph, [789.0, 1176.0, 405.0, 36.0], shoonya_5sJ2LPTJ18K8B2, 5771810]
[paragraph, [789.0, 1212.0, 405.0, 36.0], shoonya_5sJ2LPTJ18K8B2, 5771810]
[paragraph, [789.0, 1248.0, 405.0, 36.0], shoonya_5sJ2LPTJ18K8B2, 5771810]
[paragraph, [789.0, 1284.0, 405.0, 36.0], shoonya_5sJ2LPTJ18K8B2, 5771810]
[paragraph, [122.0, 1202.0, 386.0, 36.0], shoonya_6sCEPTG4I22TYM, 5771810]
[paragraph, [122.0, 1238.0, 386.0, 36.0], shoonya_6sCEPTG4I22TYM, 5771810]
[paragraph, [122.0, 1274.0, 386.0, 36.0], shoonya_6sCEPTG4I22TYM, 5771810]
[paragraph, [122.0, 1310.0, 386.0, 36.0], shoonya_6sCEPTG4I22TYM, 5771810]
[paragraph, [122.0, 1346.0, 386.0, 36.0], shoonya_6sCEPTG4I22TYM, 5771810]
[paragraph, [122.0, 1382.0, 386.0, 36.0], shoonya_6sCEPTG4I22TYM, 5771810]
[paragraph, [122.0, 1418.0, 386.0, 36.0], shoonya_6sCEPTG4I22TYM, 5771810]
[paragraph, [792.0, 1342.0, 402.0, 36.0], shoonya_4s5B4UJ7EGPPYY, 5771810]
[paragraph, [792.0, 1378.0, 402.0, 36.0], shoonya_4s5B4UJ7EGPPYY, 5771810]
[paragraph, [792.0, 1414.0, 402.0, 36.0], shoonya_4s5B4UJ7EGPPYY, 5771810]
[figure-caption, [583.0, 1424.0, 145.0, 36.0], shoonya_3sNVI868TYQJHM, 5771810]
[folio, [582.0, 1485.0, 150.0, 36.0], shoonya_18sOS9CHY13BGD, 5771810]
