[792, 612]
[folio, [83.0, 59.0, 91.0, 18.0], msXi4iOFIQ, 6514370]
[website-link, [363.0, 63.0, 96.0, 18.0], KMiTzYPwOA, 6514370]
[paragraph, [226.0, 87.0, 140.0, 18.0], Pkopc3i13n, 6514370]
[paragraph, [49.0, 104.0, 79.0, 18.0], 8ii6NcQtVN, 6514370]
[paragraph, [407.0, 104.0, 85.0, 18.0], 13shzCAOT7, 6514370]
[paragraph, [407.0, 122.0, 85.0, 18.0], 13shzCAOT7, 6514370]
[paragraph, [230.0, 129.0, 101.0, 18.0], MhHggcWNNX, 6514370]
[paragraph, [230.0, 147.0, 101.0, 18.0], MhHggcWNNX, 6514370]
[paragraph, [48.0, 155.0, 90.0, 18.0], Snqr7JGmNA, 6514370]
[paragraph, [48.0, 173.0, 90.0, 18.0], Snqr7JGmNA, 6514370]
[paragraph, [405.0, 155.0, 89.0, 18.0], WOnRDJ4nj6, 6514370]
[paragraph, [405.0, 173.0, 89.0, 18.0], WOnRDJ4nj6, 6514370]
[paragraph, [229.0, 181.0, 115.0, 18.0], LGTqfmJGI6, 6514370]
[paragraph, [229.0, 199.0, 115.0, 18.0], LGTqfmJGI6, 6514370]
[paragraph, [45.0, 207.0, 120.0, 18.0], FQJ-b2xDEd, 6514370]
[paragraph, [45.0, 225.0, 120.0, 18.0], FQJ-b2xDEd, 6514370]
[paragraph, [407.0, 211.0, 97.0, 18.0], m7buoNLroz, 6514370]
[paragraph, [407.0, 229.0, 97.0, 18.0], m7buoNLroz, 6514370]
[paragraph, [226.0, 234.0, 103.0, 18.0], ExOuwa37Ih, 6514370]
[paragraph, [226.0, 252.0, 103.0, 18.0], ExOuwa37Ih, 6514370]
[paragraph, [49.0, 261.0, 87.0, 18.0], z2eyUAA0mh, 6514370]
[paragraph, [49.0, 279.0, 87.0, 18.0], z2eyUAA0mh, 6514370]
[paragraph, [407.0, 264.0, 119.0, 18.0], Ho1EO1FU1x, 6514370]
[paragraph, [407.0, 282.0, 119.0, 18.0], Ho1EO1FU1x, 6514370]
[paragraph, [229.0, 285.0, 100.0, 18.0], lnSNM2MMDT, 6514370]
[paragraph, [229.0, 303.0, 100.0, 18.0], lnSNM2MMDT, 6514370]
[paragraph, [48.0, 313.0, 113.0, 18.0], HnLyrQ2Fa1, 6514370]
[paragraph, [403.0, 325.0, 99.0, 18.0], vUOVFle6mg, 6514370]
[paragraph, [403.0, 343.0, 99.0, 18.0], vUOVFle6mg, 6514370]
[paragraph, [229.0, 337.0, 111.0, 18.0], 2vEUan36BL, 6514370]
[paragraph, [229.0, 355.0, 111.0, 18.0], 2vEUan36BL, 6514370]
[paragraph, [49.0, 366.0, 91.0, 18.0], 3d7oZI79nn, 6514370]
[paragraph, [407.0, 375.0, 119.0, 18.0], 4mfimN9DyJ, 6514370]
[paragraph, [407.0, 393.0, 119.0, 18.0], 4mfimN9DyJ, 6514370]
[paragraph, [229.0, 391.0, 97.0, 18.0], aCck9DpaQ5, 6514370]
[paragraph, [229.0, 409.0, 97.0, 18.0], aCck9DpaQ5, 6514370]
[paragraph, [49.0, 417.0, 95.0, 18.0], w8kF3JkPH4, 6514370]
[paragraph, [49.0, 435.0, 95.0, 18.0], w8kF3JkPH4, 6514370]
[paragraph, [407.0, 428.0, 90.0, 18.0], 1eNtqsl4h6, 6514370]
[paragraph, [229.0, 445.0, 91.0, 18.0], cPt441Edfo, 6514370]
[paragraph, [229.0, 463.0, 91.0, 18.0], cPt441Edfo, 6514370]
[paragraph, [46.0, 467.0, 89.0, 18.0], Ot0ucKr3CL, 6514370]
[paragraph, [46.0, 485.0, 89.0, 18.0], Ot0ucKr3CL, 6514370]
[paragraph, [407.0, 478.0, 102.0, 18.0], v760cDDm-E, 6514370]
[paragraph, [407.0, 496.0, 102.0, 18.0], v760cDDm-E, 6514370]
[paragraph, [229.0, 499.0, 97.0, 18.0], bmAmbyAd1q, 6514370]
[paragraph, [229.0, 517.0, 97.0, 18.0], bmAmbyAd1q, 6514370]
[paragraph, [41.0, 518.0, 117.0, 18.0], j--Nv9k5FL, 6514370]
[paragraph, [41.0, 536.0, 117.0, 18.0], j--Nv9k5FL, 6514370]
[paragraph, [409.0, 531.0, 89.0, 18.0], F0FOI-GzkP, 6514370]
[paragraph, [409.0, 549.0, 89.0, 18.0], F0FOI-GzkP, 6514370]
[paragraph, [227.0, 554.0, 97.0, 18.0], fntrlHpQnV, 6514370]
[paragraph, [227.0, 572.0, 97.0, 18.0], fntrlHpQnV, 6514370]
[paragraph, [48.0, 571.0, 111.0, 18.0], yKivVa71b_, 6514370]
[paragraph, [409.0, 582.0, 115.0, 18.0], cRBFUpUXx8, 6514370]
[paragraph, [409.0, 600.0, 115.0, 18.0], cRBFUpUXx8, 6514370]
[paragraph, [226.0, 605.0, 97.0, 18.0], ifbYvDK4HP, 6514370]
[paragraph, [226.0, 623.0, 97.0, 18.0], ifbYvDK4HP, 6514370]
[paragraph, [48.0, 623.0, 97.0, 18.0], d_TO8an0Y8, 6514370]
[paragraph, [48.0, 641.0, 97.0, 18.0], d_TO8an0Y8, 6514370]
[paragraph, [409.0, 637.0, 96.0, 18.0], XFCSmGc8yG, 6514370]
[paragraph, [409.0, 655.0, 96.0, 18.0], XFCSmGc8yG, 6514370]
[paragraph, [226.0, 660.0, 110.0, 18.0], aIzaDVnnKf, 6514370]
[paragraph, [226.0, 678.0, 110.0, 18.0], aIzaDVnnKf, 6514370]
