[1050, 693]
[folio, [82.0, 77.0, 86.0, 18.0], shoonya_1s7ND7ZANZ8YVP, 5702503]
[folio, [82.0, 95.0, 86.0, 18.0], shoonya_1s7ND7ZANZ8YVP, 5702503]
[paragraph, [84.0, 128.0, 530.0, 18.0], w0HwSJ67tc, 5702503]
[paragraph, [84.0, 146.0, 530.0, 18.0], w0HwSJ67tc, 5702503]
[paragraph, [84.0, 164.0, 530.0, 18.0], w0HwSJ67tc, 5702503]
[paragraph, [82.0, 192.0, 527.0, 18.0], shoonya_0sYHGHHHR9USHR, 5702503]
[paragraph, [82.0, 210.0, 527.0, 18.0], shoonya_0sYHGHHHR9USHR, 5702503]
[paragraph, [82.0, 228.0, 527.0, 18.0], shoonya_0sYHGHHHR9USHR, 5702503]
[paragraph, [82.0, 246.0, 527.0, 18.0], shoonya_0sYHGHHHR9USHR, 5702503]
[paragraph, [82.0, 264.0, 527.0, 18.0], shoonya_0sYHGHHHR9USHR, 5702503]
[paragraph, [82.0, 282.0, 527.0, 18.0], shoonya_0sYHGHHHR9USHR, 5702503]
[paragraph, [82.0, 300.0, 527.0, 18.0], shoonya_0sYHGHHHR9USHR, 5702503]
[paragraph, [82.0, 318.0, 527.0, 18.0], shoonya_0sYHGHHHR9USHR, 5702503]
[paragraph, [82.0, 336.0, 527.0, 18.0], shoonya_0sYHGHHHR9USHR, 5702503]
[paragraph, [82.0, 354.0, 527.0, 18.0], shoonya_0sYHGHHHR9USHR, 5702503]
[paragraph, [82.0, 372.0, 527.0, 18.0], shoonya_0sYHGHHHR9USHR, 5702503]
[paragraph, [82.0, 390.0, 527.0, 18.0], shoonya_0sYHGHHHR9USHR, 5702503]
[paragraph, [82.0, 408.0, 527.0, 18.0], shoonya_0sYHGHHHR9USHR, 5702503]
[paragraph, [82.0, 426.0, 527.0, 18.0], shoonya_0sYHGHHHR9USHR, 5702503]
[paragraph, [82.0, 444.0, 527.0, 18.0], shoonya_0sYHGHHHR9USHR, 5702503]
[paragraph, [82.0, 462.0, 527.0, 18.0], shoonya_0sYHGHHHR9USHR, 5702503]
[paragraph, [81.0, 486.0, 529.0, 18.0], shoonya_3s5ROR9UWB9VE9, 5702503]
[paragraph, [81.0, 504.0, 529.0, 18.0], shoonya_3s5ROR9UWB9VE9, 5702503]
[paragraph, [81.0, 522.0, 529.0, 18.0], shoonya_3s5ROR9UWB9VE9, 5702503]
[paragraph, [81.0, 540.0, 529.0, 18.0], shoonya_3s5ROR9UWB9VE9, 5702503]
[paragraph, [81.0, 558.0, 529.0, 18.0], shoonya_3s5ROR9UWB9VE9, 5702503]
[paragraph, [81.0, 576.0, 529.0, 18.0], shoonya_3s5ROR9UWB9VE9, 5702503]
[paragraph, [81.0, 594.0, 529.0, 18.0], shoonya_3s5ROR9UWB9VE9, 5702503]
[paragraph, [81.0, 612.0, 529.0, 18.0], shoonya_3s5ROR9UWB9VE9, 5702503]
[paragraph, [81.0, 630.0, 529.0, 18.0], shoonya_3s5ROR9UWB9VE9, 5702503]
[paragraph, [81.0, 648.0, 529.0, 18.0], shoonya_3s5ROR9UWB9VE9, 5702503]
[paragraph, [81.0, 666.0, 529.0, 18.0], shoonya_3s5ROR9UWB9VE9, 5702503]
[paragraph, [81.0, 684.0, 529.0, 18.0], shoonya_3s5ROR9UWB9VE9, 5702503]
[paragraph, [81.0, 702.0, 529.0, 18.0], shoonya_3s5ROR9UWB9VE9, 5702503]
[paragraph, [81.0, 720.0, 529.0, 18.0], shoonya_3s5ROR9UWB9VE9, 5702503]
[paragraph, [81.0, 739.0, 529.0, 18.0], shoonya_2sGB4RYUVD5CBH, 5702503]
[paragraph, [81.0, 757.0, 529.0, 18.0], shoonya_2sGB4RYUVD5CBH, 5702503]
[paragraph, [81.0, 775.0, 529.0, 18.0], shoonya_2sGB4RYUVD5CBH, 5702503]
[paragraph, [81.0, 793.0, 529.0, 18.0], shoonya_2sGB4RYUVD5CBH, 5702503]
[paragraph, [81.0, 811.0, 529.0, 18.0], shoonya_2sGB4RYUVD5CBH, 5702503]
[paragraph, [81.0, 829.0, 529.0, 18.0], shoonya_2sGB4RYUVD5CBH, 5702503]
[paragraph, [81.0, 847.0, 529.0, 18.0], shoonya_2sGB4RYUVD5CBH, 5702503]
[paragraph, [81.0, 865.0, 529.0, 18.0], shoonya_2sGB4RYUVD5CBH, 5702503]
[paragraph, [81.0, 883.0, 529.0, 18.0], shoonya_2sGB4RYUVD5CBH, 5702503]
[paragraph, [81.0, 901.0, 529.0, 18.0], shoonya_2sGB4RYUVD5CBH, 5702503]
[paragraph, [81.0, 919.0, 529.0, 18.0], shoonya_2sGB4RYUVD5CBH, 5702503]
[paragraph, [81.0, 937.0, 529.0, 18.0], shoonya_2sGB4RYUVD5CBH, 5702503]
[paragraph, [81.0, 955.0, 529.0, 18.0], shoonya_2sGB4RYUVD5CBH, 5702503]
