[2200, 1700]
[paragraph, [388.0, 116.0, 899.0, 36.0], shoonya_1sEA5T0GGADG1O, 5660880]
[paragraph, [388.0, 152.0, 899.0, 36.0], shoonya_1sEA5T0GGADG1O, 5660880]
[paragraph, [388.0, 188.0, 899.0, 36.0], shoonya_1sEA5T0GGADG1O, 5660880]
[paragraph, [388.0, 224.0, 899.0, 36.0], shoonya_1sEA5T0GGADG1O, 5660880]
[paragraph, [388.0, 260.0, 899.0, 36.0], shoonya_1sEA5T0GGADG1O, 5660880]
[paragraph, [388.0, 296.0, 899.0, 36.0], shoonya_1sEA5T0GGADG1O, 5660880]
[paragraph, [388.0, 332.0, 899.0, 36.0], shoonya_1sEA5T0GGADG1O, 5660880]
[paragraph, [388.0, 368.0, 899.0, 36.0], shoonya_1sEA5T0GGADG1O, 5660880]
[paragraph, [388.0, 404.0, 899.0, 36.0], shoonya_1sEA5T0GGADG1O, 5660880]
[paragraph, [388.0, 440.0, 899.0, 36.0], shoonya_1sEA5T0GGADG1O, 5660880]
[paragraph, [388.0, 476.0, 899.0, 36.0], shoonya_1sEA5T0GGADG1O, 5660880]
[paragraph, [388.0, 512.0, 899.0, 36.0], shoonya_1sEA5T0GGADG1O, 5660880]
[paragraph, [388.0, 548.0, 899.0, 36.0], shoonya_1sEA5T0GGADG1O, 5660880]
[paragraph, [388.0, 584.0, 899.0, 36.0], shoonya_1sEA5T0GGADG1O, 5660880]
[paragraph, [388.0, 620.0, 899.0, 36.0], shoonya_1sEA5T0GGADG1O, 5660880]
[paragraph, [388.0, 656.0, 899.0, 36.0], shoonya_1sEA5T0GGADG1O, 5660880]
[paragraph, [388.0, 692.0, 899.0, 36.0], shoonya_1sEA5T0GGADG1O, 5660880]
[paragraph, [378.0, 739.0, 913.0, 36.0], shoonya_0s2UO17O640T12, 5660880]
[paragraph, [378.0, 775.0, 913.0, 36.0], shoonya_0s2UO17O640T12, 5660880]
[paragraph, [378.0, 811.0, 913.0, 36.0], shoonya_0s2UO17O640T12, 5660880]
[paragraph, [378.0, 847.0, 913.0, 36.0], shoonya_0s2UO17O640T12, 5660880]
[paragraph, [378.0, 883.0, 913.0, 36.0], shoonya_0s2UO17O640T12, 5660880]
[paragraph, [378.0, 919.0, 913.0, 36.0], shoonya_0s2UO17O640T12, 5660880]
[paragraph, [378.0, 955.0, 913.0, 36.0], shoonya_0s2UO17O640T12, 5660880]
[paragraph, [378.0, 991.0, 913.0, 36.0], shoonya_0s2UO17O640T12, 5660880]
[paragraph, [378.0, 1027.0, 913.0, 36.0], shoonya_0s2UO17O640T12, 5660880]
[paragraph, [378.0, 1063.0, 913.0, 36.0], shoonya_0s2UO17O640T12, 5660880]
[paragraph, [378.0, 1099.0, 913.0, 36.0], shoonya_0s2UO17O640T12, 5660880]
[paragraph, [378.0, 1135.0, 913.0, 36.0], shoonya_0s2UO17O640T12, 5660880]
[paragraph, [378.0, 1171.0, 913.0, 36.0], shoonya_0s2UO17O640T12, 5660880]
[paragraph, [378.0, 1207.0, 913.0, 36.0], shoonya_0s2UO17O640T12, 5660880]
[paragraph, [378.0, 1243.0, 913.0, 36.0], shoonya_0s2UO17O640T12, 5660880]
[paragraph, [378.0, 1279.0, 913.0, 36.0], shoonya_0s2UO17O640T12, 5660880]
[paragraph, [378.0, 1315.0, 913.0, 36.0], shoonya_0s2UO17O640T12, 5660880]
[paragraph, [378.0, 1351.0, 913.0, 36.0], shoonya_0s2UO17O640T12, 5660880]
[paragraph, [378.0, 1387.0, 913.0, 36.0], shoonya_0s2UO17O640T12, 5660880]
[paragraph, [378.0, 1423.0, 913.0, 36.0], shoonya_0s2UO17O640T12, 5660880]
[paragraph, [378.0, 1459.0, 913.0, 36.0], shoonya_0s2UO17O640T12, 5660880]
[paragraph, [378.0, 1495.0, 913.0, 36.0], shoonya_0s2UO17O640T12, 5660880]
[paragraph, [397.0, 1563.0, 918.0, 36.0], 82n-bR0A_L, 5660880]
[paragraph, [397.0, 1599.0, 918.0, 36.0], 82n-bR0A_L, 5660880]
[paragraph, [397.0, 1635.0, 918.0, 36.0], 82n-bR0A_L, 5660880]
