[842, 596]
[paragraph, [59.0, 56.0, 497.0, 18.0], 9jpNUL9lar, 5746455]
[paragraph, [59.0, 74.0, 497.0, 18.0], 9jpNUL9lar, 5746455]
[paragraph, [59.0, 92.0, 497.0, 18.0], 9jpNUL9lar, 5746455]
[ordered-list, [60.0, 127.0, 513.0, 18.0], W9Nt0u4E33, 5746455]
[ordered-list, [60.0, 145.0, 513.0, 18.0], W9Nt0u4E33, 5746455]
[ordered-list, [60.0, 163.0, 513.0, 18.0], W9Nt0u4E33, 5746455]
[ordered-list, [60.0, 181.0, 513.0, 18.0], W9Nt0u4E33, 5746455]
[ordered-list, [60.0, 199.0, 513.0, 18.0], W9Nt0u4E33, 5746455]
[ordered-list, [60.0, 217.0, 513.0, 18.0], W9Nt0u4E33, 5746455]
[ordered-list, [60.0, 235.0, 513.0, 18.0], W9Nt0u4E33, 5746455]
[ordered-list, [60.0, 253.0, 513.0, 18.0], W9Nt0u4E33, 5746455]
[ordered-list, [60.0, 271.0, 513.0, 18.0], W9Nt0u4E33, 5746455]
[ordered-list, [60.0, 289.0, 513.0, 18.0], W9Nt0u4E33, 5746455]
[ordered-list, [60.0, 307.0, 513.0, 18.0], W9Nt0u4E33, 5746455]
[ordered-list, [60.0, 325.0, 513.0, 18.0], W9Nt0u4E33, 5746455]
[ordered-list, [60.0, 343.0, 513.0, 18.0], W9Nt0u4E33, 5746455]
[ordered-list, [60.0, 361.0, 513.0, 18.0], W9Nt0u4E33, 5746455]
[ordered-list, [60.0, 379.0, 513.0, 18.0], W9Nt0u4E33, 5746455]
[ordered-list, [60.0, 397.0, 513.0, 18.0], W9Nt0u4E33, 5746455]
[ordered-list, [60.0, 415.0, 513.0, 18.0], W9Nt0u4E33, 5746455]
[ordered-list, [60.0, 433.0, 513.0, 18.0], W9Nt0u4E33, 5746455]
[ordered-list, [60.0, 451.0, 513.0, 18.0], W9Nt0u4E33, 5746455]
[ordered-list, [60.0, 469.0, 513.0, 18.0], W9Nt0u4E33, 5746455]
[ordered-list, [60.0, 487.0, 513.0, 18.0], W9Nt0u4E33, 5746455]
[ordered-list, [60.0, 505.0, 513.0, 18.0], W9Nt0u4E33, 5746455]
[ordered-list, [60.0, 523.0, 513.0, 18.0], W9Nt0u4E33, 5746455]
[ordered-list, [60.0, 541.0, 513.0, 18.0], W9Nt0u4E33, 5746455]
[ordered-list, [60.0, 559.0, 513.0, 18.0], W9Nt0u4E33, 5746455]
[ordered-list, [60.0, 577.0, 513.0, 18.0], W9Nt0u4E33, 5746455]
[ordered-list, [60.0, 595.0, 513.0, 18.0], W9Nt0u4E33, 5746455]
[ordered-list, [60.0, 613.0, 513.0, 18.0], W9Nt0u4E33, 5746455]
[ordered-list, [60.0, 631.0, 513.0, 18.0], W9Nt0u4E33, 5746455]
[ordered-list, [60.0, 649.0, 513.0, 18.0], W9Nt0u4E33, 5746455]
[ordered-list, [60.0, 667.0, 513.0, 18.0], W9Nt0u4E33, 5746455]
[ordered-list, [60.0, 685.0, 513.0, 18.0], W9Nt0u4E33, 5746455]
[ordered-list, [60.0, 703.0, 513.0, 18.0], W9Nt0u4E33, 5746455]
[sub-ordered-list, [68.0, 308.0, 495.0, 18.0], 6BTt-qc2nO, 5746455]
[sub-ordered-list, [68.0, 326.0, 495.0, 18.0], 6BTt-qc2nO, 5746455]
[sub-ordered-list, [68.0, 344.0, 495.0, 18.0], 6BTt-qc2nO, 5746455]
[sub-ordered-list, [68.0, 362.0, 495.0, 18.0], 6BTt-qc2nO, 5746455]
[sub-ordered-list, [68.0, 380.0, 495.0, 18.0], 6BTt-qc2nO, 5746455]
[sub-ordered-list, [68.0, 398.0, 495.0, 18.0], 6BTt-qc2nO, 5746455]
[sub-ordered-list, [68.0, 416.0, 495.0, 18.0], 6BTt-qc2nO, 5746455]
[sub-ordered-list, [68.0, 434.0, 495.0, 18.0], 6BTt-qc2nO, 5746455]
[sub-ordered-list, [68.0, 452.0, 495.0, 18.0], 6BTt-qc2nO, 5746455]
[sub-ordered-list, [68.0, 470.0, 495.0, 18.0], 6BTt-qc2nO, 5746455]
[sub-ordered-list, [68.0, 488.0, 495.0, 18.0], 6BTt-qc2nO, 5746455]
[sub-ordered-list, [68.0, 506.0, 495.0, 18.0], 6BTt-qc2nO, 5746455]
[sub-ordered-list, [68.0, 524.0, 495.0, 18.0], 6BTt-qc2nO, 5746455]
[sub-ordered-list, [68.0, 542.0, 495.0, 18.0], 6BTt-qc2nO, 5746455]
[sub-ordered-list, [68.0, 560.0, 495.0, 18.0], 6BTt-qc2nO, 5746455]
[sub-ordered-list, [68.0, 578.0, 495.0, 18.0], 6BTt-qc2nO, 5746455]
[sub-ordered-list, [68.0, 596.0, 495.0, 18.0], 6BTt-qc2nO, 5746455]
[sub-ordered-list, [68.0, 614.0, 495.0, 18.0], 6BTt-qc2nO, 5746455]
[sub-ordered-list, [68.0, 632.0, 495.0, 18.0], 6BTt-qc2nO, 5746455]
[sub-ordered-list, [68.0, 650.0, 495.0, 18.0], 6BTt-qc2nO, 5746455]
[sub-ordered-list, [68.0, 668.0, 495.0, 18.0], 6BTt-qc2nO, 5746455]
[sub-ordered-list, [68.0, 686.0, 495.0, 18.0], 6BTt-qc2nO, 5746455]
