[2339, 1653]
[folio, [286.0, 214.0, 206.0, 36.0], asWed3JlLn, 5655216]
[paragraph, [287.0, 311.0, 1078.0, 36.0], shoonya_1sKZ5JLVOXIBHI, 5655216]
[paragraph, [287.0, 347.0, 1078.0, 36.0], shoonya_1sKZ5JLVOXIBHI, 5655216]
[paragraph, [287.0, 383.0, 1078.0, 36.0], shoonya_1sKZ5JLVOXIBHI, 5655216]
[paragraph, [287.0, 419.0, 1078.0, 36.0], shoonya_1sKZ5JLVOXIBHI, 5655216]
[paragraph, [287.0, 455.0, 1078.0, 36.0], shoonya_1sKZ5JLVOXIBHI, 5655216]
[paragraph, [287.0, 491.0, 1078.0, 36.0], shoonya_1sKZ5JLVOXIBHI, 5655216]
[paragraph, [287.0, 527.0, 1078.0, 36.0], shoonya_1sKZ5JLVOXIBHI, 5655216]
[paragraph, [287.0, 563.0, 1078.0, 36.0], shoonya_1sKZ5JLVOXIBHI, 5655216]
[paragraph, [287.0, 599.0, 1078.0, 36.0], shoonya_1sKZ5JLVOXIBHI, 5655216]
[paragraph, [291.0, 673.0, 146.0, 36.0], shoonya_4s4BBDJHW6YE32, 5655216]
[paragraph, [281.0, 771.0, 1084.0, 36.0], shoonya_0sA4IHJT54KW4U, 5655216]
[paragraph, [281.0, 807.0, 1084.0, 36.0], shoonya_0sA4IHJT54KW4U, 5655216]
[paragraph, [281.0, 843.0, 1084.0, 36.0], shoonya_0sA4IHJT54KW4U, 5655216]
[paragraph, [281.0, 879.0, 1084.0, 36.0], shoonya_0sA4IHJT54KW4U, 5655216]
[paragraph, [281.0, 915.0, 1084.0, 36.0], shoonya_0sA4IHJT54KW4U, 5655216]
[paragraph, [281.0, 951.0, 1084.0, 36.0], shoonya_0sA4IHJT54KW4U, 5655216]
[paragraph, [281.0, 987.0, 1084.0, 36.0], shoonya_0sA4IHJT54KW4U, 5655216]
[paragraph, [281.0, 1023.0, 1084.0, 36.0], shoonya_0sA4IHJT54KW4U, 5655216]
[paragraph, [281.0, 1059.0, 1084.0, 36.0], shoonya_0sA4IHJT54KW4U, 5655216]
[paragraph, [281.0, 1095.0, 1084.0, 36.0], shoonya_0sA4IHJT54KW4U, 5655216]
[paragraph, [281.0, 1131.0, 1084.0, 36.0], shoonya_0sA4IHJT54KW4U, 5655216]
[paragraph, [281.0, 1167.0, 1084.0, 36.0], shoonya_0sA4IHJT54KW4U, 5655216]
[paragraph, [281.0, 1203.0, 1084.0, 36.0], shoonya_0sA4IHJT54KW4U, 5655216]
[paragraph, [281.0, 1239.0, 1084.0, 36.0], shoonya_0sA4IHJT54KW4U, 5655216]
[paragraph, [281.0, 1275.0, 1084.0, 36.0], shoonya_0sA4IHJT54KW4U, 5655216]
[paragraph, [281.0, 1311.0, 1084.0, 36.0], shoonya_0sA4IHJT54KW4U, 5655216]
[paragraph, [281.0, 1347.0, 1084.0, 36.0], shoonya_0sA4IHJT54KW4U, 5655216]
[paragraph, [281.0, 1383.0, 1084.0, 36.0], shoonya_0sA4IHJT54KW4U, 5655216]
[paragraph, [281.0, 1419.0, 1084.0, 36.0], shoonya_0sA4IHJT54KW4U, 5655216]
[paragraph, [281.0, 1455.0, 1084.0, 36.0], shoonya_0sA4IHJT54KW4U, 5655216]
[paragraph, [281.0, 1491.0, 1084.0, 36.0], shoonya_0sA4IHJT54KW4U, 5655216]
[paragraph, [281.0, 1527.0, 1084.0, 36.0], shoonya_0sA4IHJT54KW4U, 5655216]
[paragraph, [281.0, 1563.0, 1084.0, 36.0], shoonya_0sA4IHJT54KW4U, 5655216]
[paragraph, [281.0, 1599.0, 1084.0, 36.0], shoonya_0sA4IHJT54KW4U, 5655216]
[paragraph, [281.0, 1635.0, 1084.0, 36.0], shoonya_0sA4IHJT54KW4U, 5655216]
[paragraph, [281.0, 1671.0, 1084.0, 36.0], shoonya_0sA4IHJT54KW4U, 5655216]
[paragraph, [281.0, 1707.0, 1084.0, 36.0], shoonya_0sA4IHJT54KW4U, 5655216]
[paragraph, [281.0, 1743.0, 1084.0, 36.0], shoonya_0sA4IHJT54KW4U, 5655216]
[paragraph, [286.0, 1822.0, 1079.0, 36.0], shoonya_2sS24LK3BQEP6V, 5655216]
[paragraph, [286.0, 1858.0, 1079.0, 36.0], shoonya_2sS24LK3BQEP6V, 5655216]
[paragraph, [286.0, 1894.0, 1079.0, 36.0], shoonya_2sS24LK3BQEP6V, 5655216]
[paragraph, [286.0, 1930.0, 1079.0, 36.0], shoonya_2sS24LK3BQEP6V, 5655216]
[paragraph, [286.0, 1966.0, 1079.0, 36.0], shoonya_2sS24LK3BQEP6V, 5655216]
[paragraph, [286.0, 2002.0, 1079.0, 36.0], shoonya_2sS24LK3BQEP6V, 5655216]
