[709, 412]
[folio, [181.0, 26.0, 52.0, 18.0], qvVIrnE_4q, 5740554]
[paragraph, [27.0, 55.0, 176.0, 18.0], shoonya_0s33YJ9B8JRJ8T, 5740554]
[paragraph, [27.0, 73.0, 176.0, 18.0], shoonya_0s33YJ9B8JRJ8T, 5740554]
[paragraph, [27.0, 91.0, 176.0, 18.0], shoonya_0s33YJ9B8JRJ8T, 5740554]
[paragraph, [27.0, 109.0, 176.0, 18.0], shoonya_0s33YJ9B8JRJ8T, 5740554]
[paragraph, [27.0, 127.0, 176.0, 18.0], shoonya_0s33YJ9B8JRJ8T, 5740554]
[paragraph, [27.0, 145.0, 176.0, 18.0], shoonya_0s33YJ9B8JRJ8T, 5740554]
[paragraph, [27.0, 163.0, 176.0, 18.0], shoonya_0s33YJ9B8JRJ8T, 5740554]
[paragraph, [27.0, 181.0, 176.0, 18.0], shoonya_0s33YJ9B8JRJ8T, 5740554]
[paragraph, [27.0, 199.0, 176.0, 18.0], shoonya_0s33YJ9B8JRJ8T, 5740554]
[paragraph, [27.0, 217.0, 176.0, 18.0], shoonya_0s33YJ9B8JRJ8T, 5740554]
[paragraph, [27.0, 235.0, 176.0, 18.0], shoonya_0s33YJ9B8JRJ8T, 5740554]
[paragraph, [27.0, 253.0, 176.0, 18.0], shoonya_0s33YJ9B8JRJ8T, 5740554]
[paragraph, [27.0, 271.0, 176.0, 18.0], shoonya_0s33YJ9B8JRJ8T, 5740554]
[paragraph, [27.0, 289.0, 176.0, 18.0], shoonya_0s33YJ9B8JRJ8T, 5740554]
[paragraph, [27.0, 307.0, 176.0, 18.0], shoonya_0s33YJ9B8JRJ8T, 5740554]
[paragraph, [27.0, 325.0, 176.0, 18.0], shoonya_0s33YJ9B8JRJ8T, 5740554]
[paragraph, [27.0, 343.0, 176.0, 18.0], shoonya_0s33YJ9B8JRJ8T, 5740554]
[paragraph, [27.0, 361.0, 176.0, 18.0], shoonya_0s33YJ9B8JRJ8T, 5740554]
[paragraph, [27.0, 379.0, 176.0, 18.0], shoonya_0s33YJ9B8JRJ8T, 5740554]
[paragraph, [27.0, 397.0, 176.0, 18.0], shoonya_0s33YJ9B8JRJ8T, 5740554]
[paragraph, [27.0, 415.0, 176.0, 18.0], shoonya_0s33YJ9B8JRJ8T, 5740554]
[paragraph, [27.0, 433.0, 176.0, 18.0], shoonya_0s33YJ9B8JRJ8T, 5740554]
[paragraph, [27.0, 451.0, 176.0, 18.0], shoonya_0s33YJ9B8JRJ8T, 5740554]
[paragraph, [27.0, 469.0, 176.0, 18.0], shoonya_0s33YJ9B8JRJ8T, 5740554]
[paragraph, [27.0, 487.0, 176.0, 18.0], shoonya_0s33YJ9B8JRJ8T, 5740554]
[paragraph, [27.0, 505.0, 176.0, 18.0], shoonya_0s33YJ9B8JRJ8T, 5740554]
[paragraph, [27.0, 523.0, 176.0, 18.0], shoonya_0s33YJ9B8JRJ8T, 5740554]
[paragraph, [27.0, 541.0, 176.0, 18.0], shoonya_0s33YJ9B8JRJ8T, 5740554]
[paragraph, [27.0, 559.0, 176.0, 18.0], shoonya_0s33YJ9B8JRJ8T, 5740554]
[paragraph, [27.0, 577.0, 176.0, 18.0], shoonya_0s33YJ9B8JRJ8T, 5740554]
[paragraph, [27.0, 595.0, 176.0, 18.0], shoonya_0s33YJ9B8JRJ8T, 5740554]
[paragraph, [27.0, 613.0, 176.0, 18.0], shoonya_0s33YJ9B8JRJ8T, 5740554]
[paragraph, [27.0, 631.0, 176.0, 18.0], shoonya_0s33YJ9B8JRJ8T, 5740554]
[paragraph, [204.0, 57.0, 199.0, 18.0], T7J6a_gYPY, 5740554]
[paragraph, [204.0, 75.0, 199.0, 18.0], T7J6a_gYPY, 5740554]
[paragraph, [204.0, 93.0, 199.0, 18.0], T7J6a_gYPY, 5740554]
[paragraph, [204.0, 111.0, 199.0, 18.0], T7J6a_gYPY, 5740554]
[paragraph, [204.0, 129.0, 199.0, 18.0], T7J6a_gYPY, 5740554]
[paragraph, [204.0, 147.0, 199.0, 18.0], T7J6a_gYPY, 5740554]
[paragraph, [204.0, 165.0, 199.0, 18.0], T7J6a_gYPY, 5740554]
[paragraph, [204.0, 183.0, 199.0, 18.0], T7J6a_gYPY, 5740554]
[paragraph, [204.0, 201.0, 199.0, 18.0], T7J6a_gYPY, 5740554]
[paragraph, [204.0, 219.0, 199.0, 18.0], T7J6a_gYPY, 5740554]
[paragraph, [204.0, 237.0, 199.0, 18.0], T7J6a_gYPY, 5740554]
[paragraph, [204.0, 255.0, 199.0, 18.0], T7J6a_gYPY, 5740554]
[paragraph, [204.0, 273.0, 199.0, 18.0], T7J6a_gYPY, 5740554]
[paragraph, [204.0, 291.0, 199.0, 18.0], T7J6a_gYPY, 5740554]
[paragraph, [204.0, 309.0, 199.0, 18.0], T7J6a_gYPY, 5740554]
[paragraph, [204.0, 327.0, 199.0, 18.0], T7J6a_gYPY, 5740554]
[paragraph, [204.0, 345.0, 199.0, 18.0], T7J6a_gYPY, 5740554]
[paragraph, [204.0, 363.0, 199.0, 18.0], T7J6a_gYPY, 5740554]
[paragraph, [204.0, 381.0, 199.0, 18.0], T7J6a_gYPY, 5740554]
[paragraph, [204.0, 399.0, 199.0, 18.0], T7J6a_gYPY, 5740554]
[paragraph, [204.0, 417.0, 199.0, 18.0], T7J6a_gYPY, 5740554]
[paragraph, [204.0, 435.0, 199.0, 18.0], T7J6a_gYPY, 5740554]
[paragraph, [204.0, 453.0, 199.0, 18.0], T7J6a_gYPY, 5740554]
[paragraph, [204.0, 471.0, 199.0, 18.0], T7J6a_gYPY, 5740554]
[paragraph, [204.0, 489.0, 199.0, 18.0], T7J6a_gYPY, 5740554]
[paragraph, [204.0, 507.0, 199.0, 18.0], T7J6a_gYPY, 5740554]
[paragraph, [204.0, 525.0, 199.0, 18.0], T7J6a_gYPY, 5740554]
[paragraph, [204.0, 543.0, 199.0, 18.0], T7J6a_gYPY, 5740554]
[paragraph, [204.0, 561.0, 199.0, 18.0], T7J6a_gYPY, 5740554]
[paragraph, [204.0, 579.0, 199.0, 18.0], T7J6a_gYPY, 5740554]
[paragraph, [204.0, 597.0, 199.0, 18.0], T7J6a_gYPY, 5740554]
[paragraph, [204.0, 615.0, 199.0, 18.0], T7J6a_gYPY, 5740554]
[paragraph, [204.0, 633.0, 199.0, 18.0], T7J6a_gYPY, 5740554]
