[2339, 1654]
[folio, [1350.0, 49.0, 220.0, 36.0], LSiQrNQbdW, 5751073]
[paragraph, [152.0, 110.0, 1423.0, 36.0], shoonya_0s8S16LTWZD0HA, 5751073]
[paragraph, [152.0, 146.0, 1423.0, 36.0], shoonya_0s8S16LTWZD0HA, 5751073]
[paragraph, [152.0, 182.0, 1423.0, 36.0], shoonya_0s8S16LTWZD0HA, 5751073]
[paragraph, [152.0, 218.0, 1423.0, 36.0], shoonya_0s8S16LTWZD0HA, 5751073]
[paragraph, [152.0, 254.0, 1423.0, 36.0], shoonya_0s8S16LTWZD0HA, 5751073]
[paragraph, [152.0, 290.0, 1423.0, 36.0], shoonya_0s8S16LTWZD0HA, 5751073]
[paragraph, [152.0, 326.0, 1423.0, 36.0], shoonya_0s8S16LTWZD0HA, 5751073]
[paragraph, [152.0, 362.0, 1423.0, 36.0], shoonya_0s8S16LTWZD0HA, 5751073]
[paragraph, [152.0, 398.0, 1423.0, 36.0], shoonya_0s8S16LTWZD0HA, 5751073]
[paragraph, [152.0, 434.0, 1423.0, 36.0], shoonya_0s8S16LTWZD0HA, 5751073]
[paragraph, [152.0, 470.0, 1423.0, 36.0], shoonya_0s8S16LTWZD0HA, 5751073]
[paragraph, [152.0, 506.0, 1423.0, 36.0], shoonya_0s8S16LTWZD0HA, 5751073]
[paragraph, [152.0, 542.0, 1423.0, 36.0], shoonya_0s8S16LTWZD0HA, 5751073]
[paragraph, [152.0, 578.0, 1423.0, 36.0], shoonya_0s8S16LTWZD0HA, 5751073]
[paragraph, [152.0, 614.0, 1423.0, 36.0], shoonya_0s8S16LTWZD0HA, 5751073]
[paragraph, [152.0, 650.0, 1423.0, 36.0], shoonya_0s8S16LTWZD0HA, 5751073]
[paragraph, [152.0, 686.0, 1423.0, 36.0], shoonya_0s8S16LTWZD0HA, 5751073]
[paragraph, [152.0, 722.0, 1423.0, 36.0], shoonya_0s8S16LTWZD0HA, 5751073]
[paragraph, [152.0, 758.0, 1423.0, 36.0], shoonya_0s8S16LTWZD0HA, 5751073]
[paragraph, [152.0, 794.0, 1423.0, 36.0], shoonya_0s8S16LTWZD0HA, 5751073]
[paragraph, [152.0, 830.0, 1423.0, 36.0], shoonya_0s8S16LTWZD0HA, 5751073]
[paragraph, [295.0, 875.0, 1137.0, 36.0], shoonya_2sBGKAS79VG534, 5751073]
[paragraph, [295.0, 911.0, 1137.0, 36.0], shoonya_2sBGKAS79VG534, 5751073]
[paragraph, [295.0, 947.0, 1137.0, 36.0], shoonya_2sBGKAS79VG534, 5751073]
[paragraph, [295.0, 983.0, 1137.0, 36.0], shoonya_2sBGKAS79VG534, 5751073]
[paragraph, [295.0, 1019.0, 1137.0, 36.0], shoonya_2sBGKAS79VG534, 5751073]
[paragraph, [295.0, 1055.0, 1137.0, 36.0], shoonya_2sBGKAS79VG534, 5751073]
[paragraph, [295.0, 1091.0, 1137.0, 36.0], shoonya_2sBGKAS79VG534, 5751073]
[paragraph, [295.0, 1127.0, 1137.0, 36.0], shoonya_2sBGKAS79VG534, 5751073]
[paragraph, [295.0, 1163.0, 1137.0, 36.0], shoonya_2sBGKAS79VG534, 5751073]
[paragraph, [295.0, 1199.0, 1137.0, 36.0], shoonya_2sBGKAS79VG534, 5751073]
[paragraph, [295.0, 1235.0, 1137.0, 36.0], shoonya_2sBGKAS79VG534, 5751073]
[paragraph, [295.0, 1271.0, 1137.0, 36.0], shoonya_2sBGKAS79VG534, 5751073]
[paragraph, [295.0, 1307.0, 1137.0, 36.0], shoonya_2sBGKAS79VG534, 5751073]
[paragraph, [295.0, 1343.0, 1137.0, 36.0], shoonya_2sBGKAS79VG534, 5751073]
[paragraph, [295.0, 1379.0, 1137.0, 36.0], shoonya_2sBGKAS79VG534, 5751073]
[paragraph, [295.0, 1415.0, 1137.0, 36.0], shoonya_2sBGKAS79VG534, 5751073]
[paragraph, [295.0, 1451.0, 1137.0, 36.0], shoonya_2sBGKAS79VG534, 5751073]
[paragraph, [295.0, 1487.0, 1137.0, 36.0], shoonya_2sBGKAS79VG534, 5751073]
[paragraph, [295.0, 1523.0, 1137.0, 36.0], shoonya_2sBGKAS79VG534, 5751073]
[paragraph, [295.0, 1559.0, 1137.0, 36.0], shoonya_2sBGKAS79VG534, 5751073]
[paragraph, [295.0, 1595.0, 1137.0, 36.0], shoonya_2sBGKAS79VG534, 5751073]
[paragraph, [295.0, 1631.0, 1137.0, 36.0], shoonya_2sBGKAS79VG534, 5751073]
[paragraph, [295.0, 1667.0, 1137.0, 36.0], shoonya_2sBGKAS79VG534, 5751073]
[paragraph, [295.0, 1703.0, 1137.0, 36.0], shoonya_2sBGKAS79VG534, 5751073]
[paragraph, [295.0, 1739.0, 1137.0, 36.0], shoonya_2sBGKAS79VG534, 5751073]
[paragraph, [295.0, 1775.0, 1137.0, 36.0], shoonya_2sBGKAS79VG534, 5751073]
[paragraph, [145.0, 1899.0, 1439.0, 36.0], shoonya_1sV01E5GSHNYOT, 5751073]
[paragraph, [145.0, 1935.0, 1439.0, 36.0], shoonya_1sV01E5GSHNYOT, 5751073]
[paragraph, [145.0, 1971.0, 1439.0, 36.0], shoonya_1sV01E5GSHNYOT, 5751073]
[paragraph, [145.0, 2007.0, 1439.0, 36.0], shoonya_1sV01E5GSHNYOT, 5751073]
[paragraph, [145.0, 2043.0, 1439.0, 36.0], shoonya_1sV01E5GSHNYOT, 5751073]
[paragraph, [145.0, 2079.0, 1439.0, 36.0], shoonya_1sV01E5GSHNYOT, 5751073]
[paragraph, [145.0, 2115.0, 1439.0, 36.0], shoonya_1sV01E5GSHNYOT, 5751073]
[paragraph, [145.0, 2151.0, 1439.0, 36.0], shoonya_1sV01E5GSHNYOT, 5751073]
[paragraph, [145.0, 2187.0, 1439.0, 36.0], shoonya_1sV01E5GSHNYOT, 5751073]
