[2339, 1656]
[paragraph, [174.0, 118.0, 1313.0, 36.0], shoonya_5sSBQF7ZW39YSC, 5757781]
[paragraph, [174.0, 154.0, 1313.0, 36.0], shoonya_5sSBQF7ZW39YSC, 5757781]
[paragraph, [174.0, 190.0, 1313.0, 36.0], shoonya_5sSBQF7ZW39YSC, 5757781]
[paragraph, [174.0, 226.0, 1313.0, 36.0], shoonya_5sSBQF7ZW39YSC, 5757781]
[paragraph, [174.0, 262.0, 1313.0, 36.0], shoonya_5sSBQF7ZW39YSC, 5757781]
[paragraph, [174.0, 298.0, 1313.0, 36.0], shoonya_5sSBQF7ZW39YSC, 5757781]
[paragraph, [174.0, 334.0, 1313.0, 36.0], shoonya_5sSBQF7ZW39YSC, 5757781]
[paragraph, [174.0, 370.0, 1313.0, 36.0], shoonya_5sSBQF7ZW39YSC, 5757781]
[paragraph, [174.0, 406.0, 1313.0, 36.0], shoonya_5sSBQF7ZW39YSC, 5757781]
[paragraph, [174.0, 442.0, 1313.0, 36.0], shoonya_5sSBQF7ZW39YSC, 5757781]
[paragraph, [165.0, 601.0, 1326.0, 36.0], shoonya_1sWYGMX1P5GGTR, 5757781]
[paragraph, [165.0, 637.0, 1326.0, 36.0], shoonya_1sWYGMX1P5GGTR, 5757781]
[paragraph, [165.0, 673.0, 1326.0, 36.0], shoonya_1sWYGMX1P5GGTR, 5757781]
[paragraph, [165.0, 709.0, 1326.0, 36.0], shoonya_1sWYGMX1P5GGTR, 5757781]
[paragraph, [165.0, 745.0, 1326.0, 36.0], shoonya_1sWYGMX1P5GGTR, 5757781]
[paragraph, [165.0, 781.0, 1326.0, 36.0], shoonya_1sWYGMX1P5GGTR, 5757781]
[paragraph, [165.0, 817.0, 1326.0, 36.0], shoonya_1sWYGMX1P5GGTR, 5757781]
[paragraph, [165.0, 853.0, 1326.0, 36.0], shoonya_1sWYGMX1P5GGTR, 5757781]
[paragraph, [165.0, 889.0, 1326.0, 36.0], shoonya_1sWYGMX1P5GGTR, 5757781]
[paragraph, [165.0, 925.0, 1326.0, 36.0], shoonya_1sWYGMX1P5GGTR, 5757781]
[paragraph, [165.0, 961.0, 1326.0, 36.0], shoonya_1sWYGMX1P5GGTR, 5757781]
[paragraph, [165.0, 997.0, 1326.0, 36.0], shoonya_1sWYGMX1P5GGTR, 5757781]
[paragraph, [165.0, 1033.0, 1326.0, 36.0], shoonya_1sWYGMX1P5GGTR, 5757781]
[paragraph, [165.0, 1069.0, 1326.0, 36.0], shoonya_1sWYGMX1P5GGTR, 5757781]
[paragraph, [165.0, 1105.0, 1326.0, 36.0], shoonya_1sWYGMX1P5GGTR, 5757781]
[paragraph, [165.0, 1141.0, 1326.0, 36.0], shoonya_1sWYGMX1P5GGTR, 5757781]
[paragraph, [165.0, 1177.0, 1326.0, 36.0], shoonya_1sWYGMX1P5GGTR, 5757781]
[paragraph, [165.0, 1213.0, 1326.0, 36.0], shoonya_1sWYGMX1P5GGTR, 5757781]
[paragraph, [165.0, 1249.0, 1326.0, 36.0], shoonya_1sWYGMX1P5GGTR, 5757781]
[paragraph, [165.0, 1285.0, 1326.0, 36.0], shoonya_1sWYGMX1P5GGTR, 5757781]
[paragraph, [165.0, 1321.0, 1326.0, 36.0], shoonya_1sWYGMX1P5GGTR, 5757781]
[paragraph, [165.0, 1357.0, 1326.0, 36.0], shoonya_1sWYGMX1P5GGTR, 5757781]
[paragraph, [165.0, 1393.0, 1326.0, 36.0], shoonya_1sWYGMX1P5GGTR, 5757781]
[paragraph, [165.0, 1429.0, 1326.0, 36.0], shoonya_1sWYGMX1P5GGTR, 5757781]
[paragraph, [165.0, 1465.0, 1326.0, 36.0], shoonya_1sWYGMX1P5GGTR, 5757781]
[paragraph, [165.0, 1501.0, 1326.0, 36.0], shoonya_1sWYGMX1P5GGTR, 5757781]
[paragraph, [165.0, 1537.0, 1326.0, 36.0], shoonya_1sWYGMX1P5GGTR, 5757781]
[paragraph, [165.0, 1573.0, 1326.0, 36.0], shoonya_1sWYGMX1P5GGTR, 5757781]
[paragraph, [165.0, 1609.0, 1326.0, 36.0], shoonya_1sWYGMX1P5GGTR, 5757781]
[paragraph, [165.0, 1645.0, 1326.0, 36.0], shoonya_1sWYGMX1P5GGTR, 5757781]
[paragraph, [165.0, 1681.0, 1326.0, 36.0], shoonya_1sWYGMX1P5GGTR, 5757781]
[paragraph, [165.0, 1717.0, 1326.0, 36.0], shoonya_1sWYGMX1P5GGTR, 5757781]
[paragraph, [165.0, 1753.0, 1326.0, 36.0], shoonya_1sWYGMX1P5GGTR, 5757781]
[section-title, [171.0, 1819.0, 1331.0, 52.5], Kg_bzuIPJs, 5757781]
[paragraph, [170.0, 1975.0, 1313.0, 36.0], shoonya_2sNY4XI2FFYP23, 5757781]
[paragraph, [170.0, 2011.0, 1313.0, 36.0], shoonya_2sNY4XI2FFYP23, 5757781]
[paragraph, [170.0, 2047.0, 1313.0, 36.0], shoonya_2sNY4XI2FFYP23, 5757781]
