[792, 612]
[website-link, [240.0, 19.0, 136.0, 18.0], eRM83bnaZj, 5749734]
[paragraph, [56.0, 101.0, 368.0, 18.0], shoonya_0sB3QHXCLR0AI8, 5749734]
[paragraph, [56.0, 119.0, 368.0, 18.0], shoonya_0sB3QHXCLR0AI8, 5749734]
[paragraph, [56.0, 137.0, 368.0, 18.0], shoonya_0sB3QHXCLR0AI8, 5749734]
[paragraph, [57.0, 160.0, 367.0, 18.0], shoonya_3sOX2KA19GJVJ4, 5749734]
[paragraph, [57.0, 178.0, 367.0, 18.0], shoonya_3sOX2KA19GJVJ4, 5749734]
[paragraph, [57.0, 196.0, 367.0, 18.0], shoonya_3sOX2KA19GJVJ4, 5749734]
[paragraph, [57.0, 214.0, 367.0, 18.0], shoonya_3sOX2KA19GJVJ4, 5749734]
[paragraph, [57.0, 232.0, 367.0, 18.0], shoonya_3sOX2KA19GJVJ4, 5749734]
[paragraph, [57.0, 298.0, 367.0, 18.0], shoonya_2sPBQ63RUKKEMM, 5749734]
[paragraph, [57.0, 316.0, 367.0, 18.0], shoonya_2sPBQ63RUKKEMM, 5749734]
[paragraph, [57.0, 334.0, 367.0, 18.0], shoonya_2sPBQ63RUKKEMM, 5749734]
[paragraph, [56.0, 368.0, 367.0, 18.0], 1pkk3OANM9, 5749734]
[paragraph, [56.0, 386.0, 367.0, 18.0], 1pkk3OANM9, 5749734]
[paragraph, [56.0, 404.0, 367.0, 18.0], 1pkk3OANM9, 5749734]
[paragraph, [56.0, 422.0, 367.0, 18.0], 1pkk3OANM9, 5749734]
[paragraph, [56.0, 440.0, 367.0, 18.0], 1pkk3OANM9, 5749734]
[paragraph, [56.0, 458.0, 367.0, 18.0], 1pkk3OANM9, 5749734]
[paragraph, [56.0, 476.0, 367.0, 18.0], 1pkk3OANM9, 5749734]
[paragraph, [56.0, 494.0, 367.0, 18.0], 1pkk3OANM9, 5749734]
[paragraph, [55.0, 514.0, 367.0, 18.0], LZ72hdCDtM, 5749734]
[paragraph, [55.0, 532.0, 367.0, 18.0], LZ72hdCDtM, 5749734]
[paragraph, [55.0, 550.0, 367.0, 18.0], LZ72hdCDtM, 5749734]
[paragraph, [55.0, 568.0, 367.0, 18.0], LZ72hdCDtM, 5749734]
[paragraph, [56.0, 599.0, 367.0, 18.0], 26PBIba9y-, 5749734]
[paragraph, [56.0, 617.0, 367.0, 18.0], 26PBIba9y-, 5749734]
[paragraph, [56.0, 635.0, 367.0, 18.0], 26PBIba9y-, 5749734]
[paragraph, [56.0, 653.0, 367.0, 18.0], 26PBIba9y-, 5749734]
[paragraph, [56.0, 671.0, 367.0, 18.0], 26PBIba9y-, 5749734]
[paragraph, [56.0, 689.0, 367.0, 18.0], 26PBIba9y-, 5749734]
[website-link, [236.0, 753.0, 139.0, 18.0], SyDgNPoZrN, 5749734]
