[2230, 1631]
[paragraph, [858.0, 155.0, 738.0, 36.0], shoonya_4sA13ETX4NEOLT, 5654790]
[paragraph, [858.0, 191.0, 738.0, 36.0], shoonya_4sA13ETX4NEOLT, 5654790]
[paragraph, [858.0, 227.0, 738.0, 36.0], shoonya_4sA13ETX4NEOLT, 5654790]
[paragraph, [858.0, 263.0, 738.0, 36.0], shoonya_4sA13ETX4NEOLT, 5654790]
[paragraph, [858.0, 299.0, 738.0, 36.0], shoonya_4sA13ETX4NEOLT, 5654790]
[paragraph, [858.0, 335.0, 738.0, 36.0], shoonya_4sA13ETX4NEOLT, 5654790]
[paragraph, [858.0, 371.0, 738.0, 36.0], shoonya_4sA13ETX4NEOLT, 5654790]
[paragraph, [858.0, 407.0, 738.0, 36.0], shoonya_4sA13ETX4NEOLT, 5654790]
[paragraph, [858.0, 443.0, 738.0, 36.0], shoonya_4sA13ETX4NEOLT, 5654790]
[paragraph, [858.0, 479.0, 738.0, 36.0], shoonya_4sA13ETX4NEOLT, 5654790]
[paragraph, [858.0, 515.0, 738.0, 36.0], shoonya_4sA13ETX4NEOLT, 5654790]
[paragraph, [858.0, 551.0, 738.0, 36.0], shoonya_4sA13ETX4NEOLT, 5654790]
[paragraph, [858.0, 587.0, 738.0, 36.0], shoonya_4sA13ETX4NEOLT, 5654790]
[paragraph, [87.0, 157.0, 740.0, 36.0], shoonya_6s7UNJOT4YMLV3, 5654790]
[paragraph, [87.0, 193.0, 740.0, 36.0], shoonya_6s7UNJOT4YMLV3, 5654790]
[paragraph, [87.0, 229.0, 740.0, 36.0], shoonya_6s7UNJOT4YMLV3, 5654790]
[paragraph, [87.0, 265.0, 740.0, 36.0], shoonya_6s7UNJOT4YMLV3, 5654790]
[paragraph, [87.0, 301.0, 740.0, 36.0], shoonya_6s7UNJOT4YMLV3, 5654790]
[paragraph, [100.0, 343.0, 733.0, 36.0], shoonya_0sWE28WGJACVDS, 5654790]
[paragraph, [100.0, 379.0, 733.0, 36.0], shoonya_0sWE28WGJACVDS, 5654790]
[paragraph, [100.0, 415.0, 733.0, 36.0], shoonya_0sWE28WGJACVDS, 5654790]
[paragraph, [100.0, 451.0, 733.0, 36.0], shoonya_0sWE28WGJACVDS, 5654790]
[paragraph, [100.0, 487.0, 733.0, 36.0], shoonya_0sWE28WGJACVDS, 5654790]
[paragraph, [100.0, 523.0, 733.0, 36.0], shoonya_0sWE28WGJACVDS, 5654790]
[paragraph, [100.0, 559.0, 733.0, 36.0], shoonya_0sWE28WGJACVDS, 5654790]
[paragraph, [100.0, 595.0, 733.0, 36.0], shoonya_0sWE28WGJACVDS, 5654790]
[paragraph, [100.0, 631.0, 733.0, 36.0], shoonya_0sWE28WGJACVDS, 5654790]
[paragraph, [100.0, 667.0, 733.0, 36.0], shoonya_0sWE28WGJACVDS, 5654790]
[paragraph, [100.0, 703.0, 733.0, 36.0], shoonya_0sWE28WGJACVDS, 5654790]
[paragraph, [100.0, 739.0, 733.0, 36.0], shoonya_0sWE28WGJACVDS, 5654790]
[paragraph, [100.0, 775.0, 733.0, 36.0], shoonya_0sWE28WGJACVDS, 5654790]
[paragraph, [100.0, 811.0, 733.0, 36.0], shoonya_0sWE28WGJACVDS, 5654790]
[paragraph, [100.0, 847.0, 733.0, 36.0], shoonya_0sWE28WGJACVDS, 5654790]
[paragraph, [100.0, 883.0, 733.0, 36.0], shoonya_0sWE28WGJACVDS, 5654790]
[paragraph, [100.0, 919.0, 733.0, 36.0], shoonya_0sWE28WGJACVDS, 5654790]
[paragraph, [100.0, 955.0, 733.0, 36.0], shoonya_0sWE28WGJACVDS, 5654790]
[paragraph, [100.0, 991.0, 733.0, 36.0], shoonya_0sWE28WGJACVDS, 5654790]
[paragraph, [100.0, 1027.0, 733.0, 36.0], shoonya_0sWE28WGJACVDS, 5654790]
[paragraph, [862.0, 637.0, 742.0, 36.0], shoonya_1sS740TJHGVLT5, 5654790]
[paragraph, [862.0, 673.0, 742.0, 36.0], shoonya_1sS740TJHGVLT5, 5654790]
[paragraph, [862.0, 709.0, 742.0, 36.0], shoonya_1sS740TJHGVLT5, 5654790]
[paragraph, [862.0, 745.0, 742.0, 36.0], shoonya_1sS740TJHGVLT5, 5654790]
[paragraph, [862.0, 781.0, 742.0, 36.0], shoonya_1sS740TJHGVLT5, 5654790]
[paragraph, [862.0, 817.0, 742.0, 36.0], shoonya_1sS740TJHGVLT5, 5654790]
[paragraph, [862.0, 853.0, 742.0, 36.0], shoonya_1sS740TJHGVLT5, 5654790]
