[1200, 825]
[paragraph, [133.0, 106.0, 553.0, 18.0], shoonya_0sO6JRA16U7TYF, 5691279]
[paragraph, [133.0, 124.0, 553.0, 18.0], shoonya_0sO6JRA16U7TYF, 5691279]
[paragraph, [133.0, 142.0, 553.0, 18.0], shoonya_0sO6JRA16U7TYF, 5691279]
[paragraph, [133.0, 160.0, 553.0, 18.0], shoonya_0sO6JRA16U7TYF, 5691279]
[paragraph, [133.0, 178.0, 553.0, 18.0], shoonya_0sO6JRA16U7TYF, 5691279]
[paragraph, [133.0, 196.0, 553.0, 18.0], shoonya_0sO6JRA16U7TYF, 5691279]
[paragraph, [133.0, 214.0, 553.0, 18.0], shoonya_0sO6JRA16U7TYF, 5691279]
[paragraph, [133.0, 232.0, 553.0, 18.0], shoonya_0sO6JRA16U7TYF, 5691279]
[paragraph, [133.0, 250.0, 553.0, 18.0], shoonya_0sO6JRA16U7TYF, 5691279]
[paragraph, [133.0, 268.0, 553.0, 18.0], shoonya_0sO6JRA16U7TYF, 5691279]
[paragraph, [133.0, 286.0, 553.0, 18.0], shoonya_0sO6JRA16U7TYF, 5691279]
[paragraph, [133.0, 304.0, 553.0, 18.0], shoonya_0sO6JRA16U7TYF, 5691279]
[paragraph, [133.0, 322.0, 553.0, 18.0], shoonya_0sO6JRA16U7TYF, 5691279]
[paragraph, [131.0, 359.0, 558.0, 18.0], TVdOMU_UwC, 5691279]
[paragraph, [131.0, 377.0, 558.0, 18.0], TVdOMU_UwC, 5691279]
[paragraph, [131.0, 395.0, 558.0, 18.0], TVdOMU_UwC, 5691279]
[paragraph, [131.0, 413.0, 558.0, 18.0], TVdOMU_UwC, 5691279]
[paragraph, [131.0, 431.0, 558.0, 18.0], TVdOMU_UwC, 5691279]
[paragraph, [131.0, 449.0, 558.0, 18.0], TVdOMU_UwC, 5691279]
[paragraph, [131.0, 467.0, 558.0, 18.0], TVdOMU_UwC, 5691279]
[paragraph, [131.0, 485.0, 558.0, 18.0], TVdOMU_UwC, 5691279]
[paragraph, [131.0, 503.0, 558.0, 18.0], TVdOMU_UwC, 5691279]
[paragraph, [131.0, 521.0, 558.0, 18.0], TVdOMU_UwC, 5691279]
[paragraph, [131.0, 539.0, 558.0, 18.0], TVdOMU_UwC, 5691279]
[paragraph, [131.0, 557.0, 558.0, 18.0], TVdOMU_UwC, 5691279]
[paragraph, [131.0, 575.0, 558.0, 18.0], TVdOMU_UwC, 5691279]
[paragraph, [131.0, 593.0, 558.0, 18.0], TVdOMU_UwC, 5691279]
[paragraph, [131.0, 611.0, 558.0, 18.0], TVdOMU_UwC, 5691279]
[paragraph, [131.0, 629.0, 558.0, 18.0], TVdOMU_UwC, 5691279]
[paragraph, [131.0, 647.0, 558.0, 18.0], TVdOMU_UwC, 5691279]
[paragraph, [131.0, 665.0, 558.0, 18.0], TVdOMU_UwC, 5691279]
[paragraph, [131.0, 683.0, 558.0, 18.0], TVdOMU_UwC, 5691279]
[paragraph, [131.0, 701.0, 558.0, 18.0], TVdOMU_UwC, 5691279]
[paragraph, [131.0, 719.0, 558.0, 18.0], TVdOMU_UwC, 5691279]
[paragraph, [131.0, 737.0, 558.0, 18.0], TVdOMU_UwC, 5691279]
[paragraph, [131.0, 755.0, 558.0, 18.0], TVdOMU_UwC, 5691279]
[paragraph, [131.0, 773.0, 558.0, 18.0], TVdOMU_UwC, 5691279]
[paragraph, [131.0, 791.0, 558.0, 18.0], TVdOMU_UwC, 5691279]
[paragraph, [139.0, 815.0, 554.0, 18.0], QI24hj58cA, 5691279]
[paragraph, [139.0, 833.0, 554.0, 18.0], QI24hj58cA, 5691279]
[paragraph, [139.0, 851.0, 554.0, 18.0], QI24hj58cA, 5691279]
[paragraph, [139.0, 869.0, 554.0, 18.0], QI24hj58cA, 5691279]
[paragraph, [139.0, 887.0, 554.0, 18.0], QI24hj58cA, 5691279]
[paragraph, [139.0, 905.0, 554.0, 18.0], QI24hj58cA, 5691279]
[paragraph, [139.0, 923.0, 554.0, 18.0], QI24hj58cA, 5691279]
[paragraph, [139.0, 941.0, 554.0, 18.0], QI24hj58cA, 5691279]
[paragraph, [139.0, 959.0, 554.0, 18.0], QI24hj58cA, 5691279]
[paragraph, [139.0, 977.0, 554.0, 18.0], QI24hj58cA, 5691279]
[paragraph, [139.0, 995.0, 554.0, 18.0], QI24hj58cA, 5691279]
[paragraph, [139.0, 1013.0, 554.0, 18.0], QI24hj58cA, 5691279]
