[3508, 2481]
[contact-info, [696.0, 105.0, 1078.0, 52.5], T3rdbODwhA, 6490684]
[contact-info, [696.0, 157.5, 1078.0, 52.5], T3rdbODwhA, 6490684]
[contact-info, [198.0, 273.0, 833.0, 52.5], DOz90NIwAO, 6490684]
[contact-info, [198.0, 325.5, 833.0, 52.5], DOz90NIwAO, 6490684]
[contact-info, [198.0, 378.0, 833.0, 52.5], DOz90NIwAO, 6490684]
[contact-info, [1563.0, 273.0, 690.0, 52.5], k1yzaJTSQv, 6490684]
[contact-info, [1563.0, 325.5, 690.0, 52.5], k1yzaJTSQv, 6490684]
[contact-info, [1563.0, 378.0, 690.0, 52.5], k1yzaJTSQv, 6490684]
[contact-info, [1563.0, 430.5, 690.0, 52.5], k1yzaJTSQv, 6490684]
[website-link, [1769.0, 345.0, 407.0, 18.0], S28rMweuPi, 6490684]
[website-link, [1769.0, 363.0, 407.0, 18.0], S28rMweuPi, 6490684]
[website-link, [1793.0, 404.0, 413.0, 18.0], MkiGH9e0uL, 6490684]
[website-link, [1793.0, 422.0, 413.0, 18.0], MkiGH9e0uL, 6490684]
[headline, [1050.0, 513.0, 354.0, 52.5], txc3kG5cZW, 6490684]
[headline, [1050.0, 565.5, 354.0, 52.5], txc3kG5cZW, 6490684]
[sub-headline, [631.0, 724.0, 1218.0, 73.5], -0Iju4gGSZ, 6490684]
[dateline, [1927.0, 985.0, 341.0, 52.5], qo4Qpxqik9, 6490684]
[paragraph, [198.0, 1247.0, 475.0, 52.5], JHWTkDm1AX, 6490684]
[paragraph, [192.0, 1355.0, 2104.0, 52.5], 504Ux9to7K, 6490684]
[paragraph, [192.0, 1407.5, 2104.0, 52.5], 504Ux9to7K, 6490684]
[paragraph, [192.0, 1460.0, 2104.0, 52.5], 504Ux9to7K, 6490684]
[paragraph, [192.0, 1512.5, 2104.0, 52.5], 504Ux9to7K, 6490684]
[paragraph, [192.0, 1565.0, 2104.0, 52.5], 504Ux9to7K, 6490684]
[paragraph, [192.0, 1617.5, 2104.0, 52.5], 504Ux9to7K, 6490684]
[ordered-list, [264.0, 1775.0, 2055.0, 52.5], zNqO7luua7, 6490684]
[ordered-list, [264.0, 1827.5, 2055.0, 52.5], zNqO7luua7, 6490684]
[ordered-list, [264.0, 1880.0, 2055.0, 52.5], zNqO7luua7, 6490684]
[ordered-list, [264.0, 1932.5, 2055.0, 52.5], zNqO7luua7, 6490684]
[ordered-list, [264.0, 1985.0, 2055.0, 52.5], zNqO7luua7, 6490684]
[ordered-list, [264.0, 2037.5, 2055.0, 52.5], zNqO7luua7, 6490684]
[ordered-list, [264.0, 2090.0, 2055.0, 52.5], zNqO7luua7, 6490684]
[ordered-list, [264.0, 2142.5, 2055.0, 52.5], zNqO7luua7, 6490684]
[ordered-list, [264.0, 2195.0, 2055.0, 52.5], zNqO7luua7, 6490684]
[ordered-list, [264.0, 2247.5, 2055.0, 52.5], zNqO7luua7, 6490684]
[ordered-list, [264.0, 2300.0, 2055.0, 52.5], zNqO7luua7, 6490684]
[ordered-list, [264.0, 2352.5, 2055.0, 52.5], zNqO7luua7, 6490684]
[contact-info, [1769.0, 2786.0, 556.0, 52.5], bQZHm-GArP, 6490684]
[contact-info, [1769.0, 2838.5, 556.0, 52.5], bQZHm-GArP, 6490684]
[contact-info, [1765.0, 3249.0, 581.0, 52.5], W33J67vaKm, 6490684]
[contact-info, [1765.0, 3301.5, 581.0, 52.5], W33J67vaKm, 6490684]
