[1050, 693]
[paragraph, [76.0, 420.0, 529.0, 18.0], x7HjZV5vw-, 5702530]
[paragraph, [76.0, 438.0, 529.0, 18.0], x7HjZV5vw-, 5702530]
[paragraph, [76.0, 456.0, 529.0, 18.0], x7HjZV5vw-, 5702530]
[paragraph, [76.0, 474.0, 529.0, 18.0], x7HjZV5vw-, 5702530]
[paragraph, [76.0, 492.0, 529.0, 18.0], x7HjZV5vw-, 5702530]
[paragraph, [76.0, 510.0, 529.0, 18.0], x7HjZV5vw-, 5702530]
[paragraph, [76.0, 528.0, 529.0, 18.0], x7HjZV5vw-, 5702530]
[paragraph, [80.0, 569.0, 530.0, 18.0], shoonya_1sW81N16YYUQR7, 5702530]
[paragraph, [80.0, 587.0, 530.0, 18.0], shoonya_1sW81N16YYUQR7, 5702530]
[paragraph, [80.0, 605.0, 530.0, 18.0], shoonya_1sW81N16YYUQR7, 5702530]
[paragraph, [80.0, 623.0, 530.0, 18.0], shoonya_1sW81N16YYUQR7, 5702530]
[paragraph, [80.0, 641.0, 530.0, 18.0], shoonya_1sW81N16YYUQR7, 5702530]
[paragraph, [80.0, 659.0, 530.0, 18.0], shoonya_1sW81N16YYUQR7, 5702530]
[paragraph, [80.0, 677.0, 530.0, 18.0], shoonya_1sW81N16YYUQR7, 5702530]
[paragraph, [82.0, 714.0, 528.0, 18.0], shoonya_0sF2HM5IRHVDLX, 5702530]
[paragraph, [82.0, 732.0, 528.0, 18.0], shoonya_0sF2HM5IRHVDLX, 5702530]
[paragraph, [82.0, 750.0, 528.0, 18.0], shoonya_0sF2HM5IRHVDLX, 5702530]
[paragraph, [82.0, 768.0, 528.0, 18.0], shoonya_0sF2HM5IRHVDLX, 5702530]
[paragraph, [82.0, 786.0, 528.0, 18.0], shoonya_0sF2HM5IRHVDLX, 5702530]
[paragraph, [82.0, 804.0, 528.0, 18.0], shoonya_0sF2HM5IRHVDLX, 5702530]
[paragraph, [82.0, 822.0, 528.0, 18.0], shoonya_0sF2HM5IRHVDLX, 5702530]
[paragraph, [82.0, 840.0, 528.0, 18.0], shoonya_0sF2HM5IRHVDLX, 5702530]
[paragraph, [82.0, 858.0, 528.0, 18.0], shoonya_0sF2HM5IRHVDLX, 5702530]
[paragraph, [82.0, 876.0, 528.0, 18.0], shoonya_0sF2HM5IRHVDLX, 5702530]
[paragraph, [82.0, 894.0, 528.0, 18.0], shoonya_0sF2HM5IRHVDLX, 5702530]
[paragraph, [82.0, 912.0, 528.0, 18.0], shoonya_0sF2HM5IRHVDLX, 5702530]
[paragraph, [82.0, 930.0, 528.0, 18.0], shoonya_0sF2HM5IRHVDLX, 5702530]
[paragraph, [82.0, 948.0, 528.0, 18.0], shoonya_0sF2HM5IRHVDLX, 5702530]
