[2339, 1653]
[folio, [235.0, 328.0, 328.0, 36.0], -X_3NFDh0r, 5735402]
[sidebar, [86.0, 386.0, 134.0, 36.0], tJ0313AIPA, 5735402]
[paragraph, [837.0, 390.0, 579.0, 36.0], shoonya_4sO8YU16FA606R, 5735402]
[paragraph, [837.0, 426.0, 579.0, 36.0], shoonya_4sO8YU16FA606R, 5735402]
[paragraph, [837.0, 462.0, 579.0, 36.0], shoonya_4sO8YU16FA606R, 5735402]
[paragraph, [837.0, 498.0, 579.0, 36.0], shoonya_4sO8YU16FA606R, 5735402]
[paragraph, [837.0, 534.0, 579.0, 36.0], shoonya_4sO8YU16FA606R, 5735402]
[paragraph, [837.0, 570.0, 579.0, 36.0], shoonya_4sO8YU16FA606R, 5735402]
[paragraph, [837.0, 606.0, 579.0, 36.0], shoonya_4sO8YU16FA606R, 5735402]
[paragraph, [837.0, 642.0, 579.0, 36.0], shoonya_4sO8YU16FA606R, 5735402]
[paragraph, [837.0, 678.0, 579.0, 36.0], shoonya_4sO8YU16FA606R, 5735402]
[paragraph, [502.0, 393.0, 315.0, 36.0], shoonya_8s9X55125OO683, 5735402]
[paragraph, [502.0, 429.0, 315.0, 36.0], shoonya_8s9X55125OO683, 5735402]
[paragraph, [502.0, 465.0, 315.0, 36.0], shoonya_8s9X55125OO683, 5735402]
[paragraph, [502.0, 501.0, 315.0, 36.0], shoonya_8s9X55125OO683, 5735402]
[paragraph, [502.0, 537.0, 315.0, 36.0], shoonya_8s9X55125OO683, 5735402]
[paragraph, [502.0, 573.0, 315.0, 36.0], shoonya_8s9X55125OO683, 5735402]
[paragraph, [502.0, 609.0, 315.0, 36.0], shoonya_8s9X55125OO683, 5735402]
[paragraph, [502.0, 645.0, 315.0, 36.0], shoonya_8s9X55125OO683, 5735402]
[paragraph, [502.0, 681.0, 315.0, 36.0], shoonya_8s9X55125OO683, 5735402]
[paragraph, [837.0, 745.0, 579.0, 36.0], shoonya_2s17B3J2KBWW2E, 5735402]
[paragraph, [837.0, 781.0, 579.0, 36.0], shoonya_2s17B3J2KBWW2E, 5735402]
[paragraph, [837.0, 817.0, 579.0, 36.0], shoonya_2s17B3J2KBWW2E, 5735402]
