[1388, 886]
[folio, [363.0, 65.0, 185.0, 18.0], shoonya_0sVH9ZLPVJUJW6, 5742528]
[folio, [363.0, 83.0, 185.0, 18.0], shoonya_0sVH9ZLPVJUJW6, 5742528]
[paragraph, [451.0, 127.0, 403.0, 18.0], 7VjY8e7vRH, 5742528]
[paragraph, [451.0, 145.0, 403.0, 18.0], 7VjY8e7vRH, 5742528]
[paragraph, [451.0, 163.0, 403.0, 18.0], 7VjY8e7vRH, 5742528]
[paragraph, [451.0, 181.0, 403.0, 18.0], 7VjY8e7vRH, 5742528]
[paragraph, [451.0, 199.0, 403.0, 18.0], 7VjY8e7vRH, 5742528]
[paragraph, [26.0, 129.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 147.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 165.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 183.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 201.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 219.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 237.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 255.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 273.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 291.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 309.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 327.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 345.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 363.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 381.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 399.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 417.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 435.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 453.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 471.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 489.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 507.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 525.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 543.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 561.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 579.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 597.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 615.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 633.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 651.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 669.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 687.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 705.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 723.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 741.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 759.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 777.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 795.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 813.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 831.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 849.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 867.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 885.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 903.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [26.0, 921.0, 404.0, 18.0], NxGl1qsRhv, 5742528]
[paragraph, [445.0, 230.0, 393.0, 18.0], Fv5BukRLUJ, 5742528]
[paragraph, [445.0, 248.0, 393.0, 18.0], Fv5BukRLUJ, 5742528]
[paragraph, [445.0, 266.0, 393.0, 18.0], Fv5BukRLUJ, 5742528]
[paragraph, [445.0, 284.0, 393.0, 18.0], Fv5BukRLUJ, 5742528]
[paragraph, [445.0, 302.0, 393.0, 18.0], Fv5BukRLUJ, 5742528]
[paragraph, [445.0, 320.0, 393.0, 18.0], Fv5BukRLUJ, 5742528]
[paragraph, [445.0, 338.0, 393.0, 18.0], Fv5BukRLUJ, 5742528]
[paragraph, [445.0, 356.0, 393.0, 18.0], Fv5BukRLUJ, 5742528]
[paragraph, [445.0, 374.0, 393.0, 18.0], Fv5BukRLUJ, 5742528]
[paragraph, [445.0, 392.0, 393.0, 18.0], Fv5BukRLUJ, 5742528]
[paragraph, [445.0, 410.0, 393.0, 18.0], Fv5BukRLUJ, 5742528]
[paragraph, [445.0, 428.0, 393.0, 18.0], Fv5BukRLUJ, 5742528]
[paragraph, [444.0, 467.0, 407.0, 18.0], ixKiM3pQje, 5742528]
[paragraph, [444.0, 485.0, 407.0, 18.0], ixKiM3pQje, 5742528]
