[609, 397]
[ordered-list, [149.0, 11.0, 222.0, 18.0], 604hp-OL_i, 5768295]
[ordered-list, [149.0, 29.0, 222.0, 18.0], 604hp-OL_i, 5768295]
[ordered-list, [149.0, 47.0, 222.0, 18.0], 604hp-OL_i, 5768295]
[ordered-list, [149.0, 65.0, 222.0, 18.0], 604hp-OL_i, 5768295]
[ordered-list, [149.0, 83.0, 222.0, 18.0], 604hp-OL_i, 5768295]
[ordered-list, [149.0, 101.0, 222.0, 18.0], 604hp-OL_i, 5768295]
[ordered-list, [149.0, 119.0, 222.0, 18.0], 604hp-OL_i, 5768295]
[ordered-list, [149.0, 137.0, 222.0, 18.0], 604hp-OL_i, 5768295]
[ordered-list, [149.0, 155.0, 222.0, 18.0], 604hp-OL_i, 5768295]
[ordered-list, [149.0, 173.0, 222.0, 18.0], 604hp-OL_i, 5768295]
[ordered-list, [149.0, 191.0, 222.0, 18.0], 604hp-OL_i, 5768295]
[ordered-list, [149.0, 209.0, 222.0, 18.0], 604hp-OL_i, 5768295]
[ordered-list, [149.0, 227.0, 222.0, 18.0], 604hp-OL_i, 5768295]
[ordered-list, [149.0, 245.0, 222.0, 18.0], 604hp-OL_i, 5768295]
[ordered-list, [149.0, 263.0, 222.0, 18.0], 604hp-OL_i, 5768295]
[ordered-list, [149.0, 281.0, 222.0, 18.0], 604hp-OL_i, 5768295]
[ordered-list, [149.0, 299.0, 222.0, 18.0], 604hp-OL_i, 5768295]
[ordered-list, [149.0, 317.0, 222.0, 18.0], 604hp-OL_i, 5768295]
[ordered-list, [149.0, 335.0, 222.0, 18.0], 604hp-OL_i, 5768295]
[ordered-list, [149.0, 353.0, 222.0, 18.0], 604hp-OL_i, 5768295]
[ordered-list, [149.0, 371.0, 222.0, 18.0], 604hp-OL_i, 5768295]
[ordered-list, [149.0, 389.0, 222.0, 18.0], 604hp-OL_i, 5768295]
[ordered-list, [149.0, 407.0, 222.0, 18.0], 604hp-OL_i, 5768295]
[ordered-list, [149.0, 425.0, 222.0, 18.0], 604hp-OL_i, 5768295]
[ordered-list, [149.0, 443.0, 222.0, 18.0], 604hp-OL_i, 5768295]
[ordered-list, [149.0, 461.0, 222.0, 18.0], 604hp-OL_i, 5768295]
[ordered-list, [149.0, 479.0, 222.0, 18.0], 604hp-OL_i, 5768295]
[ordered-list, [149.0, 497.0, 222.0, 18.0], 604hp-OL_i, 5768295]
[ordered-list, [149.0, 515.0, 222.0, 18.0], 604hp-OL_i, 5768295]
[sidebar, [36.0, 142.0, 110.0, 18.0], 6EjvG4qLbw, 5768295]
[sidebar, [36.0, 160.0, 110.0, 18.0], 6EjvG4qLbw, 5768295]
[sidebar, [36.0, 178.0, 110.0, 18.0], 6EjvG4qLbw, 5768295]
[sidebar, [36.0, 196.0, 110.0, 18.0], 6EjvG4qLbw, 5768295]
[sidebar, [36.0, 214.0, 110.0, 18.0], 6EjvG4qLbw, 5768295]
[sidebar, [36.0, 232.0, 110.0, 18.0], 6EjvG4qLbw, 5768295]
[sidebar, [36.0, 250.0, 110.0, 18.0], 6EjvG4qLbw, 5768295]
[sidebar, [36.0, 268.0, 110.0, 18.0], 6EjvG4qLbw, 5768295]
[sidebar, [36.0, 286.0, 110.0, 18.0], 6EjvG4qLbw, 5768295]
[sidebar, [36.0, 304.0, 110.0, 18.0], 6EjvG4qLbw, 5768295]
[sidebar, [36.0, 322.0, 110.0, 18.0], 6EjvG4qLbw, 5768295]
[sidebar, [36.0, 340.0, 110.0, 18.0], 6EjvG4qLbw, 5768295]
[sidebar, [36.0, 358.0, 110.0, 18.0], 6EjvG4qLbw, 5768295]
[sidebar, [36.0, 376.0, 110.0, 18.0], 6EjvG4qLbw, 5768295]
[sidebar, [36.0, 394.0, 110.0, 18.0], 6EjvG4qLbw, 5768295]
[sidebar, [36.0, 412.0, 110.0, 18.0], 6EjvG4qLbw, 5768295]
