[1650, 1275]
[headline, [288.0, 185.0, 593.0, 37.5], shoonya_2sWWZL120HXZ19, 6472446]
[headline, [288.0, 222.5, 593.0, 37.5], shoonya_2sWWZL120HXZ19, 6472446]
[paragraph, [166.0, 294.0, 415.0, 36.0], shoonya_3s7IXCWHJ7XVAY, 6472446]
[paragraph, [166.0, 330.0, 415.0, 36.0], shoonya_3s7IXCWHJ7XVAY, 6472446]
[paragraph, [166.0, 366.0, 415.0, 36.0], shoonya_3s7IXCWHJ7XVAY, 6472446]
[paragraph, [168.0, 427.0, 411.0, 36.0], o2_3LarEnM, 6472446]
[paragraph, [168.0, 463.0, 411.0, 36.0], o2_3LarEnM, 6472446]
[paragraph, [168.0, 499.0, 411.0, 36.0], o2_3LarEnM, 6472446]
[paragraph, [168.0, 535.0, 411.0, 36.0], o2_3LarEnM, 6472446]
[paragraph, [168.0, 571.0, 411.0, 36.0], o2_3LarEnM, 6472446]
[paragraph, [167.0, 624.0, 415.0, 36.0], kFSvCr-k2-, 6472446]
[paragraph, [167.0, 660.0, 415.0, 36.0], kFSvCr-k2-, 6472446]
[paragraph, [167.0, 696.0, 415.0, 36.0], kFSvCr-k2-, 6472446]
[paragraph, [167.0, 732.0, 415.0, 36.0], kFSvCr-k2-, 6472446]
[paragraph, [167.0, 768.0, 415.0, 36.0], kFSvCr-k2-, 6472446]
[paragraph, [167.0, 804.0, 415.0, 36.0], kFSvCr-k2-, 6472446]
[paragraph, [167.0, 840.0, 415.0, 36.0], kFSvCr-k2-, 6472446]
[paragraph, [167.0, 876.0, 415.0, 36.0], kFSvCr-k2-, 6472446]
[paragraph, [167.0, 912.0, 415.0, 36.0], kFSvCr-k2-, 6472446]
[sidebar, [602.0, 884.0, 406.0, 36.0], 7O5NFzxQpn, 6472446]
[sidebar, [602.0, 920.0, 406.0, 36.0], 7O5NFzxQpn, 6472446]
[sidebar, [602.0, 956.0, 406.0, 36.0], 7O5NFzxQpn, 6472446]
[sidebar, [602.0, 992.0, 406.0, 36.0], 7O5NFzxQpn, 6472446]
[sidebar, [602.0, 1028.0, 406.0, 36.0], 7O5NFzxQpn, 6472446]
[sidebar, [602.0, 1064.0, 406.0, 36.0], 7O5NFzxQpn, 6472446]
[paragraph, [173.0, 972.0, 403.0, 36.0], MeO6eIT8V2, 6472446]
[paragraph, [173.0, 1008.0, 403.0, 36.0], MeO6eIT8V2, 6472446]
[author, [420.0, 1050.0, 172.0, 36.0], BA5qdnrZXF, 6472446]
[headline, [295.0, 1165.0, 607.0, 37.5], shoonya_1sHJQ2WAMBQL9Z, 6472446]
[paragraph, [594.0, 1251.0, 437.0, 36.0], shoonya_6sSQI8LHZ55IEN, 6472446]
[paragraph, [594.0, 1287.0, 437.0, 36.0], shoonya_6sSQI8LHZ55IEN, 6472446]
[paragraph, [594.0, 1323.0, 437.0, 36.0], shoonya_6sSQI8LHZ55IEN, 6472446]
[paragraph, [594.0, 1359.0, 437.0, 36.0], shoonya_6sSQI8LHZ55IEN, 6472446]
[paragraph, [594.0, 1395.0, 437.0, 36.0], shoonya_6sSQI8LHZ55IEN, 6472446]
[paragraph, [120.0, 1255.0, 453.0, 36.0], shoonya_0s8NH1PCO8KY8R, 6472446]
[paragraph, [120.0, 1291.0, 453.0, 36.0], shoonya_0s8NH1PCO8KY8R, 6472446]
[paragraph, [120.0, 1327.0, 453.0, 36.0], shoonya_0s8NH1PCO8KY8R, 6472446]
[paragraph, [120.0, 1363.0, 453.0, 36.0], shoonya_0s8NH1PCO8KY8R, 6472446]
[paragraph, [120.0, 1399.0, 453.0, 36.0], shoonya_0s8NH1PCO8KY8R, 6472446]
