[2650, 2048]
[headline, [88.0, 117.0, 570.0, 52.5], shoonya_7sAZCMFRBTPI14, 6473888]
[paragraph, [1053.0, 182.0, 912.0, 46.5], shoonya_4s7UB8R4HIYPD4, 6473888]
[paragraph, [1053.0, 228.5, 912.0, 46.5], shoonya_4s7UB8R4HIYPD4, 6473888]
[paragraph, [1053.0, 275.0, 912.0, 46.5], shoonya_4s7UB8R4HIYPD4, 6473888]
[paragraph, [1053.0, 321.5, 912.0, 46.5], shoonya_4s7UB8R4HIYPD4, 6473888]
[paragraph, [1053.0, 368.0, 912.0, 46.5], shoonya_4s7UB8R4HIYPD4, 6473888]
[paragraph, [1053.0, 414.5, 912.0, 46.5], shoonya_4s7UB8R4HIYPD4, 6473888]
[paragraph, [1053.0, 461.0, 912.0, 46.5], shoonya_4s7UB8R4HIYPD4, 6473888]
[paragraph, [1053.0, 507.5, 912.0, 46.5], shoonya_4s7UB8R4HIYPD4, 6473888]
[paragraph, [1053.0, 554.0, 912.0, 46.5], shoonya_4s7UB8R4HIYPD4, 6473888]
[paragraph, [1053.0, 600.5, 912.0, 46.5], shoonya_4s7UB8R4HIYPD4, 6473888]
[paragraph, [84.0, 188.0, 920.0, 46.5], shoonya_0sHT0U3HTYFYY4, 6473888]
[paragraph, [84.0, 234.5, 920.0, 46.5], shoonya_0sHT0U3HTYFYY4, 6473888]
[paragraph, [84.0, 281.0, 920.0, 46.5], shoonya_0sHT0U3HTYFYY4, 6473888]
[paragraph, [84.0, 327.5, 920.0, 46.5], shoonya_0sHT0U3HTYFYY4, 6473888]
[paragraph, [84.0, 374.0, 920.0, 46.5], shoonya_0sHT0U3HTYFYY4, 6473888]
[paragraph, [84.0, 420.5, 920.0, 46.5], shoonya_0sHT0U3HTYFYY4, 6473888]
[paragraph, [84.0, 467.0, 920.0, 46.5], shoonya_0sHT0U3HTYFYY4, 6473888]
[paragraph, [84.0, 513.5, 920.0, 46.5], shoonya_0sHT0U3HTYFYY4, 6473888]
[paragraph, [84.0, 560.0, 920.0, 46.5], shoonya_0sHT0U3HTYFYY4, 6473888]
[paragraph, [84.0, 606.5, 920.0, 46.5], shoonya_0sHT0U3HTYFYY4, 6473888]
[paragraph, [84.0, 653.0, 920.0, 46.5], shoonya_0sHT0U3HTYFYY4, 6473888]
[paragraph, [84.0, 699.5, 920.0, 46.5], shoonya_0sHT0U3HTYFYY4, 6473888]
[paragraph, [84.0, 746.0, 920.0, 46.5], shoonya_0sHT0U3HTYFYY4, 6473888]
[paragraph, [84.0, 792.5, 920.0, 46.5], shoonya_0sHT0U3HTYFYY4, 6473888]
[paragraph, [1053.0, 695.0, 913.0, 46.5], shoonya_2s53NAYF19AWLE, 6473888]
[paragraph, [1053.0, 741.5, 913.0, 46.5], shoonya_2s53NAYF19AWLE, 6473888]
[paragraph, [1053.0, 788.0, 913.0, 46.5], shoonya_2s53NAYF19AWLE, 6473888]
[paragraph, [1053.0, 834.5, 913.0, 46.5], shoonya_2s53NAYF19AWLE, 6473888]
[paragraph, [1053.0, 881.0, 913.0, 46.5], shoonya_2s53NAYF19AWLE, 6473888]
[paragraph, [1053.0, 927.5, 913.0, 46.5], shoonya_2s53NAYF19AWLE, 6473888]
[paragraph, [1053.0, 974.0, 913.0, 46.5], shoonya_2s53NAYF19AWLE, 6473888]
[paragraph, [1053.0, 1020.5, 913.0, 46.5], shoonya_2s53NAYF19AWLE, 6473888]
[paragraph, [78.0, 889.0, 930.0, 46.5], shoonya_1sDZFG03A9KNTM, 6473888]
[paragraph, [78.0, 935.5, 930.0, 46.5], shoonya_1sDZFG03A9KNTM, 6473888]
[paragraph, [78.0, 982.0, 930.0, 46.5], shoonya_1sDZFG03A9KNTM, 6473888]
[paragraph, [78.0, 1028.5, 930.0, 46.5], shoonya_1sDZFG03A9KNTM, 6473888]
[paragraph, [78.0, 1075.0, 930.0, 46.5], shoonya_1sDZFG03A9KNTM, 6473888]
[figure-caption, [14.0, 1554.0, 568.0, 46.5], shoonya_11sYEE4INMNLP0, 6473888]
[headline, [88.0, 1685.0, 689.0, 52.5], shoonya_8sS0Q5JDF47TQM, 6473888]
[paragraph, [1042.0, 1705.0, 925.0, 46.5], shoonya_14sFKV99KW2H45, 6473888]
[paragraph, [1042.0, 1751.5, 925.0, 46.5], shoonya_14sFKV99KW2H45, 6473888]
[paragraph, [1042.0, 1798.0, 925.0, 46.5], shoonya_14sFKV99KW2H45, 6473888]
[paragraph, [1042.0, 1844.5, 925.0, 46.5], shoonya_14sFKV99KW2H45, 6473888]
[paragraph, [77.0, 1761.0, 927.0, 46.5], shoonya_5sYTQU1L6X24O9, 6473888]
[paragraph, [77.0, 1807.5, 927.0, 46.5], shoonya_5sYTQU1L6X24O9, 6473888]
[paragraph, [77.0, 1854.0, 927.0, 46.5], shoonya_5sYTQU1L6X24O9, 6473888]
[paragraph, [77.0, 1900.5, 927.0, 46.5], shoonya_5sYTQU1L6X24O9, 6473888]
[paragraph, [77.0, 1947.0, 927.0, 46.5], shoonya_5sYTQU1L6X24O9, 6473888]
