[1818, 1374]
[folio, [484.0, 114.0, 420.0, 36.0], shoonya_4sP8M2D6TMKC3U, 5683084]
[paragraph, [696.0, 180.0, 572.0, 36.0], shoonya_2sF4W58W1DVJDN, 5683084]
[paragraph, [696.0, 216.0, 572.0, 36.0], shoonya_2sF4W58W1DVJDN, 5683084]
[paragraph, [109.0, 184.0, 578.0, 36.0], shoonya_3sWOOAZR47YM33, 5683084]
[paragraph, [109.0, 220.0, 578.0, 36.0], shoonya_3sWOOAZR47YM33, 5683084]
[paragraph, [109.0, 256.0, 578.0, 36.0], shoonya_3sWOOAZR47YM33, 5683084]
[paragraph, [109.0, 292.0, 578.0, 36.0], shoonya_3sWOOAZR47YM33, 5683084]
[paragraph, [109.0, 328.0, 578.0, 36.0], shoonya_3sWOOAZR47YM33, 5683084]
[paragraph, [109.0, 364.0, 578.0, 36.0], shoonya_3sWOOAZR47YM33, 5683084]
[paragraph, [109.0, 400.0, 578.0, 36.0], shoonya_3sWOOAZR47YM33, 5683084]
[paragraph, [109.0, 436.0, 578.0, 36.0], shoonya_3sWOOAZR47YM33, 5683084]
[paragraph, [109.0, 472.0, 578.0, 36.0], shoonya_3sWOOAZR47YM33, 5683084]
[paragraph, [109.0, 508.0, 578.0, 36.0], shoonya_3sWOOAZR47YM33, 5683084]
[paragraph, [109.0, 544.0, 578.0, 36.0], shoonya_3sWOOAZR47YM33, 5683084]
[paragraph, [701.0, 267.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 303.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 339.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 375.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 411.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 447.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 483.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 519.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 555.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 591.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 627.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 663.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 699.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 735.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 771.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 807.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 843.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 879.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 915.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 951.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 987.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 1023.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 1059.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 1095.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 1131.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 1167.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 1203.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 1239.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 1275.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 1311.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 1347.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 1383.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 1419.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 1455.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 1491.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 1527.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 1563.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 1599.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [701.0, 1635.0, 564.0, 36.0], u8U2voU_lV, 5683084]
[paragraph, [112.0, 607.0, 569.0, 36.0], LOusByPRNs, 5683084]
[paragraph, [112.0, 643.0, 569.0, 36.0], LOusByPRNs, 5683084]
[paragraph, [112.0, 679.0, 569.0, 36.0], LOusByPRNs, 5683084]
[paragraph, [112.0, 715.0, 569.0, 36.0], LOusByPRNs, 5683084]
[paragraph, [112.0, 751.0, 569.0, 36.0], LOusByPRNs, 5683084]
[paragraph, [112.0, 787.0, 569.0, 36.0], LOusByPRNs, 5683084]
[paragraph, [112.0, 823.0, 569.0, 36.0], LOusByPRNs, 5683084]
[paragraph, [112.0, 859.0, 569.0, 36.0], LOusByPRNs, 5683084]
[paragraph, [112.0, 895.0, 569.0, 36.0], LOusByPRNs, 5683084]
[paragraph, [112.0, 931.0, 569.0, 36.0], LOusByPRNs, 5683084]
[paragraph, [112.0, 967.0, 569.0, 36.0], LOusByPRNs, 5683084]
[paragraph, [112.0, 1003.0, 569.0, 36.0], LOusByPRNs, 5683084]
[paragraph, [112.0, 1039.0, 569.0, 36.0], LOusByPRNs, 5683084]
[paragraph, [112.0, 1075.0, 569.0, 36.0], LOusByPRNs, 5683084]
[paragraph, [112.0, 1111.0, 569.0, 36.0], LOusByPRNs, 5683084]
[paragraph, [112.0, 1147.0, 569.0, 36.0], LOusByPRNs, 5683084]
[paragraph, [112.0, 1183.0, 569.0, 36.0], LOusByPRNs, 5683084]
[paragraph, [112.0, 1219.0, 569.0, 36.0], LOusByPRNs, 5683084]
[paragraph, [112.0, 1255.0, 569.0, 36.0], LOusByPRNs, 5683084]
[paragraph, [112.0, 1291.0, 569.0, 36.0], LOusByPRNs, 5683084]
[paragraph, [112.0, 1327.0, 569.0, 36.0], LOusByPRNs, 5683084]
[paragraph, [112.0, 1363.0, 569.0, 36.0], LOusByPRNs, 5683084]
