[1684, 1191]
[section-title, [94.0, 165.0, 629.0, 49.5], shoonya_7sQT4O75C3HCV1, 6464268]
[ordered-list, [48.0, 220.0, 1013.0, 36.0], shoonya_0s81S44TPXRBB4, 6464268]
[ordered-list, [48.0, 256.0, 1013.0, 36.0], shoonya_0s81S44TPXRBB4, 6464268]
[ordered-list, [48.0, 292.0, 1013.0, 36.0], shoonya_0s81S44TPXRBB4, 6464268]
[ordered-list, [48.0, 328.0, 1013.0, 36.0], shoonya_0s81S44TPXRBB4, 6464268]
[ordered-list, [48.0, 364.0, 1013.0, 36.0], shoonya_0s81S44TPXRBB4, 6464268]
[ordered-list, [48.0, 400.0, 1013.0, 36.0], shoonya_0s81S44TPXRBB4, 6464268]
[ordered-list, [48.0, 436.0, 1013.0, 36.0], shoonya_0s81S44TPXRBB4, 6464268]
[ordered-list, [48.0, 472.0, 1013.0, 36.0], shoonya_0s81S44TPXRBB4, 6464268]
[ordered-list, [48.0, 508.0, 1013.0, 36.0], shoonya_0s81S44TPXRBB4, 6464268]
[ordered-list, [48.0, 544.0, 1013.0, 36.0], shoonya_0s81S44TPXRBB4, 6464268]
[ordered-list, [48.0, 580.0, 1013.0, 36.0], shoonya_0s81S44TPXRBB4, 6464268]
[ordered-list, [48.0, 616.0, 1013.0, 36.0], shoonya_0s81S44TPXRBB4, 6464268]
[ordered-list, [48.0, 652.0, 1013.0, 36.0], shoonya_0s81S44TPXRBB4, 6464268]
[ordered-list, [48.0, 688.0, 1013.0, 36.0], shoonya_0s81S44TPXRBB4, 6464268]
[ordered-list, [48.0, 724.0, 1013.0, 36.0], shoonya_0s81S44TPXRBB4, 6464268]
[ordered-list, [48.0, 760.0, 1013.0, 36.0], shoonya_0s81S44TPXRBB4, 6464268]
[ordered-list, [48.0, 796.0, 1013.0, 36.0], shoonya_0s81S44TPXRBB4, 6464268]
[ordered-list, [48.0, 832.0, 1013.0, 36.0], shoonya_0s81S44TPXRBB4, 6464268]
[ordered-list, [48.0, 868.0, 1013.0, 36.0], shoonya_0s81S44TPXRBB4, 6464268]
[ordered-list, [48.0, 904.0, 1013.0, 36.0], shoonya_0s81S44TPXRBB4, 6464268]
[ordered-list, [48.0, 940.0, 1013.0, 36.0], shoonya_0s81S44TPXRBB4, 6464268]
[ordered-list, [48.0, 976.0, 1013.0, 36.0], shoonya_0s81S44TPXRBB4, 6464268]
[ordered-list, [48.0, 1012.0, 1013.0, 36.0], shoonya_0s81S44TPXRBB4, 6464268]
[ordered-list, [48.0, 1048.0, 1013.0, 36.0], shoonya_0s81S44TPXRBB4, 6464268]
[paragraph, [90.0, 1107.0, 903.0, 36.0], shoonya_8s1C351M5V7561, 6464268]
[paragraph, [90.0, 1143.0, 903.0, 36.0], shoonya_8s1C351M5V7561, 6464268]
[paragraph, [90.0, 1179.0, 903.0, 36.0], shoonya_8s1C351M5V7561, 6464268]
[paragraph, [90.0, 1215.0, 903.0, 36.0], shoonya_8s1C351M5V7561, 6464268]
[paragraph, [90.0, 1251.0, 903.0, 36.0], shoonya_8s1C351M5V7561, 6464268]
[paragraph, [145.0, 1306.0, 358.0, 36.0], shoonya_2sKQ2KD7SQOSML, 6464268]
[ordered-list, [96.0, 1349.0, 897.0, 36.0], shoonya_3s1TOV5XADO8JP, 6464268]
[ordered-list, [96.0, 1385.0, 897.0, 36.0], shoonya_3s1TOV5XADO8JP, 6464268]
[paragraph, [83.0, 1430.0, 933.0, 36.0], shoonya_4s1D4ZK8EQDXKT, 6464268]
[paragraph, [83.0, 1466.0, 933.0, 36.0], shoonya_4s1D4ZK8EQDXKT, 6464268]
[paragraph, [83.0, 1502.0, 933.0, 36.0], shoonya_4s1D4ZK8EQDXKT, 6464268]
[paragraph, [83.0, 1538.0, 933.0, 36.0], shoonya_4s1D4ZK8EQDXKT, 6464268]
[paragraph, [83.0, 1574.0, 933.0, 36.0], shoonya_4s1D4ZK8EQDXKT, 6464268]
