[842, 595]
[folio, [361.0, 63.0, 93.0, 18.0], kV11gJlOZ9, 5768484]
[paragraph, [54.0, 118.0, 352.0, 18.0], __rAJdJRk9, 5768484]
[paragraph, [54.0, 136.0, 352.0, 18.0], __rAJdJRk9, 5768484]
[paragraph, [54.0, 154.0, 352.0, 18.0], __rAJdJRk9, 5768484]
[paragraph, [54.0, 172.0, 352.0, 18.0], __rAJdJRk9, 5768484]
[paragraph, [57.0, 208.0, 351.0, 18.0], x83NAirNXj, 5768484]
[paragraph, [57.0, 226.0, 351.0, 18.0], x83NAirNXj, 5768484]
[paragraph, [57.0, 244.0, 351.0, 18.0], x83NAirNXj, 5768484]
[paragraph, [57.0, 262.0, 351.0, 18.0], x83NAirNXj, 5768484]
[paragraph, [57.0, 296.0, 477.0, 18.0], NbOFPEpem6, 5768484]
[paragraph, [57.0, 314.0, 477.0, 18.0], NbOFPEpem6, 5768484]
[paragraph, [57.0, 332.0, 477.0, 18.0], NbOFPEpem6, 5768484]
[paragraph, [57.0, 350.0, 477.0, 18.0], NbOFPEpem6, 5768484]
[paragraph, [57.0, 368.0, 477.0, 18.0], NbOFPEpem6, 5768484]
[paragraph, [57.0, 386.0, 477.0, 18.0], NbOFPEpem6, 5768484]
[paragraph, [56.0, 426.0, 480.0, 18.0], tCJyy-RLXv, 5768484]
[paragraph, [56.0, 444.0, 480.0, 18.0], tCJyy-RLXv, 5768484]
[paragraph, [56.0, 462.0, 480.0, 18.0], tCJyy-RLXv, 5768484]
[paragraph, [54.0, 481.0, 206.0, 18.0], EEIEZ1tTke, 5768484]
[paragraph, [54.0, 499.0, 206.0, 18.0], EEIEZ1tTke, 5768484]
[paragraph, [54.0, 517.0, 206.0, 18.0], EEIEZ1tTke, 5768484]
[paragraph, [54.0, 535.0, 206.0, 18.0], EEIEZ1tTke, 5768484]
[paragraph, [54.0, 553.0, 206.0, 18.0], EEIEZ1tTke, 5768484]
[paragraph, [54.0, 571.0, 206.0, 18.0], EEIEZ1tTke, 5768484]
[paragraph, [54.0, 589.0, 206.0, 18.0], EEIEZ1tTke, 5768484]
[paragraph, [54.0, 607.0, 206.0, 18.0], EEIEZ1tTke, 5768484]
[paragraph, [54.0, 625.0, 206.0, 18.0], EEIEZ1tTke, 5768484]
[paragraph, [54.0, 643.0, 206.0, 18.0], EEIEZ1tTke, 5768484]
[paragraph, [54.0, 661.0, 206.0, 18.0], EEIEZ1tTke, 5768484]
[paragraph, [54.0, 679.0, 206.0, 18.0], EEIEZ1tTke, 5768484]
[paragraph, [54.0, 697.0, 206.0, 18.0], EEIEZ1tTke, 5768484]
[paragraph, [54.0, 715.0, 206.0, 18.0], EEIEZ1tTke, 5768484]
[footnote, [343.0, 742.0, 166.0, 18.0], OmRcekjGGn, 5768484]
[footnote, [343.0, 760.0, 166.0, 18.0], OmRcekjGGn, 5768484]
