[1372, 849]
[section-title, [234.0, 125.0, 385.0, 30.0], j12koWhRI8, 5710442]
[section-title, [234.0, 155.0, 385.0, 30.0], j12koWhRI8, 5710442]
[paragraph, [64.0, 216.0, 722.0, 18.0], shoonya_1sENWSGKUM282W, 5710442]
[paragraph, [64.0, 234.0, 722.0, 18.0], shoonya_1sENWSGKUM282W, 5710442]
[paragraph, [64.0, 252.0, 722.0, 18.0], shoonya_1sENWSGKUM282W, 5710442]
[paragraph, [64.0, 270.0, 722.0, 18.0], shoonya_1sENWSGKUM282W, 5710442]
[paragraph, [64.0, 288.0, 722.0, 18.0], shoonya_1sENWSGKUM282W, 5710442]
[paragraph, [64.0, 306.0, 722.0, 18.0], shoonya_1sENWSGKUM282W, 5710442]
[paragraph, [64.0, 324.0, 722.0, 18.0], shoonya_1sENWSGKUM282W, 5710442]
[paragraph, [64.0, 342.0, 722.0, 18.0], shoonya_1sENWSGKUM282W, 5710442]
[paragraph, [64.0, 360.0, 722.0, 18.0], shoonya_1sENWSGKUM282W, 5710442]
[paragraph, [64.0, 378.0, 722.0, 18.0], shoonya_1sENWSGKUM282W, 5710442]
[paragraph, [64.0, 396.0, 722.0, 18.0], shoonya_1sENWSGKUM282W, 5710442]
[paragraph, [64.0, 414.0, 722.0, 18.0], shoonya_1sENWSGKUM282W, 5710442]
[paragraph, [64.0, 432.0, 722.0, 18.0], shoonya_1sENWSGKUM282W, 5710442]
[paragraph, [64.0, 450.0, 722.0, 18.0], shoonya_1sENWSGKUM282W, 5710442]
[paragraph, [64.0, 468.0, 722.0, 18.0], shoonya_1sENWSGKUM282W, 5710442]
[paragraph, [64.0, 486.0, 722.0, 18.0], shoonya_1sENWSGKUM282W, 5710442]
[paragraph, [64.0, 504.0, 722.0, 18.0], shoonya_1sENWSGKUM282W, 5710442]
[paragraph, [64.0, 522.0, 722.0, 18.0], shoonya_1sENWSGKUM282W, 5710442]
[paragraph, [64.0, 540.0, 722.0, 18.0], shoonya_1sENWSGKUM282W, 5710442]
[paragraph, [64.0, 558.0, 722.0, 18.0], shoonya_1sENWSGKUM282W, 5710442]
[paragraph, [64.0, 576.0, 722.0, 18.0], shoonya_1sENWSGKUM282W, 5710442]
[paragraph, [64.0, 594.0, 722.0, 18.0], shoonya_1sENWSGKUM282W, 5710442]
[paragraph, [64.0, 612.0, 722.0, 18.0], shoonya_1sENWSGKUM282W, 5710442]
[paragraph, [64.0, 630.0, 722.0, 18.0], shoonya_1sENWSGKUM282W, 5710442]
[paragraph, [64.0, 648.0, 722.0, 18.0], shoonya_1sENWSGKUM282W, 5710442]
[paragraph, [71.0, 678.0, 713.0, 18.0], shoonya_3sWGC6XMMDI5R9, 5710442]
[paragraph, [71.0, 696.0, 713.0, 18.0], shoonya_3sWGC6XMMDI5R9, 5710442]
[paragraph, [71.0, 714.0, 713.0, 18.0], shoonya_3sWGC6XMMDI5R9, 5710442]
[paragraph, [71.0, 732.0, 713.0, 18.0], shoonya_3sWGC6XMMDI5R9, 5710442]
[paragraph, [71.0, 750.0, 713.0, 18.0], shoonya_3sWGC6XMMDI5R9, 5710442]
[paragraph, [71.0, 768.0, 713.0, 18.0], shoonya_3sWGC6XMMDI5R9, 5710442]
[paragraph, [71.0, 786.0, 713.0, 18.0], shoonya_3sWGC6XMMDI5R9, 5710442]
[paragraph, [71.0, 804.0, 713.0, 18.0], shoonya_3sWGC6XMMDI5R9, 5710442]
[paragraph, [71.0, 822.0, 713.0, 18.0], shoonya_3sWGC6XMMDI5R9, 5710442]
[paragraph, [71.0, 840.0, 713.0, 18.0], shoonya_3sWGC6XMMDI5R9, 5710442]
[paragraph, [71.0, 858.0, 713.0, 18.0], shoonya_3sWGC6XMMDI5R9, 5710442]
