[3300, 2550]
[ordered-list, [349.0, 268.0, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 320.5, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 373.0, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 425.5, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 478.0, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 530.5, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 583.0, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 635.5, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 688.0, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 740.5, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 793.0, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 845.5, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 898.0, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 950.5, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 1003.0, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 1055.5, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 1108.0, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 1160.5, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 1213.0, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 1265.5, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 1318.0, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 1370.5, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 1423.0, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 1475.5, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 1528.0, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 1580.5, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 1633.0, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 1685.5, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 1738.0, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 1790.5, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 1843.0, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 1895.5, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 1948.0, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 2000.5, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 2053.0, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 2105.5, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 2158.0, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 2210.5, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 2263.0, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 2315.5, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 2368.0, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 2420.5, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 2473.0, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 2525.5, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 2578.0, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 2630.5, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 2683.0, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 2735.5, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 2788.0, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
[ordered-list, [349.0, 2840.5, 1945.0, 52.5], shoonya_1sGJ5M50N7XCUY, 5720459]
