[720, 504]
[paragraph, [15.0, 106.0, 226.0, 18.0], shoonya_1sTXNHN1LATO37, 5651664]
[paragraph, [15.0, 124.0, 226.0, 18.0], shoonya_1sTXNHN1LATO37, 5651664]
[paragraph, [15.0, 142.0, 226.0, 18.0], shoonya_1sTXNHN1LATO37, 5651664]
[paragraph, [15.0, 160.0, 226.0, 18.0], shoonya_1sTXNHN1LATO37, 5651664]
[paragraph, [15.0, 178.0, 226.0, 18.0], shoonya_1sTXNHN1LATO37, 5651664]
[paragraph, [15.0, 196.0, 226.0, 18.0], shoonya_1sTXNHN1LATO37, 5651664]
[paragraph, [15.0, 214.0, 226.0, 18.0], shoonya_1sTXNHN1LATO37, 5651664]
[paragraph, [15.0, 232.0, 226.0, 18.0], shoonya_1sTXNHN1LATO37, 5651664]
[paragraph, [15.0, 250.0, 226.0, 18.0], shoonya_1sTXNHN1LATO37, 5651664]
[paragraph, [15.0, 268.0, 226.0, 18.0], shoonya_1sTXNHN1LATO37, 5651664]
[paragraph, [15.0, 286.0, 226.0, 18.0], shoonya_1sTXNHN1LATO37, 5651664]
[paragraph, [15.0, 304.0, 226.0, 18.0], shoonya_1sTXNHN1LATO37, 5651664]
[paragraph, [15.0, 322.0, 226.0, 18.0], shoonya_1sTXNHN1LATO37, 5651664]
[paragraph, [15.0, 340.0, 226.0, 18.0], shoonya_1sTXNHN1LATO37, 5651664]
[paragraph, [15.0, 358.0, 226.0, 18.0], shoonya_1sTXNHN1LATO37, 5651664]
[paragraph, [15.0, 376.0, 226.0, 18.0], shoonya_1sTXNHN1LATO37, 5651664]
[paragraph, [15.0, 394.0, 226.0, 18.0], shoonya_1sTXNHN1LATO37, 5651664]
[paragraph, [15.0, 412.0, 226.0, 18.0], shoonya_1sTXNHN1LATO37, 5651664]
[paragraph, [15.0, 430.0, 226.0, 18.0], shoonya_1sTXNHN1LATO37, 5651664]
[paragraph, [15.0, 448.0, 226.0, 18.0], shoonya_1sTXNHN1LATO37, 5651664]
[paragraph, [244.0, 111.0, 203.0, 18.0], shoonya_2s1JSQTT6SK4D0, 5651664]
[paragraph, [244.0, 129.0, 203.0, 18.0], shoonya_2s1JSQTT6SK4D0, 5651664]
[paragraph, [244.0, 147.0, 203.0, 18.0], shoonya_2s1JSQTT6SK4D0, 5651664]
[paragraph, [244.0, 165.0, 203.0, 18.0], shoonya_2s1JSQTT6SK4D0, 5651664]
[paragraph, [244.0, 183.0, 203.0, 18.0], shoonya_2s1JSQTT6SK4D0, 5651664]
[paragraph, [244.0, 201.0, 203.0, 18.0], shoonya_2s1JSQTT6SK4D0, 5651664]
[paragraph, [244.0, 219.0, 203.0, 18.0], shoonya_2s1JSQTT6SK4D0, 5651664]
[paragraph, [245.0, 247.0, 209.0, 18.0], shoonya_0sA3T202WVMJM5, 5651664]
[paragraph, [245.0, 265.0, 209.0, 18.0], shoonya_0sA3T202WVMJM5, 5651664]
[paragraph, [245.0, 283.0, 209.0, 18.0], shoonya_0sA3T202WVMJM5, 5651664]
[paragraph, [245.0, 301.0, 209.0, 18.0], shoonya_0sA3T202WVMJM5, 5651664]
[paragraph, [245.0, 319.0, 209.0, 18.0], shoonya_0sA3T202WVMJM5, 5651664]
[paragraph, [245.0, 337.0, 209.0, 18.0], shoonya_0sA3T202WVMJM5, 5651664]
[paragraph, [245.0, 355.0, 209.0, 18.0], shoonya_0sA3T202WVMJM5, 5651664]
[paragraph, [245.0, 373.0, 209.0, 18.0], shoonya_0sA3T202WVMJM5, 5651664]
[paragraph, [245.0, 391.0, 209.0, 18.0], shoonya_0sA3T202WVMJM5, 5651664]
[paragraph, [245.0, 409.0, 209.0, 18.0], shoonya_0sA3T202WVMJM5, 5651664]
[paragraph, [245.0, 427.0, 209.0, 18.0], shoonya_0sA3T202WVMJM5, 5651664]
[paragraph, [245.0, 445.0, 209.0, 18.0], shoonya_0sA3T202WVMJM5, 5651664]
[paragraph, [245.0, 463.0, 209.0, 18.0], shoonya_0sA3T202WVMJM5, 5651664]
[paragraph, [245.0, 481.0, 209.0, 18.0], shoonya_0sA3T202WVMJM5, 5651664]
[paragraph, [245.0, 499.0, 209.0, 18.0], shoonya_0sA3T202WVMJM5, 5651664]
[paragraph, [245.0, 517.0, 209.0, 18.0], shoonya_0sA3T202WVMJM5, 5651664]
[paragraph, [245.0, 535.0, 209.0, 18.0], shoonya_0sA3T202WVMJM5, 5651664]
[paragraph, [245.0, 553.0, 209.0, 18.0], shoonya_0sA3T202WVMJM5, 5651664]
[section-title, [20.0, 489.0, 221.0, 30.0], fC4AD_M8dO, 5651664]
[paragraph, [15.0, 529.0, 229.0, 18.0], shoonya_3s1FX3QLF0MPE3, 5651664]
[paragraph, [15.0, 547.0, 229.0, 18.0], shoonya_3s1FX3QLF0MPE3, 5651664]
[paragraph, [15.0, 565.0, 229.0, 18.0], shoonya_3s1FX3QLF0MPE3, 5651664]
[paragraph, [15.0, 583.0, 229.0, 18.0], shoonya_3s1FX3QLF0MPE3, 5651664]
[paragraph, [15.0, 601.0, 229.0, 18.0], shoonya_3s1FX3QLF0MPE3, 5651664]
[paragraph, [248.0, 583.0, 215.0, 18.0], wWG6BqOEJU, 5651664]
[paragraph, [248.0, 601.0, 215.0, 18.0], wWG6BqOEJU, 5651664]
[footnote, [198.0, 677.0, 108.0, 18.0], 5vsjA8pxv7, 5651664]
