[2339, 1653]
[paragraph, [235.0, 193.0, 1178.0, 36.0], shoonya_3sUDB7R5380GZY, 5753878]
[paragraph, [235.0, 229.0, 1178.0, 36.0], shoonya_3sUDB7R5380GZY, 5753878]
[paragraph, [235.0, 265.0, 1178.0, 36.0], shoonya_3sUDB7R5380GZY, 5753878]
[paragraph, [235.0, 301.0, 1178.0, 36.0], shoonya_3sUDB7R5380GZY, 5753878]
[paragraph, [235.0, 337.0, 1178.0, 36.0], shoonya_3sUDB7R5380GZY, 5753878]
[paragraph, [235.0, 373.0, 1178.0, 36.0], shoonya_3sUDB7R5380GZY, 5753878]
[paragraph, [234.0, 503.0, 1178.0, 36.0], shoonya_2sBTHRJRGZ7O8I, 5753878]
[paragraph, [234.0, 539.0, 1178.0, 36.0], shoonya_2sBTHRJRGZ7O8I, 5753878]
[paragraph, [234.0, 575.0, 1178.0, 36.0], shoonya_2sBTHRJRGZ7O8I, 5753878]
[paragraph, [234.0, 611.0, 1178.0, 36.0], shoonya_2sBTHRJRGZ7O8I, 5753878]
[paragraph, [234.0, 647.0, 1178.0, 36.0], shoonya_2sBTHRJRGZ7O8I, 5753878]
[paragraph, [234.0, 683.0, 1178.0, 36.0], shoonya_2sBTHRJRGZ7O8I, 5753878]
[paragraph, [234.0, 719.0, 1178.0, 36.0], shoonya_2sBTHRJRGZ7O8I, 5753878]
[paragraph, [234.0, 755.0, 1178.0, 36.0], shoonya_2sBTHRJRGZ7O8I, 5753878]
[paragraph, [234.0, 791.0, 1178.0, 36.0], shoonya_2sBTHRJRGZ7O8I, 5753878]
[paragraph, [234.0, 827.0, 1178.0, 36.0], shoonya_2sBTHRJRGZ7O8I, 5753878]
[paragraph, [234.0, 863.0, 1178.0, 36.0], shoonya_2sBTHRJRGZ7O8I, 5753878]
[paragraph, [234.0, 899.0, 1178.0, 36.0], shoonya_2sBTHRJRGZ7O8I, 5753878]
[paragraph, [234.0, 935.0, 1178.0, 36.0], shoonya_2sBTHRJRGZ7O8I, 5753878]
[paragraph, [234.0, 971.0, 1178.0, 36.0], shoonya_2sBTHRJRGZ7O8I, 5753878]
[paragraph, [234.0, 1007.0, 1178.0, 36.0], shoonya_2sBTHRJRGZ7O8I, 5753878]
[paragraph, [234.0, 1043.0, 1178.0, 36.0], shoonya_2sBTHRJRGZ7O8I, 5753878]
[paragraph, [234.0, 1079.0, 1178.0, 36.0], shoonya_2sBTHRJRGZ7O8I, 5753878]
[paragraph, [234.0, 1115.0, 1178.0, 36.0], shoonya_2sBTHRJRGZ7O8I, 5753878]
[paragraph, [234.0, 1151.0, 1178.0, 36.0], shoonya_2sBTHRJRGZ7O8I, 5753878]
[paragraph, [235.0, 1257.0, 1176.0, 36.0], shoonya_1sT46ELWDLZMAZ, 5753878]
[paragraph, [235.0, 1293.0, 1176.0, 36.0], shoonya_1sT46ELWDLZMAZ, 5753878]
[paragraph, [235.0, 1329.0, 1176.0, 36.0], shoonya_1sT46ELWDLZMAZ, 5753878]
[paragraph, [235.0, 1365.0, 1176.0, 36.0], shoonya_1sT46ELWDLZMAZ, 5753878]
[paragraph, [235.0, 1401.0, 1176.0, 36.0], shoonya_1sT46ELWDLZMAZ, 5753878]
[paragraph, [235.0, 1437.0, 1176.0, 36.0], shoonya_1sT46ELWDLZMAZ, 5753878]
[paragraph, [235.0, 1473.0, 1176.0, 36.0], shoonya_1sT46ELWDLZMAZ, 5753878]
[paragraph, [235.0, 1509.0, 1176.0, 36.0], shoonya_1sT46ELWDLZMAZ, 5753878]
[paragraph, [235.0, 1545.0, 1176.0, 36.0], shoonya_1sT46ELWDLZMAZ, 5753878]
[paragraph, [235.0, 1581.0, 1176.0, 36.0], shoonya_1sT46ELWDLZMAZ, 5753878]
[paragraph, [235.0, 1617.0, 1176.0, 36.0], shoonya_1sT46ELWDLZMAZ, 5753878]
[paragraph, [235.0, 1653.0, 1176.0, 36.0], shoonya_1sT46ELWDLZMAZ, 5753878]
[paragraph, [235.0, 1689.0, 1176.0, 36.0], shoonya_1sT46ELWDLZMAZ, 5753878]
[paragraph, [235.0, 1725.0, 1176.0, 36.0], shoonya_1sT46ELWDLZMAZ, 5753878]
[paragraph, [235.0, 1761.0, 1176.0, 36.0], shoonya_1sT46ELWDLZMAZ, 5753878]
[paragraph, [235.0, 1797.0, 1176.0, 36.0], shoonya_1sT46ELWDLZMAZ, 5753878]
[paragraph, [235.0, 1833.0, 1176.0, 36.0], shoonya_1sT46ELWDLZMAZ, 5753878]
[paragraph, [235.0, 1869.0, 1176.0, 36.0], shoonya_1sT46ELWDLZMAZ, 5753878]
[paragraph, [235.0, 1905.0, 1176.0, 36.0], shoonya_1sT46ELWDLZMAZ, 5753878]
[reference, [242.0, 2052.0, 661.0, 36.0], shoonya_0sUNT9C8A39I9K, 5753878]
[reference, [242.0, 2088.0, 661.0, 36.0], shoonya_0sUNT9C8A39I9K, 5753878]
