[2428, 1814]
[headline, [326.0, 149.0, 1266.0, 67.5], shoonya_5sXIPFRZR5NEHH, 5694644]
[headline, [326.0, 216.5, 1266.0, 67.5], shoonya_5sXIPFRZR5NEHH, 5694644]
[sub-headline, [228.0, 299.0, 1480.0, 55.5], wMCCKeYGwV, 5694644]
[sub-headline, [228.0, 354.5, 1480.0, 55.5], wMCCKeYGwV, 5694644]
[author, [766.0, 487.0, 383.0, 36.0], shoonya_3sTFZ4N1FYARTN, 5694644]
[paragraph, [241.0, 783.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 819.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 855.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 891.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 927.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 963.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 999.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 1035.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 1071.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 1107.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 1143.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 1179.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 1215.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 1251.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 1287.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 1323.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 1359.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 1395.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 1431.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 1467.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 1503.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 1539.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 1575.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 1611.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 1647.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 1683.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 1719.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 1755.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 1791.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 1827.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 1863.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 1899.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 1935.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 1971.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 2007.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 2043.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 2079.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 2115.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 2151.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
[paragraph, [241.0, 2187.0, 397.0, 36.0], shoonya_0s0H39BVKOULZZ, 5694644]
