[792, 612]
[folio, [201.0, 44.0, 236.0, 18.0], oodPT1JRk2, 5744260]
[paragraph, [106.0, 97.0, 423.0, 18.0], shoonya_0sSP9CI7WC456B, 5744260]
[paragraph, [106.0, 115.0, 423.0, 18.0], shoonya_0sSP9CI7WC456B, 5744260]
[paragraph, [106.0, 133.0, 423.0, 18.0], shoonya_0sSP9CI7WC456B, 5744260]
[paragraph, [106.0, 151.0, 423.0, 18.0], shoonya_0sSP9CI7WC456B, 5744260]
[paragraph, [106.0, 169.0, 423.0, 18.0], shoonya_0sSP9CI7WC456B, 5744260]
[paragraph, [106.0, 187.0, 423.0, 18.0], shoonya_0sSP9CI7WC456B, 5744260]
[paragraph, [106.0, 205.0, 423.0, 18.0], shoonya_0sSP9CI7WC456B, 5744260]
[paragraph, [106.0, 223.0, 423.0, 18.0], shoonya_0sSP9CI7WC456B, 5744260]
[paragraph, [106.0, 241.0, 423.0, 18.0], shoonya_0sSP9CI7WC456B, 5744260]
[paragraph, [106.0, 259.0, 423.0, 18.0], shoonya_0sSP9CI7WC456B, 5744260]
[paragraph, [106.0, 277.0, 423.0, 18.0], shoonya_0sSP9CI7WC456B, 5744260]
[paragraph, [106.0, 295.0, 423.0, 18.0], shoonya_0sSP9CI7WC456B, 5744260]
[paragraph, [106.0, 313.0, 423.0, 18.0], shoonya_0sSP9CI7WC456B, 5744260]
[paragraph, [106.0, 331.0, 423.0, 18.0], shoonya_0sSP9CI7WC456B, 5744260]
[paragraph, [106.0, 349.0, 423.0, 18.0], shoonya_0sSP9CI7WC456B, 5744260]
[paragraph, [106.0, 367.0, 423.0, 18.0], shoonya_0sSP9CI7WC456B, 5744260]
[paragraph, [106.0, 385.0, 423.0, 18.0], shoonya_0sSP9CI7WC456B, 5744260]
[paragraph, [106.0, 403.0, 423.0, 18.0], shoonya_0sSP9CI7WC456B, 5744260]
[paragraph, [106.0, 421.0, 423.0, 18.0], shoonya_0sSP9CI7WC456B, 5744260]
[paragraph, [106.0, 439.0, 423.0, 18.0], shoonya_0sSP9CI7WC456B, 5744260]
[paragraph, [106.0, 457.0, 423.0, 18.0], shoonya_0sSP9CI7WC456B, 5744260]
[paragraph, [106.0, 475.0, 423.0, 18.0], shoonya_0sSP9CI7WC456B, 5744260]
[paragraph, [106.0, 493.0, 423.0, 18.0], shoonya_0sSP9CI7WC456B, 5744260]
[paragraph, [114.0, 520.0, 419.0, 18.0], yBHBf3QhLO, 5744260]
[paragraph, [114.0, 538.0, 419.0, 18.0], yBHBf3QhLO, 5744260]
[paragraph, [114.0, 556.0, 419.0, 18.0], yBHBf3QhLO, 5744260]
[paragraph, [114.0, 574.0, 419.0, 18.0], yBHBf3QhLO, 5744260]
[paragraph, [114.0, 592.0, 419.0, 18.0], yBHBf3QhLO, 5744260]
[paragraph, [114.0, 610.0, 419.0, 18.0], yBHBf3QhLO, 5744260]
[paragraph, [113.0, 645.0, 429.0, 18.0], LsolcOf5gD, 5744260]
[paragraph, [113.0, 663.0, 429.0, 18.0], LsolcOf5gD, 5744260]
[paragraph, [113.0, 681.0, 429.0, 18.0], LsolcOf5gD, 5744260]
