[1754, 1241]
[chapter-title, [447.0, 135.0, 410.0, 58.5], shoonya_2sTSRI8SXSEOKB, 5709239]
[ordered-list, [180.0, 232.0, 943.0, 36.0], shoonya_0sGJO4ZXKCC73S, 5709239]
[ordered-list, [180.0, 268.0, 943.0, 36.0], shoonya_0sGJO4ZXKCC73S, 5709239]
[ordered-list, [180.0, 304.0, 943.0, 36.0], shoonya_0sGJO4ZXKCC73S, 5709239]
[ordered-list, [180.0, 340.0, 943.0, 36.0], shoonya_0sGJO4ZXKCC73S, 5709239]
[ordered-list, [180.0, 376.0, 943.0, 36.0], shoonya_0sGJO4ZXKCC73S, 5709239]
[ordered-list, [180.0, 412.0, 943.0, 36.0], shoonya_0sGJO4ZXKCC73S, 5709239]
[ordered-list, [180.0, 448.0, 943.0, 36.0], shoonya_0sGJO4ZXKCC73S, 5709239]
[ordered-list, [180.0, 484.0, 943.0, 36.0], shoonya_0sGJO4ZXKCC73S, 5709239]
[ordered-list, [180.0, 520.0, 943.0, 36.0], shoonya_0sGJO4ZXKCC73S, 5709239]
[ordered-list, [180.0, 556.0, 943.0, 36.0], shoonya_0sGJO4ZXKCC73S, 5709239]
[ordered-list, [180.0, 592.0, 943.0, 36.0], shoonya_0sGJO4ZXKCC73S, 5709239]
[ordered-list, [180.0, 628.0, 943.0, 36.0], shoonya_0sGJO4ZXKCC73S, 5709239]
[ordered-list, [180.0, 664.0, 943.0, 36.0], shoonya_0sGJO4ZXKCC73S, 5709239]
[ordered-list, [180.0, 700.0, 943.0, 36.0], shoonya_0sGJO4ZXKCC73S, 5709239]
[ordered-list, [180.0, 736.0, 943.0, 36.0], shoonya_0sGJO4ZXKCC73S, 5709239]
[ordered-list, [180.0, 772.0, 943.0, 36.0], shoonya_0sGJO4ZXKCC73S, 5709239]
[ordered-list, [180.0, 808.0, 943.0, 36.0], shoonya_0sGJO4ZXKCC73S, 5709239]
[ordered-list, [180.0, 844.0, 943.0, 36.0], shoonya_0sGJO4ZXKCC73S, 5709239]
[ordered-list, [180.0, 880.0, 943.0, 36.0], shoonya_0sGJO4ZXKCC73S, 5709239]
[ordered-list, [180.0, 916.0, 943.0, 36.0], shoonya_0sGJO4ZXKCC73S, 5709239]
