[2000, 1414]
[section-title, [395.0, 162.0, 599.0, 52.5], Ow6BC6BB4-, 6515883]
[section-title, [395.0, 214.5, 599.0, 52.5], Ow6BC6BB4-, 6515883]
[section-title, [395.0, 267.0, 599.0, 52.5], Ow6BC6BB4-, 6515883]
[section-title, [395.0, 319.5, 599.0, 52.5], Ow6BC6BB4-, 6515883]
[section-title, [395.0, 372.0, 599.0, 52.5], Ow6BC6BB4-, 6515883]
[sub-headline, [1016.0, 362.0, 271.0, 55.5], shoonya_0s2WLJFZSKR6RI, 6515883]
[sub-headline, [1016.0, 417.5, 271.0, 55.5], shoonya_0s2WLJFZSKR6RI, 6515883]
[sub-headline, [1016.0, 473.0, 271.0, 55.5], shoonya_0s2WLJFZSKR6RI, 6515883]
[sub-headline, [1016.0, 528.5, 271.0, 55.5], shoonya_0s2WLJFZSKR6RI, 6515883]
[sub-headline, [1016.0, 584.0, 271.0, 55.5], shoonya_0s2WLJFZSKR6RI, 6515883]
[sub-headline, [1016.0, 639.5, 271.0, 55.5], shoonya_0s2WLJFZSKR6RI, 6515883]
[sub-headline, [1016.0, 695.0, 271.0, 55.5], shoonya_0s2WLJFZSKR6RI, 6515883]
[author, [252.0, 571.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[author, [252.0, 607.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[author, [252.0, 643.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[author, [252.0, 679.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[author, [252.0, 715.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[author, [252.0, 751.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[author, [252.0, 787.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[author, [252.0, 823.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[author, [252.0, 859.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[author, [252.0, 895.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[author, [252.0, 931.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[author, [252.0, 967.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[author, [252.0, 1003.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[author, [252.0, 1039.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[author, [252.0, 1075.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[author, [252.0, 1111.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[author, [252.0, 1147.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[author, [252.0, 1183.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[author, [252.0, 1219.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[author, [252.0, 1255.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[author, [252.0, 1291.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[author, [252.0, 1327.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[author, [252.0, 1363.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[author, [252.0, 1399.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[author, [252.0, 1435.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[author, [252.0, 1471.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[author, [252.0, 1507.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[author, [252.0, 1543.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[author, [252.0, 1579.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[author, [252.0, 1615.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[author, [252.0, 1651.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[author, [252.0, 1687.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[author, [252.0, 1723.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[author, [252.0, 1759.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[author, [252.0, 1795.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[author, [252.0, 1831.0, 307.0, 36.0], cAEHQ5kzGB, 6515883]
[website-link, [1007.0, 1270.0, 256.0, 18.0], sjuLBI3ZGZ, 6515883]
[website-link, [1007.0, 1288.0, 256.0, 18.0], sjuLBI3ZGZ, 6515883]
[website-link, [1007.0, 1306.0, 256.0, 18.0], sjuLBI3ZGZ, 6515883]
[website-link, [1007.0, 1324.0, 256.0, 18.0], sjuLBI3ZGZ, 6515883]
[website-link, [1007.0, 1342.0, 256.0, 18.0], sjuLBI3ZGZ, 6515883]
[contact-info, [968.0, 1404.0, 321.0, 36.0], wIDaumNZ3d, 6515883]
[contact-info, [968.0, 1440.0, 321.0, 36.0], wIDaumNZ3d, 6515883]
