[872, 605]
[section-title, [258.0, 33.0, 86.0, 30.0], COlChH3o5M, 6456734]
[folio, [40.0, 37.0, 76.0, 18.0], VOS3TUoez6, 6456734]
[paragraph, [37.0, 75.0, 264.0, 18.0], shoonya_0s9J0EX8GY6Z8N, 6456734]
[paragraph, [37.0, 93.0, 264.0, 18.0], shoonya_0s9J0EX8GY6Z8N, 6456734]
[paragraph, [37.0, 111.0, 264.0, 18.0], shoonya_0s9J0EX8GY6Z8N, 6456734]
[paragraph, [37.0, 129.0, 264.0, 18.0], shoonya_0s9J0EX8GY6Z8N, 6456734]
[paragraph, [37.0, 147.0, 264.0, 18.0], shoonya_0s9J0EX8GY6Z8N, 6456734]
[paragraph, [37.0, 165.0, 264.0, 18.0], shoonya_0s9J0EX8GY6Z8N, 6456734]
[paragraph, [37.0, 183.0, 264.0, 18.0], shoonya_0s9J0EX8GY6Z8N, 6456734]
[paragraph, [37.0, 201.0, 264.0, 18.0], shoonya_0s9J0EX8GY6Z8N, 6456734]
[paragraph, [37.0, 219.0, 264.0, 18.0], shoonya_0s9J0EX8GY6Z8N, 6456734]
[paragraph, [37.0, 237.0, 264.0, 18.0], shoonya_0s9J0EX8GY6Z8N, 6456734]
[paragraph, [37.0, 255.0, 264.0, 18.0], shoonya_0s9J0EX8GY6Z8N, 6456734]
[paragraph, [300.0, 75.0, 257.0, 18.0], DyA5EhEDeA, 6456734]
[paragraph, [303.0, 94.0, 253.0, 18.0], DYCgKwcKAf, 6456734]
[paragraph, [303.0, 112.0, 253.0, 18.0], DYCgKwcKAf, 6456734]
[paragraph, [302.0, 130.0, 254.0, 18.0], s5kx1HIBYK, 6456734]
[paragraph, [302.0, 148.0, 254.0, 18.0], s5kx1HIBYK, 6456734]
[paragraph, [302.0, 166.0, 209.0, 18.0], ASaCGxfYFA, 6456734]
[paragraph, [303.0, 187.0, 262.0, 18.0], 69gPdl4nG1, 6456734]
[paragraph, [303.0, 205.0, 262.0, 18.0], 69gPdl4nG1, 6456734]
[paragraph, [303.0, 223.0, 262.0, 18.0], 69gPdl4nG1, 6456734]
[paragraph, [303.0, 241.0, 262.0, 18.0], 69gPdl4nG1, 6456734]
[paragraph, [303.0, 259.0, 262.0, 18.0], 69gPdl4nG1, 6456734]
[paragraph, [303.0, 277.0, 262.0, 18.0], 69gPdl4nG1, 6456734]
[paragraph, [303.0, 295.0, 262.0, 18.0], 69gPdl4nG1, 6456734]
[paragraph, [52.0, 287.0, 109.0, 18.0], bYIm-s3N8F, 6456734]
[paragraph, [38.0, 304.0, 261.0, 18.0], 52r_CNUKFz, 6456734]
[paragraph, [40.0, 327.0, 262.0, 18.0], HG3MtJM4-9, 6456734]
[paragraph, [40.0, 345.0, 262.0, 18.0], HG3MtJM4-9, 6456734]
[paragraph, [302.0, 329.0, 259.0, 18.0], rK2Tsf0mzd, 6456734]
[paragraph, [332.0, 348.0, 194.0, 18.0], 0DX4ZauQJw, 6456734]
[paragraph, [332.0, 366.0, 194.0, 18.0], 0DX4ZauQJw, 6456734]
[paragraph, [332.0, 384.0, 194.0, 18.0], 0DX4ZauQJw, 6456734]
[paragraph, [332.0, 402.0, 194.0, 18.0], 0DX4ZauQJw, 6456734]
[paragraph, [39.0, 363.0, 259.0, 18.0], 2LmOqpL9ME, 6456734]
[paragraph, [39.0, 381.0, 259.0, 18.0], 2LmOqpL9ME, 6456734]
[paragraph, [38.0, 397.0, 233.0, 18.0], 6_YXuvCB_U, 6456734]
