[2339, 1653]
[paragraph, [248.0, 245.0, 1157.0, 36.0], shoonya_1sDB907KD2RHJ1, 5686760]
[paragraph, [248.0, 281.0, 1157.0, 36.0], shoonya_1sDB907KD2RHJ1, 5686760]
[paragraph, [248.0, 317.0, 1157.0, 36.0], shoonya_1sDB907KD2RHJ1, 5686760]
[paragraph, [248.0, 353.0, 1157.0, 36.0], shoonya_1sDB907KD2RHJ1, 5686760]
[paragraph, [248.0, 389.0, 1157.0, 36.0], shoonya_1sDB907KD2RHJ1, 5686760]
[paragraph, [254.0, 444.0, 1153.0, 36.0], shoonya_0s2NGZM9LCJUOX, 5686760]
[paragraph, [254.0, 480.0, 1153.0, 36.0], shoonya_0s2NGZM9LCJUOX, 5686760]
[paragraph, [254.0, 516.0, 1153.0, 36.0], shoonya_0s2NGZM9LCJUOX, 5686760]
[paragraph, [254.0, 552.0, 1153.0, 36.0], shoonya_0s2NGZM9LCJUOX, 5686760]
[paragraph, [254.0, 588.0, 1153.0, 36.0], shoonya_0s2NGZM9LCJUOX, 5686760]
[paragraph, [254.0, 624.0, 1153.0, 36.0], shoonya_0s2NGZM9LCJUOX, 5686760]
[paragraph, [254.0, 660.0, 1153.0, 36.0], shoonya_0s2NGZM9LCJUOX, 5686760]
[paragraph, [254.0, 696.0, 1153.0, 36.0], shoonya_0s2NGZM9LCJUOX, 5686760]
[paragraph, [254.0, 732.0, 1153.0, 36.0], shoonya_0s2NGZM9LCJUOX, 5686760]
[paragraph, [254.0, 768.0, 1153.0, 36.0], shoonya_0s2NGZM9LCJUOX, 5686760]
[paragraph, [254.0, 804.0, 1153.0, 36.0], shoonya_0s2NGZM9LCJUOX, 5686760]
[paragraph, [254.0, 840.0, 1153.0, 36.0], shoonya_0s2NGZM9LCJUOX, 5686760]
[paragraph, [254.0, 876.0, 1153.0, 36.0], shoonya_0s2NGZM9LCJUOX, 5686760]
[paragraph, [254.0, 912.0, 1153.0, 36.0], shoonya_0s2NGZM9LCJUOX, 5686760]
[paragraph, [254.0, 948.0, 1153.0, 36.0], shoonya_0s2NGZM9LCJUOX, 5686760]
[paragraph, [254.0, 984.0, 1153.0, 36.0], shoonya_0s2NGZM9LCJUOX, 5686760]
[paragraph, [254.0, 1020.0, 1153.0, 36.0], shoonya_0s2NGZM9LCJUOX, 5686760]
[paragraph, [254.0, 1056.0, 1153.0, 36.0], shoonya_0s2NGZM9LCJUOX, 5686760]
[paragraph, [254.0, 1092.0, 1153.0, 36.0], shoonya_0s2NGZM9LCJUOX, 5686760]
[paragraph, [254.0, 1128.0, 1153.0, 36.0], shoonya_0s2NGZM9LCJUOX, 5686760]
[paragraph, [254.0, 1164.0, 1153.0, 36.0], shoonya_0s2NGZM9LCJUOX, 5686760]
[paragraph, [254.0, 1200.0, 1153.0, 36.0], shoonya_0s2NGZM9LCJUOX, 5686760]
[paragraph, [254.0, 1236.0, 1153.0, 36.0], shoonya_0s2NGZM9LCJUOX, 5686760]
[paragraph, [251.0, 1315.0, 556.0, 36.0], shoonya_3sXYI74JJ7R0UN, 5686760]
[paragraph, [448.0, 1376.0, 837.0, 36.0], shoonya_4sWF6DHU4Q1AA9, 5686760]
[paragraph, [448.0, 1412.0, 837.0, 36.0], shoonya_4sWF6DHU4Q1AA9, 5686760]
[paragraph, [448.0, 1448.0, 837.0, 36.0], shoonya_4sWF6DHU4Q1AA9, 5686760]
[paragraph, [448.0, 1484.0, 837.0, 36.0], shoonya_4sWF6DHU4Q1AA9, 5686760]
[paragraph, [448.0, 1520.0, 837.0, 36.0], shoonya_4sWF6DHU4Q1AA9, 5686760]
[paragraph, [448.0, 1556.0, 837.0, 36.0], shoonya_4sWF6DHU4Q1AA9, 5686760]
[paragraph, [448.0, 1592.0, 837.0, 36.0], shoonya_4sWF6DHU4Q1AA9, 5686760]
[paragraph, [448.0, 1628.0, 837.0, 36.0], shoonya_4sWF6DHU4Q1AA9, 5686760]
[paragraph, [448.0, 1664.0, 837.0, 36.0], shoonya_4sWF6DHU4Q1AA9, 5686760]
[paragraph, [451.0, 1738.0, 305.0, 36.0], TnLm-eWO0k, 5686760]
[reference, [761.0, 1738.0, 324.0, 36.0], PY8-j04Nbd, 5686760]
[paragraph, [250.0, 1798.0, 1152.0, 36.0], XSRZVBSFON, 5686760]
[paragraph, [250.0, 1834.0, 1152.0, 36.0], XSRZVBSFON, 5686760]
[paragraph, [250.0, 1870.0, 1152.0, 36.0], XSRZVBSFON, 5686760]
[paragraph, [250.0, 1906.0, 1152.0, 36.0], XSRZVBSFON, 5686760]
[paragraph, [250.0, 1942.0, 1152.0, 36.0], XSRZVBSFON, 5686760]
[paragraph, [250.0, 1978.0, 1152.0, 36.0], XSRZVBSFON, 5686760]
[paragraph, [250.0, 2014.0, 1152.0, 36.0], XSRZVBSFON, 5686760]
