[1951, 1219]
[folio, [800.0, 117.0, 211.0, 36.0], shoonya_0sOVBY5C6PG5UF, 5681984]
[paragraph, [126.0, 211.0, 969.0, 36.0], gr9batpr6x, 5681984]
[paragraph, [126.0, 247.0, 969.0, 36.0], gr9batpr6x, 5681984]
[paragraph, [126.0, 327.0, 967.0, 36.0], wFpsTRJRpi, 5681984]
[paragraph, [126.0, 363.0, 967.0, 36.0], wFpsTRJRpi, 5681984]
[paragraph, [127.0, 445.0, 970.0, 36.0], wI12WIFY6W, 5681984]
[paragraph, [127.0, 481.0, 970.0, 36.0], wI12WIFY6W, 5681984]
[paragraph, [127.0, 517.0, 970.0, 36.0], wI12WIFY6W, 5681984]
[paragraph, [127.0, 553.0, 970.0, 36.0], wI12WIFY6W, 5681984]
[paragraph, [127.0, 589.0, 970.0, 36.0], wI12WIFY6W, 5681984]
[paragraph, [127.0, 625.0, 970.0, 36.0], wI12WIFY6W, 5681984]
[paragraph, [127.0, 661.0, 970.0, 36.0], wI12WIFY6W, 5681984]
[paragraph, [127.0, 697.0, 970.0, 36.0], wI12WIFY6W, 5681984]
[paragraph, [127.0, 733.0, 970.0, 36.0], wI12WIFY6W, 5681984]
[paragraph, [127.0, 769.0, 970.0, 36.0], wI12WIFY6W, 5681984]
[paragraph, [127.0, 805.0, 970.0, 36.0], wI12WIFY6W, 5681984]
[paragraph, [127.0, 841.0, 970.0, 36.0], wI12WIFY6W, 5681984]
[paragraph, [127.0, 877.0, 970.0, 36.0], wI12WIFY6W, 5681984]
[paragraph, [127.0, 913.0, 970.0, 36.0], wI12WIFY6W, 5681984]
[paragraph, [127.0, 949.0, 970.0, 36.0], wI12WIFY6W, 5681984]
[paragraph, [127.0, 985.0, 970.0, 36.0], wI12WIFY6W, 5681984]
[paragraph, [127.0, 1021.0, 970.0, 36.0], wI12WIFY6W, 5681984]
[paragraph, [127.0, 1057.0, 970.0, 36.0], wI12WIFY6W, 5681984]
[paragraph, [127.0, 1093.0, 970.0, 36.0], wI12WIFY6W, 5681984]
[paragraph, [127.0, 1129.0, 970.0, 36.0], wI12WIFY6W, 5681984]
[paragraph, [127.0, 1165.0, 970.0, 36.0], wI12WIFY6W, 5681984]
[paragraph, [127.0, 1201.0, 970.0, 36.0], wI12WIFY6W, 5681984]
[paragraph, [124.0, 1257.0, 976.0, 36.0], nfNgxG8avV, 5681984]
[paragraph, [124.0, 1293.0, 976.0, 36.0], nfNgxG8avV, 5681984]
[paragraph, [124.0, 1329.0, 976.0, 36.0], nfNgxG8avV, 5681984]
[paragraph, [124.0, 1365.0, 976.0, 36.0], nfNgxG8avV, 5681984]
[paragraph, [124.0, 1401.0, 976.0, 36.0], nfNgxG8avV, 5681984]
[paragraph, [124.0, 1437.0, 976.0, 36.0], nfNgxG8avV, 5681984]
[paragraph, [126.0, 1490.0, 967.0, 36.0], yNURyeWhRS, 5681984]
[paragraph, [126.0, 1526.0, 967.0, 36.0], yNURyeWhRS, 5681984]
[paragraph, [126.0, 1562.0, 967.0, 36.0], yNURyeWhRS, 5681984]
[paragraph, [126.0, 1598.0, 967.0, 36.0], yNURyeWhRS, 5681984]
[paragraph, [126.0, 1634.0, 967.0, 36.0], yNURyeWhRS, 5681984]
[paragraph, [126.0, 1670.0, 967.0, 36.0], yNURyeWhRS, 5681984]
[paragraph, [126.0, 1706.0, 967.0, 36.0], yNURyeWhRS, 5681984]
[paragraph, [204.0, 1781.0, 888.0, 36.0], NLRIDvqoSF, 5681984]
