[567, 454]
[chapter-title, [258.0, 133.0, 156.0, 30.0], shoonya_3sZ0AMF2DW2KWE, 6459549]
[paragraph, [30.0, 186.0, 197.0, 18.0], nN0AmUl6pC, 6459549]
[paragraph, [30.0, 204.0, 197.0, 18.0], nN0AmUl6pC, 6459549]
[paragraph, [30.0, 222.0, 197.0, 18.0], nN0AmUl6pC, 6459549]
[paragraph, [30.0, 240.0, 197.0, 18.0], nN0AmUl6pC, 6459549]
[paragraph, [30.0, 258.0, 197.0, 18.0], nN0AmUl6pC, 6459549]
[paragraph, [30.0, 276.0, 197.0, 18.0], nN0AmUl6pC, 6459549]
[paragraph, [30.0, 294.0, 197.0, 18.0], nN0AmUl6pC, 6459549]
[paragraph, [30.0, 312.0, 197.0, 18.0], nN0AmUl6pC, 6459549]
[paragraph, [30.0, 330.0, 197.0, 18.0], nN0AmUl6pC, 6459549]
[paragraph, [228.0, 205.0, 191.0, 18.0], GHR0EpQLpi, 6459549]
[paragraph, [228.0, 223.0, 191.0, 18.0], GHR0EpQLpi, 6459549]
[paragraph, [228.0, 241.0, 191.0, 18.0], GHR0EpQLpi, 6459549]
[paragraph, [228.0, 259.0, 191.0, 18.0], GHR0EpQLpi, 6459549]
[paragraph, [228.0, 277.0, 191.0, 18.0], GHR0EpQLpi, 6459549]
[paragraph, [229.0, 297.0, 191.0, 18.0], Za9Ko466VJ, 6459549]
[paragraph, [229.0, 315.0, 191.0, 18.0], Za9Ko466VJ, 6459549]
[paragraph, [230.0, 350.0, 187.0, 18.0], kN-e4ffcDS, 6459549]
[paragraph, [230.0, 368.0, 187.0, 18.0], kN-e4ffcDS, 6459549]
[paragraph, [230.0, 386.0, 187.0, 18.0], kN-e4ffcDS, 6459549]
[paragraph, [230.0, 404.0, 187.0, 18.0], kN-e4ffcDS, 6459549]
[paragraph, [230.0, 422.0, 187.0, 18.0], kN-e4ffcDS, 6459549]
[paragraph, [230.0, 440.0, 187.0, 18.0], kN-e4ffcDS, 6459549]
[paragraph, [230.0, 458.0, 187.0, 18.0], kN-e4ffcDS, 6459549]
[paragraph, [230.0, 476.0, 187.0, 18.0], kN-e4ffcDS, 6459549]
[paragraph, [33.0, 356.0, 193.0, 18.0], K3zS1dqJYe, 6459549]
[paragraph, [33.0, 374.0, 193.0, 18.0], K3zS1dqJYe, 6459549]
[paragraph, [32.0, 407.0, 195.0, 18.0], a_HhOfH9ik, 6459549]
[paragraph, [32.0, 425.0, 195.0, 18.0], a_HhOfH9ik, 6459549]
[paragraph, [32.0, 443.0, 195.0, 18.0], a_HhOfH9ik, 6459549]
[paragraph, [32.0, 461.0, 195.0, 18.0], a_HhOfH9ik, 6459549]
[paragraph, [32.0, 479.0, 195.0, 18.0], a_HhOfH9ik, 6459549]
