[709, 412]
[folio, [185.0, 34.0, 41.0, 18.0], iEFEZPbPTh, 5740575]
[paragraph, [28.0, 60.0, 175.0, 18.0], 1hQ_H0Z5iL, 5740575]
[paragraph, [28.0, 78.0, 175.0, 18.0], 1hQ_H0Z5iL, 5740575]
[paragraph, [28.0, 96.0, 175.0, 18.0], 1hQ_H0Z5iL, 5740575]
[paragraph, [28.0, 114.0, 175.0, 18.0], 1hQ_H0Z5iL, 5740575]
[paragraph, [28.0, 132.0, 175.0, 18.0], 1hQ_H0Z5iL, 5740575]
[paragraph, [28.0, 150.0, 175.0, 18.0], 1hQ_H0Z5iL, 5740575]
[paragraph, [28.0, 168.0, 175.0, 18.0], 1hQ_H0Z5iL, 5740575]
[paragraph, [28.0, 186.0, 175.0, 18.0], 1hQ_H0Z5iL, 5740575]
[paragraph, [28.0, 204.0, 175.0, 18.0], 1hQ_H0Z5iL, 5740575]
[paragraph, [28.0, 222.0, 175.0, 18.0], 1hQ_H0Z5iL, 5740575]
[paragraph, [28.0, 240.0, 175.0, 18.0], 1hQ_H0Z5iL, 5740575]
[paragraph, [28.0, 258.0, 175.0, 18.0], 1hQ_H0Z5iL, 5740575]
[paragraph, [28.0, 276.0, 175.0, 18.0], 1hQ_H0Z5iL, 5740575]
[paragraph, [28.0, 294.0, 175.0, 18.0], 1hQ_H0Z5iL, 5740575]
[paragraph, [28.0, 312.0, 175.0, 18.0], 1hQ_H0Z5iL, 5740575]
[paragraph, [28.0, 330.0, 175.0, 18.0], 1hQ_H0Z5iL, 5740575]
[paragraph, [28.0, 348.0, 175.0, 18.0], 1hQ_H0Z5iL, 5740575]
[paragraph, [28.0, 366.0, 175.0, 18.0], 1hQ_H0Z5iL, 5740575]
[paragraph, [28.0, 384.0, 175.0, 18.0], 1hQ_H0Z5iL, 5740575]
[paragraph, [28.0, 402.0, 175.0, 18.0], 1hQ_H0Z5iL, 5740575]
[paragraph, [28.0, 420.0, 175.0, 18.0], 1hQ_H0Z5iL, 5740575]
[paragraph, [28.0, 438.0, 175.0, 18.0], 1hQ_H0Z5iL, 5740575]
[paragraph, [28.0, 456.0, 175.0, 18.0], 1hQ_H0Z5iL, 5740575]
[paragraph, [28.0, 474.0, 175.0, 18.0], 1hQ_H0Z5iL, 5740575]
[paragraph, [28.0, 492.0, 175.0, 18.0], 1hQ_H0Z5iL, 5740575]
[paragraph, [28.0, 510.0, 175.0, 18.0], 1hQ_H0Z5iL, 5740575]
[paragraph, [28.0, 528.0, 175.0, 18.0], 1hQ_H0Z5iL, 5740575]
[paragraph, [28.0, 546.0, 175.0, 18.0], 1hQ_H0Z5iL, 5740575]
[paragraph, [28.0, 564.0, 175.0, 18.0], 1hQ_H0Z5iL, 5740575]
[paragraph, [28.0, 582.0, 175.0, 18.0], 1hQ_H0Z5iL, 5740575]
[paragraph, [28.0, 600.0, 175.0, 18.0], 1hQ_H0Z5iL, 5740575]
[paragraph, [28.0, 618.0, 175.0, 18.0], 1hQ_H0Z5iL, 5740575]
[paragraph, [28.0, 636.0, 175.0, 18.0], 1hQ_H0Z5iL, 5740575]
[paragraph, [28.0, 654.0, 175.0, 18.0], 1hQ_H0Z5iL, 5740575]
[paragraph, [205.0, 64.0, 175.0, 18.0], LzI1N2KdPK, 5740575]
[paragraph, [205.0, 82.0, 175.0, 18.0], LzI1N2KdPK, 5740575]
[paragraph, [205.0, 100.0, 175.0, 18.0], LzI1N2KdPK, 5740575]
[paragraph, [205.0, 118.0, 175.0, 18.0], LzI1N2KdPK, 5740575]
[paragraph, [205.0, 136.0, 175.0, 18.0], LzI1N2KdPK, 5740575]
[paragraph, [205.0, 154.0, 175.0, 18.0], LzI1N2KdPK, 5740575]
[paragraph, [205.0, 172.0, 175.0, 18.0], LzI1N2KdPK, 5740575]
[paragraph, [205.0, 190.0, 175.0, 18.0], LzI1N2KdPK, 5740575]
[paragraph, [205.0, 208.0, 175.0, 18.0], LzI1N2KdPK, 5740575]
[paragraph, [205.0, 226.0, 175.0, 18.0], LzI1N2KdPK, 5740575]
[paragraph, [205.0, 244.0, 175.0, 18.0], LzI1N2KdPK, 5740575]
[paragraph, [205.0, 262.0, 175.0, 18.0], LzI1N2KdPK, 5740575]
[paragraph, [205.0, 280.0, 175.0, 18.0], LzI1N2KdPK, 5740575]
[paragraph, [205.0, 298.0, 175.0, 18.0], LzI1N2KdPK, 5740575]
[paragraph, [205.0, 316.0, 175.0, 18.0], LzI1N2KdPK, 5740575]
[paragraph, [205.0, 334.0, 175.0, 18.0], LzI1N2KdPK, 5740575]
[paragraph, [205.0, 352.0, 175.0, 18.0], LzI1N2KdPK, 5740575]
[paragraph, [205.0, 370.0, 175.0, 18.0], LzI1N2KdPK, 5740575]
[paragraph, [205.0, 388.0, 175.0, 18.0], LzI1N2KdPK, 5740575]
[paragraph, [205.0, 406.0, 175.0, 18.0], LzI1N2KdPK, 5740575]
[paragraph, [205.0, 424.0, 175.0, 18.0], LzI1N2KdPK, 5740575]
[paragraph, [205.0, 442.0, 175.0, 18.0], LzI1N2KdPK, 5740575]
[paragraph, [205.0, 460.0, 175.0, 18.0], LzI1N2KdPK, 5740575]
[paragraph, [205.0, 478.0, 175.0, 18.0], LzI1N2KdPK, 5740575]
[paragraph, [205.0, 496.0, 175.0, 18.0], LzI1N2KdPK, 5740575]
