[612, 396]
[paragraph, [50.0, 48.0, 296.0, 18.0], shoonya_2sQVP3MX3NTOH8, 6514359]
[paragraph, [50.0, 66.0, 296.0, 18.0], shoonya_2sQVP3MX3NTOH8, 6514359]
[paragraph, [50.0, 84.0, 296.0, 18.0], shoonya_2sQVP3MX3NTOH8, 6514359]
[paragraph, [50.0, 102.0, 296.0, 18.0], shoonya_2sQVP3MX3NTOH8, 6514359]
[paragraph, [50.0, 120.0, 296.0, 18.0], shoonya_2sQVP3MX3NTOH8, 6514359]
[paragraph, [50.0, 138.0, 296.0, 18.0], shoonya_2sQVP3MX3NTOH8, 6514359]
[paragraph, [50.0, 156.0, 296.0, 18.0], shoonya_2sQVP3MX3NTOH8, 6514359]
[paragraph, [50.0, 179.0, 297.0, 18.0], shoonya_0sZ6092HP3DS1Y, 6514359]
[paragraph, [50.0, 197.0, 297.0, 18.0], shoonya_0sZ6092HP3DS1Y, 6514359]
[paragraph, [50.0, 215.0, 297.0, 18.0], shoonya_0sZ6092HP3DS1Y, 6514359]
[paragraph, [50.0, 233.0, 297.0, 18.0], shoonya_0sZ6092HP3DS1Y, 6514359]
[paragraph, [50.0, 251.0, 297.0, 18.0], shoonya_0sZ6092HP3DS1Y, 6514359]
[paragraph, [50.0, 269.0, 297.0, 18.0], shoonya_0sZ6092HP3DS1Y, 6514359]
[paragraph, [50.0, 287.0, 297.0, 18.0], shoonya_0sZ6092HP3DS1Y, 6514359]
[paragraph, [50.0, 305.0, 297.0, 18.0], shoonya_0sZ6092HP3DS1Y, 6514359]
[paragraph, [50.0, 323.0, 297.0, 18.0], shoonya_0sZ6092HP3DS1Y, 6514359]
[paragraph, [50.0, 341.0, 297.0, 18.0], shoonya_0sZ6092HP3DS1Y, 6514359]
[paragraph, [50.0, 359.0, 297.0, 18.0], shoonya_0sZ6092HP3DS1Y, 6514359]
[paragraph, [49.0, 380.0, 302.0, 18.0], shoonya_1sMIJNRFT1SDVD, 6514359]
[paragraph, [49.0, 398.0, 302.0, 18.0], shoonya_1sMIJNRFT1SDVD, 6514359]
[paragraph, [49.0, 416.0, 302.0, 18.0], shoonya_1sMIJNRFT1SDVD, 6514359]
[paragraph, [49.0, 434.0, 302.0, 18.0], shoonya_1sMIJNRFT1SDVD, 6514359]
[paragraph, [49.0, 452.0, 302.0, 18.0], shoonya_1sMIJNRFT1SDVD, 6514359]
[paragraph, [50.0, 473.0, 295.0, 18.0], shoonya_3sX07SZNOJ8GU6, 6514359]
[paragraph, [50.0, 507.0, 301.0, 18.0], 4HE_TbfvCv, 6514359]
