[975, 571]
[paragraph, [11.0, 46.0, 520.0, 18.0], shoonya_0sY2JNJXGVT3SM, 5776635]
[paragraph, [11.0, 64.0, 520.0, 18.0], shoonya_0sY2JNJXGVT3SM, 5776635]
[paragraph, [11.0, 82.0, 520.0, 18.0], shoonya_0sY2JNJXGVT3SM, 5776635]
[paragraph, [11.0, 100.0, 520.0, 18.0], shoonya_0sY2JNJXGVT3SM, 5776635]
[paragraph, [11.0, 118.0, 520.0, 18.0], shoonya_0sY2JNJXGVT3SM, 5776635]
[paragraph, [11.0, 136.0, 520.0, 18.0], shoonya_0sY2JNJXGVT3SM, 5776635]
[paragraph, [11.0, 154.0, 520.0, 18.0], shoonya_0sY2JNJXGVT3SM, 5776635]
[paragraph, [11.0, 172.0, 520.0, 18.0], shoonya_0sY2JNJXGVT3SM, 5776635]
[paragraph, [11.0, 190.0, 520.0, 18.0], shoonya_0sY2JNJXGVT3SM, 5776635]
[paragraph, [11.0, 208.0, 520.0, 18.0], shoonya_0sY2JNJXGVT3SM, 5776635]
[paragraph, [11.0, 226.0, 520.0, 18.0], shoonya_0sY2JNJXGVT3SM, 5776635]
[paragraph, [11.0, 244.0, 520.0, 18.0], shoonya_0sY2JNJXGVT3SM, 5776635]
[paragraph, [11.0, 262.0, 520.0, 18.0], shoonya_0sY2JNJXGVT3SM, 5776635]
[paragraph, [11.0, 280.0, 520.0, 18.0], shoonya_0sY2JNJXGVT3SM, 5776635]
[paragraph, [11.0, 298.0, 520.0, 18.0], shoonya_0sY2JNJXGVT3SM, 5776635]
[paragraph, [11.0, 316.0, 520.0, 18.0], shoonya_0sY2JNJXGVT3SM, 5776635]
[paragraph, [13.0, 345.0, 517.0, 18.0], shoonya_1sUQU7U40DZ3Y5, 5776635]
[paragraph, [13.0, 363.0, 517.0, 18.0], shoonya_1sUQU7U40DZ3Y5, 5776635]
[paragraph, [13.0, 381.0, 517.0, 18.0], shoonya_1sUQU7U40DZ3Y5, 5776635]
[paragraph, [13.0, 399.0, 517.0, 18.0], shoonya_1sUQU7U40DZ3Y5, 5776635]
[paragraph, [13.0, 417.0, 517.0, 18.0], shoonya_1sUQU7U40DZ3Y5, 5776635]
[paragraph, [13.0, 435.0, 517.0, 18.0], shoonya_1sUQU7U40DZ3Y5, 5776635]
[paragraph, [13.0, 453.0, 517.0, 18.0], shoonya_1sUQU7U40DZ3Y5, 5776635]
[paragraph, [13.0, 471.0, 517.0, 18.0], shoonya_1sUQU7U40DZ3Y5, 5776635]
[paragraph, [13.0, 489.0, 517.0, 18.0], shoonya_1sUQU7U40DZ3Y5, 5776635]
[paragraph, [13.0, 507.0, 517.0, 18.0], shoonya_1sUQU7U40DZ3Y5, 5776635]
[paragraph, [13.0, 525.0, 517.0, 18.0], shoonya_1sUQU7U40DZ3Y5, 5776635]
[paragraph, [13.0, 543.0, 517.0, 18.0], shoonya_1sUQU7U40DZ3Y5, 5776635]
[paragraph, [13.0, 561.0, 517.0, 18.0], shoonya_1sUQU7U40DZ3Y5, 5776635]
[paragraph, [13.0, 579.0, 517.0, 18.0], shoonya_1sUQU7U40DZ3Y5, 5776635]
[paragraph, [16.0, 597.0, 512.0, 18.0], shoonya_3sT3D48CHHM76J, 5776635]
[paragraph, [16.0, 615.0, 512.0, 18.0], shoonya_3sT3D48CHHM76J, 5776635]
[paragraph, [16.0, 633.0, 512.0, 18.0], shoonya_3sT3D48CHHM76J, 5776635]
[paragraph, [16.0, 651.0, 512.0, 18.0], shoonya_3sT3D48CHHM76J, 5776635]
[paragraph, [16.0, 669.0, 512.0, 18.0], shoonya_3sT3D48CHHM76J, 5776635]
[paragraph, [16.0, 687.0, 512.0, 18.0], shoonya_3sT3D48CHHM76J, 5776635]
[paragraph, [17.0, 712.0, 511.0, 18.0], shoonya_2sAYENKNK46X9U, 5776635]
[paragraph, [17.0, 730.0, 511.0, 18.0], shoonya_2sAYENKNK46X9U, 5776635]
[paragraph, [17.0, 748.0, 511.0, 18.0], shoonya_2sAYENKNK46X9U, 5776635]
[paragraph, [17.0, 766.0, 511.0, 18.0], shoonya_2sAYENKNK46X9U, 5776635]
[paragraph, [17.0, 784.0, 511.0, 18.0], shoonya_2sAYENKNK46X9U, 5776635]
[paragraph, [17.0, 802.0, 511.0, 18.0], shoonya_2sAYENKNK46X9U, 5776635]
[paragraph, [17.0, 830.0, 513.0, 18.0], shoonya_4sD31EE67NGGU4, 5776635]
[paragraph, [17.0, 848.0, 513.0, 18.0], shoonya_4sD31EE67NGGU4, 5776635]
[paragraph, [17.0, 866.0, 513.0, 18.0], shoonya_4sD31EE67NGGU4, 5776635]
[paragraph, [17.0, 884.0, 513.0, 18.0], shoonya_4sD31EE67NGGU4, 5776635]
