[3300, 2550]
[paragraph, [266.0, 273.0, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 325.5, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 378.0, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 430.5, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 483.0, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 535.5, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 588.0, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 640.5, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 693.0, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 745.5, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 798.0, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 850.5, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 903.0, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 955.5, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 1008.0, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 1060.5, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 1113.0, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 1165.5, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 1218.0, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 1270.5, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 1323.0, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 1375.5, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 1428.0, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 1480.5, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 1533.0, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 1585.5, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 1638.0, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 1690.5, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 1743.0, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 1795.5, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 1848.0, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 1900.5, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 1953.0, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 2005.5, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 2058.0, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 2110.5, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 2163.0, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 2215.5, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 2268.0, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 2320.5, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 2373.0, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 2425.5, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 2478.0, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 2530.5, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 2583.0, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 2635.5, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 2688.0, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 2740.5, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 2793.0, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
[paragraph, [266.0, 2845.5, 2015.0, 52.5], shoonya_1s84XKNR6D534T, 5720481]
