[2339, 1656]
[paragraph, [185.0, 184.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 220.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 256.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 292.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 328.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 364.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 400.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 436.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 472.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 508.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 544.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 580.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 616.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 652.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 688.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 724.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 760.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 796.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 832.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 868.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 904.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 940.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 976.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 1012.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 1048.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 1084.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 1120.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 1156.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 1192.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 1228.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 1264.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 1300.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 1336.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 1372.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 1408.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 1444.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 1480.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 1516.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 1552.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [185.0, 1588.0, 1284.0, 36.0], shoonya_0s7WMD5PD0PT0V, 5752784]
[paragraph, [184.0, 1684.0, 1285.0, 36.0], Ob7LLrJEOh, 5752784]
[paragraph, [184.0, 1720.0, 1285.0, 36.0], Ob7LLrJEOh, 5752784]
[paragraph, [184.0, 1756.0, 1285.0, 36.0], Ob7LLrJEOh, 5752784]
[paragraph, [184.0, 1792.0, 1285.0, 36.0], Ob7LLrJEOh, 5752784]
[paragraph, [184.0, 1828.0, 1285.0, 36.0], Ob7LLrJEOh, 5752784]
[paragraph, [184.0, 1864.0, 1285.0, 36.0], Ob7LLrJEOh, 5752784]
[paragraph, [184.0, 1900.0, 1285.0, 36.0], Ob7LLrJEOh, 5752784]
[paragraph, [184.0, 1936.0, 1285.0, 36.0], Ob7LLrJEOh, 5752784]
[paragraph, [184.0, 1972.0, 1285.0, 36.0], Ob7LLrJEOh, 5752784]
[paragraph, [184.0, 2008.0, 1285.0, 36.0], Ob7LLrJEOh, 5752784]
[folio, [298.0, 2146.0, 467.0, 36.0], Q32IVesoLH, 5752784]
