[1650, 1275]
[ordered-list, [256.0, 175.0, 891.0, 36.0], shoonya_2s98AQEK711QRD, 5714713]
[ordered-list, [256.0, 211.0, 891.0, 36.0], shoonya_2s98AQEK711QRD, 5714713]
[ordered-list, [256.0, 247.0, 891.0, 36.0], shoonya_2s98AQEK711QRD, 5714713]
[ordered-list, [256.0, 283.0, 891.0, 36.0], shoonya_2s98AQEK711QRD, 5714713]
[ordered-list, [256.0, 319.0, 891.0, 36.0], shoonya_2s98AQEK711QRD, 5714713]
[ordered-list, [256.0, 355.0, 891.0, 36.0], shoonya_2s98AQEK711QRD, 5714713]
[ordered-list, [256.0, 391.0, 891.0, 36.0], shoonya_2s98AQEK711QRD, 5714713]
[ordered-list, [256.0, 427.0, 891.0, 36.0], shoonya_2s98AQEK711QRD, 5714713]
[ordered-list, [256.0, 463.0, 891.0, 36.0], shoonya_2s98AQEK711QRD, 5714713]
[ordered-list, [256.0, 499.0, 891.0, 36.0], shoonya_2s98AQEK711QRD, 5714713]
[ordered-list, [256.0, 535.0, 891.0, 36.0], shoonya_2s98AQEK711QRD, 5714713]
[ordered-list, [256.0, 571.0, 891.0, 36.0], shoonya_2s98AQEK711QRD, 5714713]
[ordered-list, [256.0, 607.0, 891.0, 36.0], shoonya_2s98AQEK711QRD, 5714713]
[ordered-list, [256.0, 643.0, 891.0, 36.0], shoonya_2s98AQEK711QRD, 5714713]
[ordered-list, [256.0, 679.0, 891.0, 36.0], shoonya_2s98AQEK711QRD, 5714713]
[ordered-list, [256.0, 715.0, 891.0, 36.0], shoonya_2s98AQEK711QRD, 5714713]
[ordered-list, [256.0, 751.0, 891.0, 36.0], shoonya_2s98AQEK711QRD, 5714713]
[ordered-list, [256.0, 787.0, 891.0, 36.0], shoonya_2s98AQEK711QRD, 5714713]
[ordered-list, [256.0, 823.0, 891.0, 36.0], shoonya_2s98AQEK711QRD, 5714713]
[ordered-list, [256.0, 859.0, 891.0, 36.0], shoonya_2s98AQEK711QRD, 5714713]
[ordered-list, [256.0, 895.0, 891.0, 36.0], shoonya_2s98AQEK711QRD, 5714713]
[ordered-list, [256.0, 931.0, 891.0, 36.0], shoonya_2s98AQEK711QRD, 5714713]
[ordered-list, [256.0, 967.0, 891.0, 36.0], shoonya_2s98AQEK711QRD, 5714713]
