[792, 612]
[folio, [383.0, 70.0, 101.0, 18.0], iHQ-U7sXsw, 6493770]
[paragraph, [80.0, 100.0, 439.0, 18.0], shoonya_0sXSOLH8XS9ON9, 6493770]
[paragraph, [80.0, 118.0, 439.0, 18.0], shoonya_0sXSOLH8XS9ON9, 6493770]
[paragraph, [80.0, 136.0, 439.0, 18.0], shoonya_0sXSOLH8XS9ON9, 6493770]
[paragraph, [80.0, 154.0, 439.0, 18.0], shoonya_0sXSOLH8XS9ON9, 6493770]
[paragraph, [80.0, 172.0, 439.0, 18.0], shoonya_0sXSOLH8XS9ON9, 6493770]
[paragraph, [80.0, 190.0, 439.0, 18.0], shoonya_0sXSOLH8XS9ON9, 6493770]
[paragraph, [80.0, 208.0, 439.0, 18.0], shoonya_0sXSOLH8XS9ON9, 6493770]
[paragraph, [80.0, 226.0, 439.0, 18.0], shoonya_0sXSOLH8XS9ON9, 6493770]
[paragraph, [80.0, 244.0, 439.0, 18.0], shoonya_0sXSOLH8XS9ON9, 6493770]
[paragraph, [80.0, 262.0, 439.0, 18.0], shoonya_0sXSOLH8XS9ON9, 6493770]
[paragraph, [80.0, 280.0, 439.0, 18.0], shoonya_0sXSOLH8XS9ON9, 6493770]
[paragraph, [80.0, 298.0, 439.0, 18.0], shoonya_0sXSOLH8XS9ON9, 6493770]
[paragraph, [80.0, 316.0, 439.0, 18.0], shoonya_0sXSOLH8XS9ON9, 6493770]
[paragraph, [80.0, 334.0, 439.0, 18.0], shoonya_0sXSOLH8XS9ON9, 6493770]
[paragraph, [80.0, 352.0, 439.0, 18.0], shoonya_0sXSOLH8XS9ON9, 6493770]
[paragraph, [80.0, 370.0, 439.0, 18.0], shoonya_0sXSOLH8XS9ON9, 6493770]
[paragraph, [80.0, 388.0, 439.0, 18.0], shoonya_0sXSOLH8XS9ON9, 6493770]
[paragraph, [80.0, 406.0, 439.0, 18.0], shoonya_0sXSOLH8XS9ON9, 6493770]
[paragraph, [80.0, 424.0, 439.0, 18.0], shoonya_0sXSOLH8XS9ON9, 6493770]
[paragraph, [80.0, 442.0, 439.0, 18.0], shoonya_0sXSOLH8XS9ON9, 6493770]
[paragraph, [83.0, 470.0, 437.0, 18.0], LYY57FTX9u, 6493770]
[paragraph, [83.0, 488.0, 437.0, 18.0], LYY57FTX9u, 6493770]
[paragraph, [83.0, 506.0, 437.0, 18.0], LYY57FTX9u, 6493770]
[paragraph, [83.0, 524.0, 437.0, 18.0], LYY57FTX9u, 6493770]
[paragraph, [83.0, 542.0, 437.0, 18.0], LYY57FTX9u, 6493770]
[paragraph, [83.0, 560.0, 437.0, 18.0], LYY57FTX9u, 6493770]
[paragraph, [83.0, 578.0, 437.0, 18.0], LYY57FTX9u, 6493770]
[paragraph, [83.0, 596.0, 437.0, 18.0], LYY57FTX9u, 6493770]
[paragraph, [83.0, 614.0, 437.0, 18.0], LYY57FTX9u, 6493770]
[paragraph, [83.0, 632.0, 437.0, 18.0], LYY57FTX9u, 6493770]
