[842, 595]
[folio, [165.0, 59.0, 249.0, 18.0], NVfHjpiOYK, 5772436]
[paragraph, [56.0, 119.0, 471.0, 18.0], 5kl4Ei1x4l, 5772436]
[paragraph, [56.0, 137.0, 471.0, 18.0], 5kl4Ei1x4l, 5772436]
[paragraph, [56.0, 155.0, 471.0, 18.0], 5kl4Ei1x4l, 5772436]
[paragraph, [56.0, 173.0, 471.0, 18.0], 5kl4Ei1x4l, 5772436]
[paragraph, [58.0, 203.0, 465.0, 18.0], l8uR4y2qPD, 5772436]
[paragraph, [58.0, 221.0, 465.0, 18.0], l8uR4y2qPD, 5772436]
[paragraph, [60.0, 244.0, 463.0, 18.0], koJVjUhF04, 5772436]
[paragraph, [60.0, 262.0, 463.0, 18.0], koJVjUhF04, 5772436]
[paragraph, [54.0, 317.0, 469.0, 18.0], Rd_UIaMN7s, 5772436]
[paragraph, [54.0, 335.0, 469.0, 18.0], Rd_UIaMN7s, 5772436]
[paragraph, [54.0, 353.0, 469.0, 18.0], Rd_UIaMN7s, 5772436]
[paragraph, [54.0, 371.0, 469.0, 18.0], Rd_UIaMN7s, 5772436]
[paragraph, [54.0, 389.0, 469.0, 18.0], Rd_UIaMN7s, 5772436]
[paragraph, [54.0, 407.0, 469.0, 18.0], Rd_UIaMN7s, 5772436]
[paragraph, [54.0, 425.0, 469.0, 18.0], Rd_UIaMN7s, 5772436]
[paragraph, [54.0, 443.0, 469.0, 18.0], Rd_UIaMN7s, 5772436]
[paragraph, [54.0, 461.0, 469.0, 18.0], Rd_UIaMN7s, 5772436]
[paragraph, [54.0, 479.0, 469.0, 18.0], Rd_UIaMN7s, 5772436]
[paragraph, [57.0, 522.0, 469.0, 18.0], shoonya_0s029HRPANB512, 5772436]
[paragraph, [57.0, 540.0, 469.0, 18.0], shoonya_0s029HRPANB512, 5772436]
[paragraph, [57.0, 558.0, 469.0, 18.0], shoonya_0s029HRPANB512, 5772436]
[paragraph, [57.0, 576.0, 469.0, 18.0], shoonya_0s029HRPANB512, 5772436]
[paragraph, [57.0, 594.0, 469.0, 18.0], shoonya_0s029HRPANB512, 5772436]
[paragraph, [57.0, 627.0, 471.0, 18.0], cJv0T68sW6, 5772436]
[paragraph, [57.0, 645.0, 471.0, 18.0], cJv0T68sW6, 5772436]
[paragraph, [57.0, 663.0, 471.0, 18.0], cJv0T68sW6, 5772436]
[paragraph, [57.0, 681.0, 471.0, 18.0], cJv0T68sW6, 5772436]
[paragraph, [57.0, 699.0, 471.0, 18.0], cJv0T68sW6, 5772436]
