[1654, 1241]
[folio, [400.0, 181.0, 445.0, 36.0], MhwPkhgwBU, 6468405]
[folio, [468.0, 245.0, 308.0, 36.0], RLf1Hr_tbq, 6468405]
[paragraph, [82.0, 340.0, 1085.0, 36.0], shoonya_0sGTTO8I3WBL9T, 6468405]
[paragraph, [82.0, 376.0, 1085.0, 36.0], shoonya_0sGTTO8I3WBL9T, 6468405]
[paragraph, [82.0, 412.0, 1085.0, 36.0], shoonya_0sGTTO8I3WBL9T, 6468405]
[paragraph, [82.0, 448.0, 1085.0, 36.0], shoonya_0sGTTO8I3WBL9T, 6468405]
[paragraph, [82.0, 484.0, 1085.0, 36.0], shoonya_0sGTTO8I3WBL9T, 6468405]
[paragraph, [82.0, 520.0, 1085.0, 36.0], shoonya_0sGTTO8I3WBL9T, 6468405]
[paragraph, [82.0, 556.0, 1085.0, 36.0], shoonya_0sGTTO8I3WBL9T, 6468405]
[paragraph, [82.0, 592.0, 1085.0, 36.0], shoonya_0sGTTO8I3WBL9T, 6468405]
[paragraph, [82.0, 628.0, 1085.0, 36.0], shoonya_0sGTTO8I3WBL9T, 6468405]
[paragraph, [77.0, 685.0, 1082.0, 36.0], MZO0pD9okC, 6468405]
[paragraph, [77.0, 721.0, 1082.0, 36.0], MZO0pD9okC, 6468405]
[paragraph, [77.0, 757.0, 1082.0, 36.0], MZO0pD9okC, 6468405]
[paragraph, [77.0, 793.0, 1082.0, 36.0], MZO0pD9okC, 6468405]
[paragraph, [77.0, 829.0, 1082.0, 36.0], MZO0pD9okC, 6468405]
[paragraph, [77.0, 865.0, 1082.0, 36.0], MZO0pD9okC, 6468405]
[paragraph, [77.0, 901.0, 1082.0, 36.0], MZO0pD9okC, 6468405]
[paragraph, [77.0, 937.0, 1082.0, 36.0], MZO0pD9okC, 6468405]
[paragraph, [77.0, 973.0, 1082.0, 36.0], MZO0pD9okC, 6468405]
[paragraph, [77.0, 1009.0, 1082.0, 36.0], MZO0pD9okC, 6468405]
