[2339, 1653]
[folio, [204.0, 365.0, 272.0, 36.0], 8njaZVWF1D, 5736183]
[folio, [1316.0, 367.0, 136.0, 36.0], Md5DYRb2hy, 5736183]
[sidebar, [38.0, 423.0, 152.0, 36.0], shoonya_11s5J2WY52UP0U, 5736183]
[paragraph, [836.0, 425.0, 614.0, 36.0], shoonya_3sFI4AWDMHOXN1, 5736183]
[paragraph, [836.0, 461.0, 614.0, 36.0], shoonya_3sFI4AWDMHOXN1, 5736183]
[paragraph, [836.0, 497.0, 614.0, 36.0], shoonya_3sFI4AWDMHOXN1, 5736183]
[paragraph, [836.0, 533.0, 614.0, 36.0], shoonya_3sFI4AWDMHOXN1, 5736183]
[paragraph, [836.0, 569.0, 614.0, 36.0], shoonya_3sFI4AWDMHOXN1, 5736183]
[paragraph, [836.0, 605.0, 614.0, 36.0], shoonya_3sFI4AWDMHOXN1, 5736183]
[paragraph, [836.0, 641.0, 614.0, 36.0], shoonya_3sFI4AWDMHOXN1, 5736183]
[paragraph, [836.0, 677.0, 614.0, 36.0], shoonya_3sFI4AWDMHOXN1, 5736183]
[paragraph, [836.0, 713.0, 614.0, 36.0], shoonya_3sFI4AWDMHOXN1, 5736183]
[paragraph, [836.0, 749.0, 614.0, 36.0], shoonya_3sFI4AWDMHOXN1, 5736183]
[paragraph, [202.0, 428.0, 615.0, 36.0], shoonya_5sLIY3BDH4XK75, 5736183]
[paragraph, [202.0, 464.0, 615.0, 36.0], shoonya_5sLIY3BDH4XK75, 5736183]
[paragraph, [202.0, 500.0, 615.0, 36.0], shoonya_5sLIY3BDH4XK75, 5736183]
[paragraph, [202.0, 536.0, 615.0, 36.0], shoonya_5sLIY3BDH4XK75, 5736183]
[paragraph, [202.0, 572.0, 615.0, 36.0], shoonya_5sLIY3BDH4XK75, 5736183]
[paragraph, [202.0, 608.0, 615.0, 36.0], shoonya_5sLIY3BDH4XK75, 5736183]
[paragraph, [202.0, 644.0, 615.0, 36.0], shoonya_5sLIY3BDH4XK75, 5736183]
[paragraph, [202.0, 680.0, 615.0, 36.0], shoonya_5sLIY3BDH4XK75, 5736183]
[paragraph, [202.0, 747.0, 613.0, 36.0], shoonya_1sYERYU9SZ3NN8, 5736183]
[paragraph, [202.0, 783.0, 613.0, 36.0], shoonya_1sYERYU9SZ3NN8, 5736183]
[paragraph, [202.0, 819.0, 613.0, 36.0], shoonya_1sYERYU9SZ3NN8, 5736183]
[paragraph, [202.0, 855.0, 613.0, 36.0], shoonya_1sYERYU9SZ3NN8, 5736183]
[paragraph, [202.0, 891.0, 613.0, 36.0], shoonya_1sYERYU9SZ3NN8, 5736183]
[paragraph, [202.0, 927.0, 613.0, 36.0], shoonya_1sYERYU9SZ3NN8, 5736183]
[paragraph, [202.0, 963.0, 613.0, 36.0], shoonya_1sYERYU9SZ3NN8, 5736183]
[paragraph, [202.0, 999.0, 613.0, 36.0], shoonya_1sYERYU9SZ3NN8, 5736183]
[paragraph, [202.0, 1035.0, 613.0, 36.0], shoonya_1sYERYU9SZ3NN8, 5736183]
[paragraph, [202.0, 1071.0, 613.0, 36.0], shoonya_1sYERYU9SZ3NN8, 5736183]
[paragraph, [202.0, 1107.0, 613.0, 36.0], shoonya_1sYERYU9SZ3NN8, 5736183]
[paragraph, [202.0, 1143.0, 613.0, 36.0], shoonya_1sYERYU9SZ3NN8, 5736183]
[paragraph, [202.0, 1179.0, 613.0, 36.0], shoonya_1sYERYU9SZ3NN8, 5736183]
[paragraph, [202.0, 1215.0, 613.0, 36.0], shoonya_1sYERYU9SZ3NN8, 5736183]
[paragraph, [202.0, 1251.0, 613.0, 36.0], shoonya_1sYERYU9SZ3NN8, 5736183]
[paragraph, [202.0, 1287.0, 613.0, 36.0], shoonya_1sYERYU9SZ3NN8, 5736183]
[paragraph, [202.0, 1323.0, 613.0, 36.0], shoonya_1sYERYU9SZ3NN8, 5736183]
[paragraph, [202.0, 1359.0, 613.0, 36.0], shoonya_1sYERYU9SZ3NN8, 5736183]
[paragraph, [202.0, 1395.0, 613.0, 36.0], shoonya_1sYERYU9SZ3NN8, 5736183]
[paragraph, [836.0, 799.0, 612.0, 36.0], shoonya_2sGBHL800ORYDY, 5736183]
[paragraph, [836.0, 835.0, 612.0, 36.0], shoonya_2sGBHL800ORYDY, 5736183]
[paragraph, [836.0, 871.0, 612.0, 36.0], shoonya_2sGBHL800ORYDY, 5736183]
[paragraph, [836.0, 907.0, 612.0, 36.0], shoonya_2sGBHL800ORYDY, 5736183]
[paragraph, [836.0, 943.0, 612.0, 36.0], shoonya_2sGBHL800ORYDY, 5736183]
