[1565, 1152]
[paragraph, [415.0, 598.0, 302.0, 36.0], shoonya_6sPB343Z5TO0EJ, 5712365]
[paragraph, [415.0, 634.0, 302.0, 36.0], shoonya_6sPB343Z5TO0EJ, 5712365]
[paragraph, [415.0, 670.0, 302.0, 36.0], shoonya_6sPB343Z5TO0EJ, 5712365]
[paragraph, [415.0, 706.0, 302.0, 36.0], shoonya_6sPB343Z5TO0EJ, 5712365]
[paragraph, [415.0, 742.0, 302.0, 36.0], shoonya_6sPB343Z5TO0EJ, 5712365]
[paragraph, [415.0, 778.0, 302.0, 36.0], shoonya_6sPB343Z5TO0EJ, 5712365]
[paragraph, [415.0, 814.0, 302.0, 36.0], shoonya_6sPB343Z5TO0EJ, 5712365]
[paragraph, [415.0, 850.0, 302.0, 36.0], shoonya_6sPB343Z5TO0EJ, 5712365]
[paragraph, [415.0, 886.0, 302.0, 36.0], shoonya_6sPB343Z5TO0EJ, 5712365]
[paragraph, [415.0, 922.0, 302.0, 36.0], shoonya_6sPB343Z5TO0EJ, 5712365]
[paragraph, [415.0, 958.0, 302.0, 36.0], shoonya_6sPB343Z5TO0EJ, 5712365]
[paragraph, [743.0, 609.0, 286.0, 36.0], shoonya_2sYYCG9UFYMFCC, 5712365]
[paragraph, [743.0, 645.0, 286.0, 36.0], shoonya_2sYYCG9UFYMFCC, 5712365]
[paragraph, [114.0, 610.0, 265.0, 36.0], shoonya_4s0TAHMZ4V7340, 5712365]
[paragraph, [114.0, 646.0, 265.0, 36.0], shoonya_4s0TAHMZ4V7340, 5712365]
[paragraph, [114.0, 698.0, 295.0, 36.0], shoonya_1s9OQ0UBAT6AST, 5712365]
[paragraph, [114.0, 734.0, 295.0, 36.0], shoonya_1s9OQ0UBAT6AST, 5712365]
[paragraph, [114.0, 770.0, 295.0, 36.0], shoonya_1s9OQ0UBAT6AST, 5712365]
[paragraph, [114.0, 806.0, 295.0, 36.0], shoonya_1s9OQ0UBAT6AST, 5712365]
[paragraph, [114.0, 842.0, 295.0, 36.0], shoonya_1s9OQ0UBAT6AST, 5712365]
[paragraph, [114.0, 878.0, 295.0, 36.0], shoonya_1s9OQ0UBAT6AST, 5712365]
[paragraph, [114.0, 914.0, 295.0, 36.0], shoonya_1s9OQ0UBAT6AST, 5712365]
[paragraph, [114.0, 950.0, 295.0, 36.0], shoonya_1s9OQ0UBAT6AST, 5712365]
[paragraph, [114.0, 986.0, 295.0, 36.0], shoonya_1s9OQ0UBAT6AST, 5712365]
[paragraph, [114.0, 1022.0, 295.0, 36.0], shoonya_1s9OQ0UBAT6AST, 5712365]
[paragraph, [114.0, 1058.0, 295.0, 36.0], shoonya_1s9OQ0UBAT6AST, 5712365]
[paragraph, [726.0, 721.0, 323.0, 36.0], shoonya_3sU2B1M5DIT8KO, 5712365]
[paragraph, [726.0, 757.0, 323.0, 36.0], shoonya_3sU2B1M5DIT8KO, 5712365]
[paragraph, [726.0, 793.0, 323.0, 36.0], shoonya_3sU2B1M5DIT8KO, 5712365]
[paragraph, [726.0, 829.0, 323.0, 36.0], shoonya_3sU2B1M5DIT8KO, 5712365]
[paragraph, [726.0, 865.0, 323.0, 36.0], shoonya_3sU2B1M5DIT8KO, 5712365]
[paragraph, [726.0, 901.0, 323.0, 36.0], shoonya_3sU2B1M5DIT8KO, 5712365]
[paragraph, [726.0, 937.0, 323.0, 36.0], shoonya_3sU2B1M5DIT8KO, 5712365]
[paragraph, [413.0, 1028.0, 311.0, 36.0], shoonya_9s8QK2LPVUWNDK, 5712365]
[paragraph, [413.0, 1064.0, 311.0, 36.0], shoonya_9s8QK2LPVUWNDK, 5712365]
[paragraph, [413.0, 1100.0, 311.0, 36.0], shoonya_9s8QK2LPVUWNDK, 5712365]
[paragraph, [413.0, 1136.0, 311.0, 36.0], shoonya_9s8QK2LPVUWNDK, 5712365]
[paragraph, [413.0, 1172.0, 311.0, 36.0], shoonya_9s8QK2LPVUWNDK, 5712365]
[paragraph, [413.0, 1208.0, 311.0, 36.0], shoonya_9s8QK2LPVUWNDK, 5712365]
[paragraph, [413.0, 1244.0, 311.0, 36.0], shoonya_9s8QK2LPVUWNDK, 5712365]
[paragraph, [413.0, 1280.0, 311.0, 36.0], shoonya_9s8QK2LPVUWNDK, 5712365]
[paragraph, [413.0, 1316.0, 311.0, 36.0], shoonya_9s8QK2LPVUWNDK, 5712365]
