[1948, 1214]
[folio, [177.0, 169.0, 160.0, 36.0], shoonya_1sZ5033NHJJHFW, 5732556]
[paragraph, [176.0, 231.0, 739.0, 36.0], shoonya_3sYJTGPEL7MKUP, 5732556]
[paragraph, [176.0, 267.0, 739.0, 36.0], shoonya_3sYJTGPEL7MKUP, 5732556]
[paragraph, [176.0, 303.0, 739.0, 36.0], shoonya_3sYJTGPEL7MKUP, 5732556]
[paragraph, [176.0, 339.0, 739.0, 36.0], shoonya_3sYJTGPEL7MKUP, 5732556]
[paragraph, [176.0, 375.0, 739.0, 36.0], shoonya_3sYJTGPEL7MKUP, 5732556]
[paragraph, [176.0, 411.0, 739.0, 36.0], shoonya_3sYJTGPEL7MKUP, 5732556]
[paragraph, [176.0, 447.0, 739.0, 36.0], shoonya_3sYJTGPEL7MKUP, 5732556]
[paragraph, [176.0, 483.0, 739.0, 36.0], shoonya_3sYJTGPEL7MKUP, 5732556]
[paragraph, [176.0, 519.0, 739.0, 36.0], shoonya_3sYJTGPEL7MKUP, 5732556]
[paragraph, [176.0, 555.0, 739.0, 36.0], shoonya_3sYJTGPEL7MKUP, 5732556]
[paragraph, [176.0, 591.0, 739.0, 36.0], shoonya_3sYJTGPEL7MKUP, 5732556]
[paragraph, [176.0, 627.0, 739.0, 36.0], shoonya_3sYJTGPEL7MKUP, 5732556]
[paragraph, [176.0, 663.0, 739.0, 36.0], shoonya_3sYJTGPEL7MKUP, 5732556]
[paragraph, [176.0, 699.0, 739.0, 36.0], shoonya_3sYJTGPEL7MKUP, 5732556]
[paragraph, [176.0, 735.0, 739.0, 36.0], shoonya_3sYJTGPEL7MKUP, 5732556]
[paragraph, [176.0, 771.0, 739.0, 36.0], shoonya_3sYJTGPEL7MKUP, 5732556]
[paragraph, [176.0, 807.0, 739.0, 36.0], shoonya_3sYJTGPEL7MKUP, 5732556]
[paragraph, [176.0, 843.0, 739.0, 36.0], shoonya_3sYJTGPEL7MKUP, 5732556]
[paragraph, [176.0, 879.0, 739.0, 36.0], shoonya_3sYJTGPEL7MKUP, 5732556]
[paragraph, [189.0, 1018.0, 736.0, 36.0], shoonya_2sSQCHS8AA8D7C, 5732556]
[paragraph, [189.0, 1054.0, 736.0, 36.0], shoonya_2sSQCHS8AA8D7C, 5732556]
[paragraph, [189.0, 1090.0, 736.0, 36.0], shoonya_2sSQCHS8AA8D7C, 5732556]
[paragraph, [189.0, 1126.0, 736.0, 36.0], shoonya_2sSQCHS8AA8D7C, 5732556]
[paragraph, [189.0, 1162.0, 736.0, 36.0], shoonya_2sSQCHS8AA8D7C, 5732556]
[paragraph, [189.0, 1198.0, 736.0, 36.0], shoonya_2sSQCHS8AA8D7C, 5732556]
[paragraph, [189.0, 1234.0, 736.0, 36.0], shoonya_2sSQCHS8AA8D7C, 5732556]
[paragraph, [189.0, 1270.0, 736.0, 36.0], shoonya_2sSQCHS8AA8D7C, 5732556]
[paragraph, [189.0, 1306.0, 736.0, 36.0], shoonya_2sSQCHS8AA8D7C, 5732556]
[paragraph, [189.0, 1342.0, 736.0, 36.0], shoonya_2sSQCHS8AA8D7C, 5732556]
[paragraph, [189.0, 1378.0, 736.0, 36.0], shoonya_2sSQCHS8AA8D7C, 5732556]
[paragraph, [189.0, 1414.0, 736.0, 36.0], shoonya_2sSQCHS8AA8D7C, 5732556]
[paragraph, [189.0, 1450.0, 736.0, 36.0], shoonya_2sSQCHS8AA8D7C, 5732556]
[paragraph, [189.0, 1486.0, 736.0, 36.0], shoonya_2sSQCHS8AA8D7C, 5732556]
[paragraph, [189.0, 1522.0, 736.0, 36.0], shoonya_2sSQCHS8AA8D7C, 5732556]
[paragraph, [189.0, 1558.0, 736.0, 36.0], shoonya_2sSQCHS8AA8D7C, 5732556]
[footnote, [206.0, 1629.0, 902.0, 36.0], shoonya_0sRWT0OY7HCK00, 5732556]
[footnote, [206.0, 1665.0, 902.0, 36.0], shoonya_0sRWT0OY7HCK00, 5732556]
[footnote, [206.0, 1701.0, 902.0, 36.0], shoonya_0sRWT0OY7HCK00, 5732556]
[footnote, [206.0, 1737.0, 902.0, 36.0], shoonya_0sRWT0OY7HCK00, 5732556]
[folio, [509.0, 1844.0, 197.0, 36.0], 262-HUFddL, 5732556]
