[842, 595]
[paragraph, [36.0, 40.0, 529.0, 18.0], shoonya_0s358S3H0Y7UAY, 5770251]
[paragraph, [36.0, 58.0, 529.0, 18.0], shoonya_0s358S3H0Y7UAY, 5770251]
[paragraph, [36.0, 76.0, 529.0, 18.0], shoonya_0s358S3H0Y7UAY, 5770251]
[paragraph, [36.0, 108.0, 521.0, 18.0], P6RPkxf3Sa, 5770251]
[paragraph, [36.0, 126.0, 521.0, 18.0], P6RPkxf3Sa, 5770251]
[paragraph, [34.0, 156.0, 522.0, 18.0], S8PPkj4Ewp, 5770251]
[paragraph, [34.0, 174.0, 522.0, 18.0], S8PPkj4Ewp, 5770251]
[paragraph, [34.0, 192.0, 522.0, 18.0], S8PPkj4Ewp, 5770251]
[paragraph, [34.0, 210.0, 522.0, 18.0], S8PPkj4Ewp, 5770251]
[paragraph, [34.0, 228.0, 522.0, 18.0], S8PPkj4Ewp, 5770251]
[paragraph, [34.0, 246.0, 522.0, 18.0], S8PPkj4Ewp, 5770251]
[paragraph, [34.0, 264.0, 522.0, 18.0], S8PPkj4Ewp, 5770251]
[paragraph, [34.0, 282.0, 522.0, 18.0], S8PPkj4Ewp, 5770251]
[paragraph, [34.0, 300.0, 522.0, 18.0], S8PPkj4Ewp, 5770251]
[paragraph, [34.0, 318.0, 522.0, 18.0], S8PPkj4Ewp, 5770251]
[paragraph, [34.0, 336.0, 522.0, 18.0], S8PPkj4Ewp, 5770251]
[paragraph, [34.0, 354.0, 522.0, 18.0], S8PPkj4Ewp, 5770251]
[paragraph, [34.0, 372.0, 522.0, 18.0], S8PPkj4Ewp, 5770251]
[paragraph, [34.0, 390.0, 522.0, 18.0], S8PPkj4Ewp, 5770251]
[paragraph, [34.0, 408.0, 522.0, 18.0], S8PPkj4Ewp, 5770251]
[paragraph, [35.0, 445.0, 521.0, 18.0], frGAMlnHS0, 5770251]
[paragraph, [35.0, 463.0, 521.0, 18.0], frGAMlnHS0, 5770251]
[paragraph, [35.0, 481.0, 521.0, 18.0], frGAMlnHS0, 5770251]
[paragraph, [35.0, 499.0, 521.0, 18.0], frGAMlnHS0, 5770251]
[paragraph, [35.0, 517.0, 521.0, 18.0], frGAMlnHS0, 5770251]
[paragraph, [30.0, 535.0, 528.0, 18.0], G_AZ031j8_, 5770251]
[paragraph, [30.0, 553.0, 528.0, 18.0], G_AZ031j8_, 5770251]
[paragraph, [30.0, 571.0, 528.0, 18.0], G_AZ031j8_, 5770251]
[paragraph, [30.0, 589.0, 528.0, 18.0], G_AZ031j8_, 5770251]
[paragraph, [30.0, 607.0, 528.0, 18.0], G_AZ031j8_, 5770251]
[paragraph, [30.0, 625.0, 528.0, 18.0], G_AZ031j8_, 5770251]
[paragraph, [30.0, 643.0, 528.0, 18.0], G_AZ031j8_, 5770251]
[paragraph, [30.0, 661.0, 528.0, 18.0], G_AZ031j8_, 5770251]
[paragraph, [30.0, 679.0, 528.0, 18.0], G_AZ031j8_, 5770251]
[paragraph, [30.0, 697.0, 528.0, 18.0], G_AZ031j8_, 5770251]
[paragraph, [30.0, 715.0, 528.0, 18.0], G_AZ031j8_, 5770251]
[paragraph, [30.0, 733.0, 528.0, 18.0], G_AZ031j8_, 5770251]
[paragraph, [34.0, 757.0, 522.0, 18.0], wcWXlZHvhz, 5770251]
[paragraph, [34.0, 775.0, 522.0, 18.0], wcWXlZHvhz, 5770251]
